dev,name,batch_size,speedup
cuda,BERT_pytorch,16,1.7963
cuda,Background_Matting,0,0.0000
cuda,LearningToPaint,96,1.2867
cuda,Super_SloMo,6,0.9926
cuda,alexnet,128,0.9986
cuda,attention_is_all_you_need_pytorch,256,0.9786
cuda,dcgan,32,1.1214
cuda,demucs,4,0.9998
cuda,densenet121,4,1.3704
cuda,dlrm,2048,1.0443
cuda,drq,1,1.1108
cuda,fastNLP_Bert,0,0.0000
cuda,hf_Albert,8,1.5178
cuda,hf_Bart,4,1.0677
cuda,hf_Bert,4,1.1120
cuda,hf_BigBird,2,0.8513
cuda,hf_DistilBert,8,1.0505
cuda,hf_GPT2,4,1.4191
cuda,hf_Longformer,2,0.8938
cuda,hf_Reformer,0,0.0000
cuda,hf_T5,8,0.8974
cuda,mnasnet1_0,32,1.3548
cuda,mobilenet_v2,96,1.2380
cuda,mobilenet_v2_quantized_qat,96,1.6114
cuda,mobilenet_v3_large,32,1.4030
cuda,moco,32,0.9944
cuda,nvidia_deeprecommender,256,0.9288
cuda,pytorch_CycleGAN_and_pix2pix,1,1.2055
cuda,pytorch_stargan,16,0.9803
cuda,pytorch_struct,200,0.9674
cuda,pytorch_unet,1,1.1911
cuda,resnet18,16,1.3824
cuda,resnet50,32,1.2960
cuda,resnet50_quantized_qat,32,1.6272
cuda,resnext50_32x4d,8,1.3337
cuda,shufflenet_v2_x1_0,0,0.0000
cuda,soft_actor_critic,256,1.0146
cuda,speech_transformer,0,0.0000
cuda,squeezenet1_1,32,1.1550
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,0,0.0000
cuda,timm_efficientnet,32,1.2500
cuda,timm_nfnet,128,1.2121
cuda,timm_regnet,32,1.2379
cuda,timm_resnest,32,1.3238
cuda,timm_vision_transformer,8,1.3220
cuda,timm_vovnet,32,1.1741
cuda,tts_angular,64,1.0090
cuda,vgg16,64,0.9977
cuda,vision_maskrcnn,0,0.0000
cuda,yolov3,0,0.0000
