dev,name,batch_size,speedup
cuda,BERT_pytorch,16,1.7768
cuda,Background_Matting,0,0.0000
cuda,LearningToPaint,96,1.2928
cuda,Super_SloMo,6,1.1604
cuda,alexnet,128,1.0947
cuda,attention_is_all_you_need_pytorch,256,1.0339
cuda,dcgan,32,1.8187
cuda,demucs,0,0.0000
cuda,densenet121,4,3.9031
cuda,dlrm,0,0.0000
cuda,drq,1,2.2424
cuda,fastNLP_Bert,6,1.3299
cuda,hf_Albert,8,1.5854
cuda,hf_Bart,4,1.1319
cuda,hf_Bert,4,1.2001
cuda,hf_BigBird,0,0.0000
cuda,hf_DistilBert,8,1.1211
cuda,hf_GPT2,4,1.4279
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,0,0.0000
cuda,hf_T5,0,0.0000
cuda,mnasnet1_0,32,1.4791
cuda,mobilenet_v2,96,1.2341
cuda,mobilenet_v2_quantized_qat,0,0.0000
cuda,mobilenet_v3_large,32,1.8794
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,0.7569
cuda,pytorch_CycleGAN_and_pix2pix,1,1.7871
cuda,pytorch_stargan,16,1.0842
cuda,pytorch_struct,200,1.7429
cuda,pytorch_unet,1,1.3446
cuda,resnet18,16,1.8560
cuda,resnet50,32,1.2022
cuda,resnet50_quantized_qat,0,0.0000
cuda,resnext50_32x4d,8,1.9916
cuda,shufflenet_v2_x1_0,128,1.5820
cuda,soft_actor_critic,256,1.3275
cuda,speech_transformer,0,0.0000
cuda,squeezenet1_1,32,1.6137
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,0,0.0000
cuda,timm_efficientnet,32,1.4288
cuda,timm_nfnet,128,1.4108
cuda,timm_regnet,32,1.0447
cuda,timm_resnest,32,1.5703
cuda,timm_vision_transformer,8,2.3143
cuda,timm_vovnet,32,1.1477
cuda,tts_angular,0,0.0000
cuda,vgg16,64,1.1318
cuda,vision_maskrcnn,0,0.0000
cuda,yolov3,0,0.0000
