dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,AllenaiLongformerBase,1,10.663701
cuda,BartForCausalLM,2,2.736265
cuda,BertForMaskedLM,64,5.507061
cuda,BertForQuestionAnswering,64,5.534605
cuda,BigBird,1,10.105805
cuda,BlenderbotSmallForCausalLM,64,1.834435
cuda,BlenderbotSmallForConditionalGeneration,32,6.198714
cuda,CamemBert,1,5.483625
cuda,DebertaForMaskedLM,4,4.078679
cuda,DebertaForQuestionAnswering,4,4.053445
cuda,DistilBertForMaskedLM,16,1.352552
cuda,DistilBertForQuestionAnswering,32,1.399983
cuda,DistillGPT2,1,1.966261
cuda,ElectraForCausalLM,1,5.547039
cuda,ElectraForQuestionAnswering,64,5.661109
cuda,LayoutLMForMaskedLM,16,5.697465
cuda,LayoutLMForSequenceClassification,16,5.637155
cuda,MBartForCausalLM,16,2.725025
cuda,MBartForConditionalGeneration,8,11.644301
cuda,MT5ForConditionalGeneration,2,14.234874
cuda,MegatronBertForCausalLM,2,17.605989
cuda,MegatronBertForQuestionAnswering,8,17.721746
cuda,MobileBertForMaskedLM,16,68.991098
cuda,MobileBertForQuestionAnswering,32,68.965219
cuda,OPTForCausalLM,4,2.856249
cuda,PLBartForCausalLM,16,1.413424
cuda,PLBartForConditionalGeneration,8,4.417032
cuda,PegasusForCausalLM,8,2.742025
cuda,PegasusForConditionalGeneration,4,7.513126
cuda,RobertaForCausalLM,4,5.540404
cuda,RobertaForQuestionAnswering,64,5.528166
cuda,Speech2Text2ForCausalLM,64,1.347442
cuda,T5ForConditionalGeneration,4,8.099935
cuda,T5Small,1,8.117707
cuda,TrOCRForCausalLM,8,2.765347
cuda,YituTechConvBert,1,9.034298
