dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,adv_inception_v3,128,2.422093
cuda,botnet26t_256,128,2.626649
cuda,cait_m36_384,2,9.681327
cuda,coat_lite_mini,128,2.280778
cuda,convit_base,32,1.036036
cuda,convmixer_768_32,32,1.397940
cuda,convnext_base,32,3.409416
cuda,crossvit_9_240,64,3.508480
cuda,cspdarknet53,64,5.466857
cuda,deit_base_distilled_patch16_224,64,1.690863
cuda,densenet121,64,14.042034
cuda,dla102,64,2.899908
cuda,dm_nfnet_f0,128,10.109346
cuda,dpn107,32,14.140973
cuda,eca_botnext26ts_256,64,2.810313
cuda,eca_halonext26ts,64,3.038207
cuda,ecaresnet101d,64,5.103393
cuda,ese_vovnet19b_dw,128,1.498430
cuda,fbnetc_100,128,3.986429
cuda,fbnetv3_b,128,7.867566
cuda,gernet_l,128,4.471306
cuda,ghostnet_100,128,2.131349
cuda,gluon_inception_v3,128,2.453095
cuda,gluon_senet154,32,10.428279
cuda,gluon_xception65,32,2.687072
cuda,gmixer_24_224,64,2.949233
cuda,gmlp_s16_224,64,2.848128
cuda,hardcorenas_a,128,1.963720
cuda,hrnet_w18,2,20.579212
cuda,inception_v3,128,2.469609
cuda,jx_nest_base,32,4.649427
cuda,lcnet_050,128,1.396948
cuda,legacy_senet154,32,6.602509
cuda,mixer_b16_224,64,1.308434
cuda,mixnet_l,64,10.427153
cuda,mnasnet_100,128,2.846756
cuda,mobilenetv2_100,128,2.831234
cuda,mobilenetv3_large_100,128,2.901469
cuda,nasnetalarge,16,31.237183
cuda,nfnet_l0,64,6.379230
cuda,pnasnet5large,16,24.723691
cuda,poolformer_m36,64,6.132592
cuda,regnety_002,128,3.834817
cuda,repvgg_a2,128,4.281534
cuda,res2net101_26w_4s,64,6.382543
cuda,res2net50_14w_8s,2,4.418058
cuda,res2next50,2,2.404682
cuda,resmlp_12_224,128,1.236672
cuda,resnest101e,32,8.787685
cuda,resnet18,128,0.562452
cuda,rexnet_100,128,4.607524
cuda,sebotnet33ts_256,64,3.919754
cuda,selecsls42b,128,0.908956
cuda,spnasnet_100,128,3.884537
cuda,swsl_resnext101_32x16d,32,2.712288
cuda,tf_efficientnet_b0,128,4.023798
cuda,tf_mixnet_l,64,13.774677
cuda,tinynet_a,128,4.377416
cuda,tnt_s_patch16_224,64,4.433759
cuda,twins_pcpvt_base,32,7.101724
cuda,visformer_small,128,1.564322
cuda,vit_base_patch16_224,64,1.684112
cuda,volo_d1_224,64,3.330735
cuda,xcit_large_24_p8_224,5,7.797559
