dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,dcgan,32,0.356506
cuda,demucs,4,0.709647
cuda,densenet121,4,4.377379
cuda,dlrm,2048,0.635631
cuda,drq,1,0.463524
cuda,hf_Albert,8,2.149027
cuda,hf_Bart,4,4.035871
cuda,hf_Bert,4,5.467484
cuda,hf_BigBird,2,10.114442
cuda,hf_DistilBert,8,1.195252
cuda,hf_GPT2,4,4.688316
cuda,hf_Longformer,2,11.110704
cuda,hf_T5,8,8.018774
cuda,mnasnet1_0,32,0.885576
cuda,mobilenet_v2,96,0.905725
cuda,moco,32,2.215958
cuda,nvidia_deeprecommender,256,0.383814
cuda,pytorch_stargan,16,0.607072
cuda,pytorch_unet,1,0.671094
cuda,resnet18,16,0.571167
cuda,resnet50,32,1.069542
cuda,resnext50_32x4d,8,1.068640
cuda,soft_actor_critic,256,0.340750
cuda,squeezenet1_1,32,0.545633
cuda,timm_efficientnet,32,3.348290
cuda,timm_regnet,32,6.882303
cuda,timm_vision_transformer,8,1.551240
cuda,timm_vovnet,32,2.403271
cuda,tts_angular,64,0.520458
cuda,vgg16,64,0.437112
