dev,name,batch_size,speedup
cuda,AlbertForMaskedLM,2,1.0001
cuda,AlbertForQuestionAnswering,2,1.0001
cuda,AllenaiLongformerBase,1,1.0077
cuda,BartForCausalLM,2,1.0008
cuda,BartForConditionalGeneration,1,1.0201
cuda,BertForMaskedLM,64,0.9998
cuda,BertForQuestionAnswering,64,0.9996
cuda,BigBird,1,1.0033
cuda,BlenderbotSmallForCausalLM,64,1.0016
cuda,BlenderbotSmallForConditionalGeneration,32,1.0130
cuda,CamemBert,1,1.0445
cuda,DebertaForMaskedLM,0,0.0000
cuda,DebertaForQuestionAnswering,0,0.0000
cuda,DistilBertForMaskedLM,16,1.0303
cuda,DistilBertForQuestionAnswering,32,1.0328
cuda,DistillGPT2,1,1.0287
cuda,ElectraForCausalLM,1,1.0349
cuda,ElectraForQuestionAnswering,64,0.9998
cuda,GPT2ForSequenceClassification,4,1.0006
cuda,LayoutLMForMaskedLM,16,0.9995
cuda,LayoutLMForSequenceClassification,16,0.9998
cuda,M2M100ForConditionalGeneration,2,1.2641
cuda,MBartForCausalLM,16,1.0132
cuda,MBartForConditionalGeneration,8,1.0113
cuda,MT5ForConditionalGeneration,2,1.0196
cuda,MegatronBertForCausalLM,2,1.0383
cuda,MegatronBertForQuestionAnswering,8,1.0376
cuda,MobileBertForMaskedLM,16,1.0162
cuda,MobileBertForQuestionAnswering,32,1.0126
cuda,OPTForCausalLM,4,1.0146
cuda,PLBartForCausalLM,16,1.0152
cuda,PLBartForConditionalGeneration,8,1.0153
cuda,PegasusForCausalLM,8,1.2217
cuda,PegasusForConditionalGeneration,4,1.2360
cuda,RobertaForCausalLM,4,1.0435
cuda,RobertaForQuestionAnswering,64,0.9998
cuda,Speech2Text2ForCausalLM,64,1.1462
cuda,T5ForConditionalGeneration,4,0.9938
cuda,T5Small,1,1.0237
cuda,TrOCRForCausalLM,8,1.0089
cuda,XGLMForCausalLM,1,1.2242
cuda,XLNetLMHeadModel,4,0.9992
cuda,YituTechConvBert,1,1.0236
