dev,name,batch_size,speedup
cuda,adv_inception_v3,128,0.9966
cuda,beit_base_patch16_224,64,0.9786
cuda,botnet26t_256,128,0.9988
cuda,cait_m36_384,2,0.7346
cuda,coat_lite_mini,128,0.9972
cuda,convmixer_768_32,32,0.9990
cuda,convnext_base,32,0.9085
cuda,crossvit_9_240,64,0.9078
cuda,cspdarknet53,64,0.9957
cuda,deit_base_distilled_patch16_224,64,0.9976
cuda,densenet121,64,0.9367
cuda,dla102,64,0.9974
cuda,dm_nfnet_f0,128,0.9984
cuda,dpn107,32,0.9933
cuda,eca_botnext26ts_256,64,0.8235
cuda,eca_halonext26ts,64,0.8288
cuda,ecaresnet101d,64,0.9654
cuda,ese_vovnet19b_dw,128,0.9972
cuda,fbnetc_100,128,0.9947
cuda,fbnetv3_b,128,0.9967
cuda,gernet_l,128,0.9965
cuda,ghostnet_100,128,0.9610
cuda,gluon_inception_v3,128,0.9966
cuda,gluon_senet154,32,0.9249
cuda,gluon_xception65,32,0.9932
cuda,gmixer_24_224,64,0.8742
cuda,gmlp_s16_224,64,0.9910
cuda,hardcorenas_a,128,0.9945
cuda,hrnet_w18,2,0.9078
cuda,inception_v3,128,0.9966
cuda,jx_nest_base,32,0.9974
cuda,lcnet_050,128,0.9955
cuda,legacy_senet154,32,0.9209
cuda,mixer_b16_224,64,1.0005
cuda,mixnet_l,64,0.9073
cuda,mnasnet_100,128,0.9948
cuda,mobilenetv2_100,128,0.9929
cuda,mobilenetv3_large_100,128,0.9974
cuda,mobilevit_s,32,0.7805
cuda,nasnetalarge,16,0.9722
cuda,nfnet_l0,64,0.7973
cuda,pit_b_224,64,0.9984
cuda,pnasnet5large,16,0.9807
cuda,poolformer_m36,64,0.9985
cuda,regnety_002,128,0.9474
cuda,repvgg_a2,128,0.9947
cuda,res2net101_26w_4s,64,0.9330
cuda,res2net50_14w_8s,2,0.8637
cuda,res2next50,2,0.8796
cuda,resmlp_12_224,128,1.0012
cuda,resnest101e,32,0.9045
cuda,resnet18,128,0.9963
cuda,rexnet_100,128,0.8794
cuda,sebotnet33ts_256,64,0.8538
cuda,selecsls42b,128,0.9961
cuda,spnasnet_100,128,0.9964
cuda,swin_base_patch4_window7_224,64,0.9504
cuda,swsl_resnext101_32x16d,32,0.9923
cuda,tf_efficientnet_b0,128,0.8331
cuda,tf_mixnet_l,64,0.9271
cuda,tinynet_a,128,0.8427
cuda,tnt_s_patch16_224,64,0.9984
cuda,twins_pcpvt_base,32,0.8131
cuda,visformer_small,128,1.0016
cuda,vit_base_patch16_224,64,0.9981
cuda,volo_d1_224,64,0.9978
