dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,adv_inception_v3,128,2.434193
cuda,beit_base_patch16_224,64,2.335374
cuda,botnet26t_256,128,2.576835
cuda,cait_m36_384,2,9.366139
cuda,coat_lite_mini,128,2.156723
cuda,convmixer_768_32,32,1.338266
cuda,convnext_base,32,3.161099
cuda,crossvit_9_240,64,3.325352
cuda,cspdarknet53,64,5.401096
cuda,deit_base_distilled_patch16_224,64,1.578345
cuda,densenet121,64,13.974611
cuda,dla102,64,2.815705
cuda,dm_nfnet_f0,128,9.952626
cuda,dpn107,32,14.171464
cuda,eca_botnext26ts_256,64,2.783139
cuda,eca_halonext26ts,64,3.022189
cuda,ecaresnet101d,64,4.895196
cuda,ese_vovnet19b_dw,128,1.461747
cuda,fbnetc_100,128,3.954627
cuda,fbnetv3_b,128,7.768090
cuda,gernet_l,128,4.424082
cuda,ghostnet_100,128,2.133028
cuda,gluon_inception_v3,128,2.412989
cuda,gluon_senet154,32,10.246996
cuda,gluon_xception65,32,2.506407
cuda,gmixer_24_224,64,2.718185
cuda,gmlp_s16_224,64,2.628866
cuda,hardcorenas_a,128,1.919337
cuda,hrnet_w18,2,20.276891
cuda,inception_v3,128,2.421268
cuda,jx_nest_base,32,4.415028
cuda,lcnet_050,128,1.344969
cuda,legacy_senet154,32,6.465615
cuda,mixer_b16_224,64,1.196380
cuda,mixnet_l,64,10.333002
cuda,mnasnet_100,128,2.804795
cuda,mobilenetv2_100,128,2.838981
cuda,mobilenetv3_large_100,128,2.815447
cuda,mobilevit_s,32,4.140583
cuda,nasnetalarge,16,31.399406
cuda,nfnet_l0,64,6.232667
cuda,pit_b_224,64,1.815668
cuda,pnasnet5large,16,23.833555
cuda,poolformer_m36,64,5.959394
cuda,regnety_002,128,3.790466
cuda,repvgg_a2,128,4.242903
cuda,res2net101_26w_4s,64,6.255739
cuda,res2net50_14w_8s,2,4.368377
cuda,res2next50,2,2.373086
cuda,resmlp_12_224,128,1.182004
cuda,resnest101e,32,8.722426
cuda,resnet18,128,0.556210
cuda,rexnet_100,128,4.533668
cuda,sebotnet33ts_256,64,3.899351
cuda,selecsls42b,128,0.903304
cuda,spnasnet_100,128,3.857780
cuda,swin_base_patch4_window7_224,64,9.326197
cuda,swsl_resnext101_32x16d,32,2.670623
cuda,tf_efficientnet_b0,128,3.935545
cuda,tf_mixnet_l,64,13.661681
cuda,tinynet_a,128,4.306297
cuda,tnt_s_patch16_224,64,4.193646
cuda,twins_pcpvt_base,32,6.752793
cuda,visformer_small,128,1.501293
cuda,vit_base_patch16_224,64,1.561031
cuda,volo_d1_224,64,3.162116
