dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,AllenaiLongformerBase,1,10.595968
cuda,BartForCausalLM,2,2.566116
cuda,BertForQuestionAnswering,64,5.388274
cuda,BigBird,1,9.761311
cuda,BlenderbotSmallForCausalLM,64,1.736804
cuda,BlenderbotSmallForConditionalGeneration,32,5.901551
cuda,CamemBert,1,5.440620
cuda,DebertaForMaskedLM,4,3.958890
cuda,DebertaForQuestionAnswering,4,3.927032
cuda,DistilBertForMaskedLM,16,1.266699
cuda,DistilBertForQuestionAnswering,32,1.343252
cuda,DistillGPT2,1,1.901710
cuda,ElectraForCausalLM,1,5.515795
cuda,ElectraForQuestionAnswering,64,5.607706
cuda,GoogleFnet,1,1.231859
cuda,LayoutLMForSequenceClassification,16,5.659636
cuda,MBartForCausalLM,16,2.620359
cuda,MT5ForConditionalGeneration,2,14.094070
cuda,MegatronBertForCausalLM,2,17.215986
cuda,MegatronBertForQuestionAnswering,8,17.499245
cuda,MobileBertForMaskedLM,16,68.134031
cuda,MobileBertForQuestionAnswering,32,69.109867
cuda,OPTForCausalLM,4,2.689460
cuda,PLBartForCausalLM,16,1.333369
cuda,PLBartForConditionalGeneration,8,4.287124
cuda,PegasusForCausalLM,8,2.612176
cuda,PegasusForConditionalGeneration,4,7.065226
cuda,RobertaForCausalLM,4,5.361031
cuda,RobertaForQuestionAnswering,64,5.437139
cuda,Speech2Text2ForCausalLM,64,1.302837
cuda,T5ForConditionalGeneration,4,8.080348
cuda,T5Small,1,8.211111
cuda,TrOCRForCausalLM,8,2.622315
cuda,YituTechConvBert,1,8.840771
