dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,AlbertForMaskedLM,2,2.179006
cuda,AlbertForQuestionAnswering,2,2.180044
cuda,AllenaiLongformerBase,1,10.906795
cuda,BartForCausalLM,2,2.561325
cuda,BartForConditionalGeneration,1,11.388210
cuda,BertForMaskedLM,64,5.286243
cuda,BertForQuestionAnswering,64,5.475633
cuda,BigBird,1,9.828509
cuda,BlenderbotSmallForCausalLM,64,1.747856
cuda,BlenderbotSmallForConditionalGeneration,32,5.894522
cuda,CamemBert,1,5.333516
cuda,DebertaForMaskedLM,4,4.087645
cuda,DebertaForQuestionAnswering,4,3.904994
cuda,DistilBertForMaskedLM,16,1.261359
cuda,DistilBertForQuestionAnswering,32,1.299963
cuda,DistillGPT2,1,1.911228
cuda,ElectraForCausalLM,1,5.464223
cuda,ElectraForQuestionAnswering,64,5.516488
cuda,GPT2ForSequenceClassification,4,4.884604
cuda,GoogleFnet,1,1.343079
cuda,LayoutLMForMaskedLM,16,5.605059
cuda,LayoutLMForSequenceClassification,16,5.595399
cuda,M2M100ForConditionalGeneration,2,7.025807
cuda,MBartForCausalLM,16,2.596736
cuda,MBartForConditionalGeneration,8,11.137480
cuda,MT5ForConditionalGeneration,2,14.128792
cuda,MegatronBertForCausalLM,2,17.196820
cuda,MegatronBertForQuestionAnswering,8,17.560235
cuda,MobileBertForMaskedLM,16,67.895760
cuda,MobileBertForQuestionAnswering,32,68.405849
cuda,OPTForCausalLM,4,2.690760
cuda,PLBartForCausalLM,16,1.336103
cuda,PLBartForConditionalGeneration,8,4.150882
cuda,PegasusForCausalLM,8,2.607652
cuda,PegasusForConditionalGeneration,4,7.057944
cuda,RobertaForCausalLM,4,5.320919
cuda,RobertaForQuestionAnswering,64,5.402374
cuda,Speech2Text2ForCausalLM,64,1.274726
cuda,T5ForConditionalGeneration,4,8.152403
cuda,T5Small,1,7.971520
cuda,TrOCRForCausalLM,8,2.481187
cuda,XGLMForCausalLM,1,6.832500
cuda,XLNetLMHeadModel,4,15.237306
cuda,YituTechConvBert,1,8.736598
