dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,adv_inception_v3,128,2.453150
cuda,beit_base_patch16_224,64,2.407672
cuda,botnet26t_256,128,2.564889
cuda,cait_m36_384,2,9.659101
cuda,coat_lite_mini,128,2.251414
cuda,convit_base,32,1.048944
cuda,convmixer_768_32,32,1.372896
cuda,convnext_base,32,3.554873
cuda,crossvit_9_240,64,3.489875
cuda,cspdarknet53,64,5.493858
cuda,deit_base_distilled_patch16_224,64,1.665520
cuda,densenet121,64,13.828693
cuda,dla102,64,2.953979
cuda,dm_nfnet_f0,128,9.970822
cuda,dpn107,32,14.137103
cuda,eca_botnext26ts_256,64,2.796699
cuda,eca_halonext26ts,64,3.018465
cuda,ecaresnet101d,64,4.949388
cuda,ese_vovnet19b_dw,128,1.482558
cuda,fbnetc_100,128,3.923613
cuda,fbnetv3_b,128,7.844758
cuda,gernet_l,128,4.511134
cuda,ghostnet_100,128,2.258063
cuda,gluon_inception_v3,128,2.423828
cuda,gluon_senet154,32,10.257630
cuda,gluon_xception65,32,2.506914
cuda,gmixer_24_224,64,3.021509
cuda,gmlp_s16_224,64,2.726831
cuda,hardcorenas_a,128,2.006413
cuda,hrnet_w18,2,20.364889
cuda,inception_v3,128,2.443063
cuda,jx_nest_base,32,4.759028
cuda,lcnet_050,128,1.368174
cuda,legacy_senet154,32,6.508552
cuda,mixer_b16_224,64,1.358839
cuda,mixnet_l,64,10.353539
cuda,mnasnet_100,128,2.825743
cuda,mobilenetv2_100,128,2.812295
cuda,mobilenetv3_large_100,128,2.819747
cuda,nasnetalarge,16,32.062143
cuda,pit_b_224,64,2.025556
cuda,pnasnet5large,16,24.032979
cuda,poolformer_m36,64,6.146003
cuda,regnety_002,128,3.795959
cuda,repvgg_a2,128,4.304103
cuda,res2net101_26w_4s,64,6.335055
cuda,res2net50_14w_8s,2,4.409027
cuda,res2next50,2,2.373827
cuda,resmlp_12_224,128,1.230342
cuda,resnest101e,32,8.808585
cuda,resnet18,128,0.558457
cuda,rexnet_100,128,4.525278
cuda,sebotnet33ts_256,64,3.915001
cuda,selecsls42b,128,0.917565
cuda,spnasnet_100,128,3.851928
cuda,swin_base_patch4_window7_224,64,9.552543
cuda,swsl_resnext101_32x16d,32,2.823596
cuda,tf_efficientnet_b0,128,3.963728
cuda,tf_mixnet_l,64,13.783453
cuda,tinynet_a,128,4.451975
cuda,tnt_s_patch16_224,64,4.438033
cuda,twins_pcpvt_base,32,6.887884
cuda,visformer_small,128,1.535585
cuda,vit_base_patch16_224,64,1.634593
cuda,volo_d1_224,64,3.278373
cuda,xcit_large_24_p8_224,5,7.745747
