dev,name,batch_size,speedup
cuda,adv_inception_v3,128,0.9993
cuda,beit_base_patch16_224,64,1.0001
cuda,botnet26t_256,128,0.9998
cuda,cait_m36_384,2,0.9997
cuda,coat_lite_mini,128,0.9999
cuda,convit_base,32,0.9996
cuda,convmixer_768_32,32,0.9997
cuda,convnext_base,32,1.0022
cuda,crossvit_9_240,64,1.0068
cuda,cspdarknet53,64,0.9991
cuda,deit_base_distilled_patch16_224,64,0.9994
cuda,densenet121,64,1.0178
cuda,dla102,64,1.0013
cuda,dm_nfnet_f0,128,0.9989
cuda,dpn107,32,0.9990
cuda,eca_botnext26ts_256,64,0.9988
cuda,eca_halonext26ts,64,0.9988
cuda,ecaresnet101d,64,1.0056
cuda,ese_vovnet19b_dw,128,0.9991
cuda,fbnetc_100,128,0.9990
cuda,fbnetv3_b,128,1.0096
cuda,gernet_l,128,0.9987
cuda,ghostnet_100,128,1.0031
cuda,gluon_inception_v3,128,0.9994
cuda,gluon_senet154,32,1.0026
cuda,gluon_xception65,32,0.9990
cuda,gmixer_24_224,64,0.9982
cuda,gmlp_s16_224,64,0.9986
cuda,hardcorenas_a,128,0.9998
cuda,hrnet_w18,2,1.0048
cuda,inception_v3,128,0.9993
cuda,jx_nest_base,32,0.9992
cuda,lcnet_050,128,1.0119
cuda,legacy_senet154,32,0.9996
cuda,mixer_b16_224,64,0.9994
cuda,mixnet_l,64,1.0098
cuda,mnasnet_100,128,0.9988
cuda,mobilenetv2_100,128,0.9988
cuda,mobilenetv3_large_100,128,1.0088
cuda,mobilevit_s,32,1.0115
cuda,nasnetalarge,16,1.0030
cuda,nfnet_l0,64,1.0059
cuda,pit_b_224,64,0.9993
cuda,pnasnet5large,16,1.0055
cuda,poolformer_m36,64,0.9995
cuda,regnety_002,128,1.0171
cuda,repvgg_a2,128,0.9994
cuda,res2net101_26w_4s,64,1.0015
cuda,res2net50_14w_8s,2,1.0003
cuda,res2next50,2,0.9997
cuda,resmlp_12_224,128,0.9988
cuda,resnest101e,32,1.0033
cuda,resnet18,128,0.9988
cuda,rexnet_100,128,1.0109
cuda,sebotnet33ts_256,64,0.9998
cuda,selecsls42b,128,0.9990
cuda,spnasnet_100,128,0.9986
cuda,swin_base_patch4_window7_224,64,0.9989
cuda,swsl_resnext101_32x16d,32,0.9987
cuda,tf_efficientnet_b0,128,0.9990
cuda,tf_mixnet_l,64,1.0131
cuda,tinynet_a,128,1.0103
cuda,tnt_s_patch16_224,64,0.9995
cuda,twins_pcpvt_base,32,1.0030
cuda,visformer_small,128,0.9999
cuda,vit_base_patch16_224,64,0.9996
cuda,volo_d1_224,64,0.9994
cuda,xcit_large_24_p8_224,5,0.9992
