dev,name,batch_size,speedup
cuda,BERT_pytorch,16,1.0137
cuda,Background_Matting,4,1.0004
cuda,LearningToPaint,96,0.9985
cuda,Super_SloMo,6,0.9991
cuda,alexnet,128,0.9991
cuda,attention_is_all_you_need_pytorch,256,1.0089
cuda,dcgan,32,0.9788
cuda,demucs,4,0.9983
cuda,densenet121,4,1.0009
cuda,dlrm,2048,0.9990
cuda,drq,1,1.0079
cuda,fastNLP_Bert,6,0.9962
cuda,hf_Albert,8,1.0003
cuda,hf_Bart,4,1.0162
cuda,hf_Bert,4,1.0435
cuda,hf_BigBird,2,0.9911
cuda,hf_DistilBert,8,1.0152
cuda,hf_GPT2,4,1.0148
cuda,hf_Longformer,2,1.0199
cuda,hf_Reformer,4,0.9992
cuda,hf_T5,8,1.0016
cuda,mnasnet1_0,32,0.9979
cuda,mobilenet_v2,96,1.0002
cuda,mobilenet_v3_large,32,1.0038
cuda,moco,32,0.9956
cuda,nvidia_deeprecommender,256,0.9990
cuda,pytorch_CycleGAN_and_pix2pix,0,0.0000
cuda,pytorch_stargan,16,0.9995
cuda,pytorch_struct,200,0.9969
cuda,pytorch_unet,1,0.9995
cuda,resnet18,16,1.0042
cuda,resnet50,32,1.0044
cuda,resnext50_32x4d,8,0.9996
cuda,shufflenet_v2_x1_0,128,1.0011
cuda,soft_actor_critic,256,0.9840
cuda,speech_transformer,32,1.0052
cuda,squeezenet1_1,32,0.9966
cuda,tacotron2,64,0.9793
cuda,timm_efficientdet,1,1.0229
cuda,timm_efficientnet,32,1.0146
cuda,timm_nfnet,128,0.9984
cuda,timm_regnet,32,1.0152
cuda,timm_resnest,32,0.9992
cuda,timm_vision_transformer,8,1.0043
cuda,timm_vovnet,32,1.0233
cuda,tts_angular,64,0.9790
cuda,vgg16,64,0.9993
cuda,vision_maskrcnn,4,0.9531
cuda,yolov3,8,1.0050
