dev,name,batch_size,speedup
cuda,BERT_pytorch,16,0.7575
cuda,Background_Matting,4,1.0172
cuda,LearningToPaint,96,0.9358
cuda,Super_SloMo,6,0.9995
cuda,alexnet,128,0.9905
cuda,attention_is_all_you_need_pytorch,256,0.7330
cuda,dcgan,32,0.8373
cuda,densenet121,4,0.8509
cuda,dlrm,2048,0.8932
cuda,drq,1,0.7709
cuda,fastNLP_Bert,0,0.0000
cuda,hf_Albert,8,0.9678
cuda,hf_Bart,4,0.7140
cuda,hf_Bert,4,0.7751
cuda,hf_BigBird,2,0.7851
cuda,hf_DistilBert,8,0.9077
cuda,hf_GPT2,4,0.8726
cuda,hf_Longformer,2,0.7847
cuda,hf_Reformer,4,0.9845
cuda,hf_T5,8,0.9476
cuda,mnasnet1_0,32,0.9325
cuda,mobilenet_v2,96,0.9903
cuda,mobilenet_v3_large,32,0.9434
cuda,moco,32,0.9957
cuda,nvidia_deeprecommender,256,0.9857
cuda,pytorch_CycleGAN_and_pix2pix,1,0.7968
cuda,pytorch_stargan,16,0.8714
cuda,pytorch_struct,200,0.7281
cuda,pytorch_unet,1,0.9952
cuda,resnet18,16,0.9192
cuda,resnet50,32,0.9424
cuda,resnext50_32x4d,8,0.8786
cuda,shufflenet_v2_x1_0,128,0.9324
cuda,soft_actor_critic,256,0.7370
cuda,speech_transformer,0,0.0000
cuda,squeezenet1_1,32,0.8684
cuda,tacotron2,64,0.8173
cuda,timm_efficientdet,1,0.7935
cuda,timm_efficientnet,32,0.7960
cuda,timm_nfnet,128,0.9981
cuda,timm_regnet,32,0.9592
cuda,timm_resnest,32,0.9527
cuda,timm_vision_transformer,8,0.7553
cuda,timm_vovnet,32,0.9681
cuda,tts_angular,64,0.9224
cuda,vgg16,64,0.9984
cuda,vision_maskrcnn,0,0.0000
cuda,yolov3,0,0.0000
