dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,AlbertForMaskedLM,2,2.538413
cuda,AlbertForQuestionAnswering,2,2.542893
cuda,AllenaiLongformerBase,1,12.382240
cuda,BartForCausalLM,2,2.953273
cuda,BartForConditionalGeneration,1,11.975991
cuda,BertForMaskedLM,64,5.951360
cuda,BertForQuestionAnswering,64,5.750264
cuda,BigBird,1,41.405085
cuda,BlenderbotSmallForCausalLM,64,2.181994
cuda,BlenderbotSmallForConditionalGeneration,32,6.468649
cuda,CamemBert,1,5.702434
cuda,DistilBertForMaskedLM,16,1.454876
cuda,DistilBertForQuestionAnswering,32,1.430981
cuda,DistillGPT2,1,2.099111
cuda,ElectraForCausalLM,1,5.719755
cuda,ElectraForQuestionAnswering,64,5.840418
cuda,GPT2ForSequenceClassification,4,5.365002
cuda,GoogleFnet,1,1.497135
cuda,LayoutLMForMaskedLM,16,6.301797
cuda,LayoutLMForSequenceClassification,16,6.012106
cuda,M2M100ForConditionalGeneration,2,7.775208
cuda,MBartForCausalLM,16,2.944322
cuda,MBartForConditionalGeneration,8,12.145015
cuda,MegatronBertForCausalLM,2,18.087828
cuda,MegatronBertForQuestionAnswering,8,18.219470
cuda,MobileBertForMaskedLM,16,69.526004
cuda,MobileBertForQuestionAnswering,32,69.704734
cuda,OPTForCausalLM,4,3.182953
cuda,PLBartForCausalLM,16,1.544104
cuda,PLBartForConditionalGeneration,8,4.550151
cuda,PegasusForCausalLM,8,2.948422
cuda,PegasusForConditionalGeneration,4,7.699880
cuda,RobertaForCausalLM,4,5.735481
cuda,RobertaForQuestionAnswering,64,5.860645
cuda,Speech2Text2ForCausalLM,64,1.473175
cuda,TrOCRForCausalLM,8,2.910097
cuda,XGLMForCausalLM,1,7.648619
cuda,XLNetLMHeadModel,4,15.568131
cuda,YituTechConvBert,1,9.191571
