dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,adv_inception_v3,128,2.467181,3.203157
cuda,beit_base_patch16_224,64,2.360085,3.170420
cuda,botnet26t_256,128,2.605794,1.701018
cuda,cait_m36_384,2,9.337595,13.678854
cuda,coat_lite_mini,128,2.152071,3.022357
cuda,convmixer_768_32,32,1.452478,2.313059
cuda,convnext_base,32,3.304983,3.832735
cuda,crossvit_9_240,64,3.355814,4.684943
cuda,cspdarknet53,64,5.456843,2.673501
cuda,deit_base_distilled_patch16_224,64,1.572393,2.599679
cuda,densenet121,64,13.956311,5.331467
cuda,dm_nfnet_f0,128,9.969508,3.859164
cuda,dpn107,32,14.093635,5.122596
cuda,eca_botnext26ts_256,64,2.810568,1.966482
cuda,eca_halonext26ts,64,3.032268,2.166701
cuda,ecaresnet101d,64,4.981474,5.022989
cuda,ese_vovnet19b_dw,128,1.468804,1.060776
cuda,fbnetv3_b,128,7.904265,4.943369
cuda,gernet_l,128,4.533723,1.788551
cuda,ghostnet_100,128,2.168730,3.263411
cuda,gluon_inception_v3,128,2.500037,3.257050
cuda,gluon_senet154,32,10.371541,8.417195
cuda,gluon_xception65,32,2.559330,3.836305
cuda,gmixer_24_224,64,2.880505,4.342182
cuda,gmlp_s16_224,64,2.642257,3.994027
cuda,hardcorenas_a,128,1.909804,1.626989
cuda,hrnet_w18,2,20.267112,13.361957
cuda,inception_v3,128,2.429326,3.202519
cuda,jx_nest_base,32,4.445696,5.773310
cuda,lcnet_050,128,1.358351,1.379016
cuda,legacy_senet154,32,6.495271,8.504173
cuda,mixer_b16_224,64,1.190233,1.890062
cuda,mixnet_l,64,10.507670,4.031175
cuda,mobilenetv3_large_100,128,2.831143,2.031234
cuda,mobilevit_s,32,4.070270,3.106595
cuda,nasnetalarge,16,31.698789,14.330632
cuda,nfnet_l0,64,6.167670,3.449375
cuda,pit_b_224,64,1.823752,2.883739
cuda,pnasnet5large,16,23.545235,10.007642
cuda,regnety_002,128,3.758900,1.961430
cuda,repvgg_a2,128,4.206722,1.555595
cuda,res2net101_26w_4s,64,6.246223,7.290969
cuda,res2net50_14w_8s,2,4.432986,6.547598
cuda,res2next50,2,2.406440,3.326125
cuda,resnest101e,32,8.695015,6.765387
cuda,resnet18,128,0.558040,0.719193
cuda,rexnet_100,128,4.499841,2.591108
cuda,sebotnet33ts_256,64,3.899784,2.516933
cuda,selecsls42b,128,0.896194,1.290595
cuda,swin_base_patch4_window7_224,64,9.545753,7.988540
cuda,swsl_resnext101_32x16d,32,2.722331,3.377476
cuda,tf_efficientnet_b0,128,3.961014,2.432697
cuda,tf_mixnet_l,64,13.639214,3.961923
cuda,tinynet_a,128,4.291952,2.831869
cuda,tnt_s_patch16_224,64,4.098368,6.778281
cuda,twins_pcpvt_base,32,6.639683,8.657547
cuda,vit_base_patch16_224,64,1.564806,2.562283
cuda,volo_d1_224,64,3.109006,4.704914
