dev,name,batch_size,speedup
cuda,AlbertForMaskedLM,2,1.3475
cuda,AlbertForQuestionAnswering,2,1.3490
cuda,AllenaiLongformerBase,0,0.0000
cuda,BartForCausalLM,2,1.4433
cuda,BartForConditionalGeneration,1,1.3145
cuda,BertForMaskedLM,64,1.1108
cuda,BertForQuestionAnswering,64,1.2086
cuda,BigBird,0,0.0000
cuda,BlenderbotSmallForCausalLM,64,0.9753
cuda,BlenderbotSmallForConditionalGeneration,32,0.8946
cuda,CamemBert,1,3.2807
cuda,DebertaForMaskedLM,0,0.0000
cuda,DebertaForQuestionAnswering,0,0.0000
cuda,DistilBertForMaskedLM,0,0.0000
cuda,DistilBertForQuestionAnswering,0,0.0000
cuda,DistillGPT2,1,2.5741
cuda,ElectraForCausalLM,1,5.3609
cuda,ElectraForQuestionAnswering,64,1.5804
cuda,GPT2ForSequenceClassification,4,1.8430
cuda,LayoutLMForMaskedLM,16,1.1968
cuda,LayoutLMForSequenceClassification,16,1.3012
cuda,M2M100ForConditionalGeneration,2,3.3347
cuda,MBartForCausalLM,16,0.6760
cuda,MBartForConditionalGeneration,8,0.9157
cuda,MT5ForConditionalGeneration,2,4.1167
cuda,MegatronBertForCausalLM,2,4.2447
cuda,MegatronBertForQuestionAnswering,8,2.5544
cuda,MobileBertForMaskedLM,16,4.5070
cuda,MobileBertForQuestionAnswering,32,3.7552
cuda,OPTForCausalLM,0,0.0000
cuda,PLBartForCausalLM,16,0.7430
cuda,PLBartForConditionalGeneration,8,0.8595
cuda,PegasusForCausalLM,8,1.5497
cuda,PegasusForConditionalGeneration,4,2.6588
cuda,RobertaForCausalLM,4,3.7383
cuda,RobertaForQuestionAnswering,64,1.2182
cuda,Speech2Text2ForCausalLM,64,1.5159
cuda,T5ForConditionalGeneration,4,0.0018
cuda,T5Small,1,0.0327
cuda,TrOCRForCausalLM,8,0.6808
cuda,XGLMForCausalLM,1,3.3954
cuda,XLNetLMHeadModel,4,0.9491
cuda,YituTechConvBert,1,3.7926
