dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,adv_inception_v3,128,1.039122
cuda,beit_base_patch16_224,64,1.106580
cuda,botnet26t_256,128,0.982116
cuda,cait_m36_384,2,2.585952
cuda,coat_lite_mini,128,1.124584
cuda,convit_base,32,0.839770
cuda,convmixer_768_32,32,0.858701
cuda,convnext_base,32,1.224080
cuda,crossvit_9_240,64,1.359227
cuda,cspdarknet53,64,1.330872
cuda,deit_base_distilled_patch16_224,64,0.879792
cuda,densenet121,64,2.244061
cuda,dla102,64,1.076000
cuda,dm_nfnet_f0,128,1.780602
cuda,dpn107,32,2.235587
cuda,eca_botnext26ts_256,64,1.029882
cuda,eca_halonext26ts,64,1.078944
cuda,ecaresnet101d,64,1.415110
cuda,ese_vovnet19b_dw,128,0.746604
cuda,fbnetc_100,128,1.294818
cuda,fbnetv3_b,128,1.925856
cuda,gernet_l,128,1.180225
cuda,ghostnet_100,128,0.924925
cuda,gluon_inception_v3,128,1.054745
cuda,gluon_senet154,32,2.343937
cuda,gluon_xception65,32,1.076641
cuda,gmixer_24_224,64,1.136202
cuda,gmlp_s16_224,64,1.183503
cuda,hardcorenas_a,128,0.889647
cuda,hrnet_w18,2,3.692385
cuda,inception_v3,128,1.032286
cuda,jx_nest_base,32,1.451188
cuda,lcnet_050,128,0.721232
cuda,legacy_senet154,32,2.070441
cuda,mixer_b16_224,64,0.746975
cuda,mixnet_l,64,3.693907
cuda,mnasnet_100,128,1.080526
cuda,mobilenetv2_100,128,1.081927
cuda,mobilenetv3_large_100,128,1.074232
cuda,mobilevit_s,32,1.285982
cuda,nasnetalarge,16,3.820465
cuda,nfnet_l0,64,1.494169
cuda,pit_b_224,64,0.981049
cuda,pnasnet5large,16,2.963658
cuda,poolformer_m36,64,1.636565
cuda,regnety_002,128,1.043281
cuda,repvgg_a2,128,1.250757
cuda,res2net101_26w_4s,64,1.805455
cuda,res2net50_14w_8s,2,1.583342
cuda,res2next50,2,1.104365
cuda,resmlp_12_224,128,0.617889
cuda,resnest101e,32,2.111778
cuda,resnet18,128,0.402250
cuda,rexnet_100,128,1.288750
cuda,sebotnet33ts_256,64,1.234350
cuda,selecsls42b,128,0.636479
cuda,spnasnet_100,128,1.271002
cuda,swin_base_patch4_window7_224,64,2.252277
cuda,swsl_resnext101_32x16d,32,1.022170
cuda,tf_efficientnet_b0,128,1.280625
cuda,tf_mixnet_l,64,3.966002
cuda,tinynet_a,128,1.296266
cuda,tnt_s_patch16_224,64,1.532830
cuda,twins_pcpvt_base,32,2.065664
cuda,visformer_small,128,0.799088
cuda,vit_base_patch16_224,64,0.890022
cuda,volo_d1_224,64,1.406668
cuda,xcit_large_24_p8_224,5,2.303638
