dev,name,batch_size,speedup
cuda,AlbertForMaskedLM,2,0.9971
cuda,AlbertForQuestionAnswering,2,0.9991
cuda,AllenaiLongformerBase,1,0.5827
cuda,BartForCausalLM,2,0.8783
cuda,BartForConditionalGeneration,1,0.7248
cuda,BertForMaskedLM,64,0.9489
cuda,BertForQuestionAnswering,64,0.9670
cuda,BigBird,1,0.7838
cuda,BlenderbotSmallForCausalLM,64,0.9040
cuda,BlenderbotSmallForConditionalGeneration,32,0.7980
cuda,CamemBert,1,0.7456
cuda,DebertaForMaskedLM,4,0.6620
cuda,DebertaForQuestionAnswering,4,0.6634
cuda,DistilBertForMaskedLM,16,0.7574
cuda,DistilBertForQuestionAnswering,32,0.7635
cuda,DistillGPT2,1,0.7673
cuda,ElectraForCausalLM,1,0.7648
cuda,ElectraForQuestionAnswering,64,0.9780
cuda,GPT2ForSequenceClassification,4,0.9595
cuda,LayoutLMForMaskedLM,16,0.9630
cuda,LayoutLMForSequenceClassification,16,0.9778
cuda,M2M100ForConditionalGeneration,2,0.6800
cuda,MBartForCausalLM,16,0.7442
cuda,MBartForConditionalGeneration,8,0.7209
cuda,MT5ForConditionalGeneration,2,0.6915
cuda,MegatronBertForCausalLM,2,0.7372
cuda,MegatronBertForQuestionAnswering,8,0.7500
cuda,MobileBertForMaskedLM,16,0.7311
cuda,MobileBertForQuestionAnswering,32,0.7186
cuda,OPTForCausalLM,4,0.7415
cuda,PLBartForCausalLM,16,0.7822
cuda,PLBartForConditionalGeneration,8,0.7024
cuda,PegasusForCausalLM,8,0.7071
cuda,PegasusForConditionalGeneration,4,0.7018
cuda,RobertaForCausalLM,4,0.7507
cuda,RobertaForQuestionAnswering,64,0.9655
cuda,Speech2Text2ForCausalLM,64,0.7413
cuda,T5ForConditionalGeneration,4,0.8087
cuda,T5Small,1,0.7079
cuda,TrOCRForCausalLM,8,0.7567
cuda,XGLMForCausalLM,1,0.6827
cuda,XLNetLMHeadModel,4,0.8815
cuda,YituTechConvBert,1,0.7429
