dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,0.896669,27.947129,22.538929,3.694681,20.612592,12.225013,7.475271,0.276054,227.693668,229.595707
cuda,beit_base_patch16_224,64,0.851729,30.533015,27.116730,3.601270,10.222798,6.636290,3.062819,0.247942,88.867050,75.669102
cuda,botnet26t_256,128,0.771830,24.002745,21.978265,2.694954,11.841157,7.861258,3.376958,0.118032,118.223926,110.838087
cuda,cait_m36_384,2,2.663667,85.391049,71.086127,11.873815,44.515170,30.814311,12.195318,0.919994,158.970776,144.628941
cuda,coat_lite_mini,128,0.852579,92.843956,89.620479,4.838681,17.275360,10.870023,5.437586,0.227788,288.661481,221.243926
cuda,convmixer_768_32,32,0.617702,10.157345,6.679687,1.880842,5.568956,3.352222,1.888048,0.169672,13.710719,14.574439
cuda,convnext_base,32,1.030039,65.645510,60.016464,6.059597,19.849952,12.200318,6.728714,0.378450,308.532403,274.579063
cuda,crossvit_9_240,64,1.082414,81.891484,76.132020,4.816104,14.672840,9.438929,4.386579,0.343180,247.786187,191.479207
cuda,cspdarknet53,64,1.249051,23.516210,19.485707,2.970899,9.273519,5.543723,3.073703,0.196831,137.751430,130.610956
cuda,deit_base_distilled_patch16_224,64,0.615296,24.254093,21.235201,2.857130,8.251674,5.337840,2.448420,0.215969,74.482647,64.436761
cuda,densenet121,64,2.348917,59.699149,51.857100,4.110839,42.923810,27.367270,13.707165,0.336745,325.290702,320.899472
cuda,dla102,64,0.979746,34.537098,28.554309,3.279218,15.880177,9.103065,5.905128,0.281609,134.674611,125.428637
cuda,dm_nfnet_f0,128,1.534352,17.841438,9.966141,4.363256,13.300247,8.911108,3.453222,0.344275,2.315063,10.195626
cuda,dpn107,32,2.333333,40.266942,32.808124,4.245030,19.339861,11.369982,6.676150,0.322883,218.198377,209.168477
cuda,eca_botnext26ts_256,64,0.809301,26.361205,23.931598,3.173796,12.398537,8.276312,3.534163,0.132124,120.822346,112.530230
cuda,eca_halonext26ts,64,0.906626,17.307298,14.760473,4.234558,16.917776,11.639626,4.604669,0.142130,39.254495,45.716826
cuda,ecaresnet101d,64,1.310760,17.923143,10.780448,3.485401,14.248715,8.687183,4.755530,0.346537,80.249324,87.378785
cuda,ese_vovnet19b_dw,128,0.538953,17.036586,15.554941,1.210081,8.936357,5.532679,2.914434,0.101690,108.353840,102.986045
cuda,fbnetc_100,128,1.089758,19.326648,16.048337,2.113614,7.768655,4.484627,2.721138,0.175368,109.917500,103.835794
cuda,fbnetv3_b,128,1.749104,31.257464,24.395433,4.246020,14.708510,8.754925,5.055953,0.333135,155.331725,150.055641
cuda,gernet_l,128,1.145018,12.039243,9.042864,1.561552,5.705473,3.326189,1.939076,0.150060,69.711552,68.015117
cuda,ghostnet_100,128,0.818765,38.748333,33.867884,2.799193,15.662987,9.299960,5.406104,0.264401,284.715208,269.436550
cuda,gluon_inception_v3,128,0.833117,13.824977,8.537952,3.627818,20.237337,12.039518,7.363338,0.266267,2.116949,17.572562
cuda,gluon_senet154,32,2.253216,31.096016,19.286789,5.302683,19.758533,12.069620,6.507578,0.615804,76.563222,82.611383
cuda,gluon_xception65,32,0.970385,23.852029,16.559857,3.193058,10.205634,5.854809,3.629745,0.332655,110.147302,107.157166
cuda,gmixer_24_224,64,0.951481,57.774853,53.602331,3.738911,16.572820,10.955293,4.964375,0.323331,204.463365,171.297915
cuda,gmlp_s16_224,64,0.881809,50.290827,44.263392,4.707837,17.266609,11.041454,5.593503,0.325975,112.591104,90.700491
cuda,hardcorenas_a,128,0.678103,19.748609,17.502707,1.574718,7.446589,4.421861,2.453820,0.146524,112.255136,103.978606
cuda,hrnet_w18,2,3.620780,55.550855,31.771349,9.056852,32.639032,19.808896,10.743483,0.792485,263.556943,273.946181
cuda,inception_v3,128,0.844876,14.053662,8.593550,3.698655,20.553576,12.257470,7.455219,0.270467,2.127479,17.917760
cuda,jx_nest_base,32,1.290629,64.375340,57.588268,7.520215,27.127711,18.182459,7.664176,0.487069,158.973187,136.209804
cuda,lcnet_050,128,0.503309,10.027365,8.135112,1.555152,5.593214,3.422224,1.831170,0.094612,53.117791,52.181619
cuda,legacy_senet154,32,1.962986,23.514846,11.782963,4.866425,19.171137,11.668078,6.371867,0.602683,5.295404,17.823472
cuda,mixer_b16_224,64,0.478346,46.528481,43.438664,2.653470,8.441010,5.443755,2.573164,0.166069,116.281866,84.020406
cuda,mixnet_l,64,3.506905,32.218300,27.596716,3.257286,15.114484,8.331603,5.768571,0.365518,146.504235,137.405792
cuda,mnasnet_100,128,0.864365,10.113540,7.532265,1.532829,6.700288,3.931888,2.293419,0.143320,51.774816,52.544299
cuda,mobilenetv2_100,128,0.864264,13.650138,10.680670,1.797794,7.328389,4.497822,2.317197,0.164773,40.688623,39.210428
cuda,mobilenetv3_large_100,128,0.863122,9.882319,6.937244,2.040221,8.674318,5.209059,2.868884,0.172901,47.831718,51.686897
cuda,mobilevit_s,32,1.091304,160.611866,156.745911,5.584937,23.170670,15.213902,6.957299,0.271591,410.557137,282.674378
cuda,nfnet_l0,64,1.241883,34.593941,30.160858,2.984740,10.441746,6.851152,2.793182,0.331958,54.997649,38.388783
cuda,pit_b_224,64,0.704500,41.863490,38.453933,3.770223,10.214334,6.521852,3.026325,0.233722,150.246354,125.867688
cuda,poolformer_m36,64,1.458107,76.738504,70.403077,7.742083,32.906307,19.772927,12.333176,0.346379,83.971253,54.373347
cuda,regnety_002,128,0.930689,18.658211,15.947008,1.651936,6.825347,4.030526,2.275418,0.168552,109.092356,101.695107
cuda,repvgg_a2,128,1.046811,9.444576,6.586396,1.259796,4.964555,3.133367,1.483145,0.120136,46.128114,45.837057
cuda,res2net101_26w_4s,64,1.849445,37.866709,26.875407,5.156032,26.713031,16.594901,8.927605,0.518250,203.381473,208.621864
cuda,res2net50_14w_8s,2,1.489380,42.427804,33.028818,3.831201,23.381004,14.103710,7.982516,0.454533,332.881808,327.282010
cuda,res2next50,2,0.860823,21.877286,17.210149,2.381246,13.967024,8.437524,4.729984,0.260573,133.398983,132.658023
cuda,resmlp_12_224,128,0.464813,26.914065,25.057948,1.436795,5.768454,3.467412,1.963333,0.144521,105.373644,87.573500
cuda,resnest101e,32,2.136442,66.131491,55.951799,5.209438,25.502250,15.573392,8.784386,0.490309,181.949545,156.951314
cuda,resnet18,128,0.266204,8.239280,7.212588,0.725625,3.469125,2.144261,1.051137,0.058090,49.094763,46.105378
cuda,rexnet_100,128,1.078642,45.139180,41.192964,2.790418,13.552982,7.812186,4.697034,0.232366,339.825747,315.081063
cuda,sebotnet33ts_256,64,1.014258,16.368744,13.364250,3.833887,15.029399,10.125358,4.205408,0.169828,57.002697,62.585209
cuda,selecsls42b,128,0.383180,16.917108,14.819754,1.549726,8.801538,5.406891,2.886823,0.123525,121.182731,116.771690
cuda,spnasnet_100,128,1.068537,6.896205,3.744315,1.861887,7.894175,4.508482,2.671945,0.169786,10.684035,16.778307
cuda,swin_base_patch4_window7_224,64,2.057942,113.111418,105.103705,9.752927,39.692677,26.764372,11.738608,0.458233,268.968320,213.512971
cuda,swsl_resnext101_32x16d,32,0.923387,14.694561,8.850310,2.460642,9.667186,5.734587,3.305230,0.257164,36.521092,39.939316
cuda,tf_efficientnet_b0,128,1.093035,31.923933,28.318047,2.413976,10.821852,6.286863,3.813954,0.218959,147.769641,132.782447
cuda,tf_mixnet_l,64,3.807455,28.198453,23.565512,3.225682,17.050751,10.038504,5.986540,0.377257,106.810792,103.873863
cuda,tinynet_a,128,1.164681,24.419310,20.322391,2.906574,11.231025,6.729057,3.755555,0.254554,157.880825,151.805526
cuda,tnt_s_patch16_224,64,1.313396,55.067998,47.269694,6.620054,20.285486,12.983378,6.352946,0.479816,169.305974,149.364916
cuda,twins_pcpvt_base,32,1.850159,284.698234,273.946258,10.028951,36.701404,23.523774,11.458118,0.699378,892.330131,665.389276
cuda,visformer_small,128,0.574970,17.544198,14.157698,2.618878,6.334056,3.921236,1.950400,0.162670,52.354947,47.410124
cuda,vit_base_patch16_224,64,0.609364,13.544373,10.557655,2.850328,8.243007,5.279839,2.517355,0.204136,36.772189,37.388419
cuda,volo_d1_224,64,1.055191,54.663103,49.053976,6.344811,18.916467,12.283477,5.747930,0.404626,235.620907,211.976326
