dev,name,batch_size,speedup
cuda,AlbertForMaskedLM,2,1.2519
cuda,AlbertForQuestionAnswering,2,1.2564
cuda,AllenaiLongformerBase,1,1.0369
cuda,BartForCausalLM,2,1.0001
cuda,BartForConditionalGeneration,1,1.0294
cuda,BertForMaskedLM,64,0.9704
cuda,BertForQuestionAnswering,64,1.0108
cuda,BigBird,1,0.8560
cuda,BlenderbotSmallForCausalLM,64,0.9258
cuda,BlenderbotSmallForConditionalGeneration,32,1.0243
cuda,CamemBert,1,1.4003
cuda,DebertaForMaskedLM,4,1.0868
cuda,DebertaForQuestionAnswering,4,1.3266
cuda,DistilBertForMaskedLM,16,1.0838
cuda,DistilBertForQuestionAnswering,32,1.0469
cuda,DistillGPT2,1,1.5021
cuda,ElectraForCausalLM,1,1.3846
cuda,ElectraForQuestionAnswering,64,1.1969
cuda,GPT2ForSequenceClassification,4,1.5695
cuda,GoogleFnet,1,1.2038
cuda,LayoutLMForMaskedLM,16,1.0595
cuda,LayoutLMForSequenceClassification,16,1.1241
cuda,M2M100ForConditionalGeneration,2,1.2859
cuda,MBartForCausalLM,16,0.9832
cuda,MBartForConditionalGeneration,8,1.4399
cuda,MT5ForConditionalGeneration,2,2.2818
cuda,MegatronBertForCausalLM,2,1.4561
cuda,MegatronBertForQuestionAnswering,8,1.4896
cuda,MobileBertForMaskedLM,16,1.4717
cuda,MobileBertForQuestionAnswering,32,1.4611
cuda,OPTForCausalLM,4,1.4367
cuda,PLBartForCausalLM,16,1.0926
cuda,PLBartForConditionalGeneration,8,1.3868
cuda,PegasusForCausalLM,8,1.1733
cuda,PegasusForConditionalGeneration,4,1.3994
cuda,RobertaForCausalLM,4,1.4384
cuda,RobertaForQuestionAnswering,64,1.0129
cuda,Speech2Text2ForCausalLM,64,1.0944
cuda,T5ForConditionalGeneration,4,0.9733
cuda,T5Small,1,1.4986
cuda,TrOCRForCausalLM,8,1.2202
cuda,XGLMForCausalLM,1,1.2409
cuda,XLNetLMHeadModel,4,1.0995
cuda,YituTechConvBert,1,1.3706
