dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,adv_inception_v3,128,1.414043,2.689046
cuda,beit_base_patch16_224,64,1.523341,2.490530
cuda,botnet26t_256,128,1.246203,1.230582
cuda,cait_m36_384,2,4.201473,11.415355
cuda,coat_lite_mini,128,1.518482,2.541795
cuda,convit_base,32,1.028174,2.075070
cuda,convmixer_768_32,32,1.292286,1.787956
cuda,convnext_base,32,1.872343,3.481393
cuda,crossvit_9_240,64,1.837751,3.891368
cuda,cspdarknet53,64,1.732230,1.822194
cuda,deit_base_distilled_patch16_224,64,1.235782,2.030752
cuda,densenet121,64,3.055072,4.725523
cuda,dla102,64,1.617448,3.166938
cuda,dm_nfnet_f0,128,2.325363,2.720242
cuda,dpn107,32,3.027712,4.200572
cuda,eca_botnext26ts_256,64,1.310962,1.456918
cuda,eca_halonext26ts,64,1.360142,1.520716
cuda,ecaresnet101d,64,2.172730,4.244163
cuda,ese_vovnet19b_dw,128,0.930525,0.728106
cuda,fbnetc_100,128,1.642936,1.435283
cuda,fbnetv3_b,128,2.540088,2.571510
cuda,gernet_l,128,1.602559,1.430632
cuda,ghostnet_100,128,1.405907,2.567634
cuda,gluon_inception_v3,128,1.398360,2.679685
cuda,gluon_senet154,32,3.556209,8.241507
cuda,gluon_xception65,32,1.719223,3.176825
cuda,gmixer_24_224,64,1.740557,3.966051
cuda,gmlp_s16_224,64,1.667092,3.391409
cuda,hardcorenas_a,128,1.153832,1.029629
cuda,hrnet_w18,2,5.558355,12.748543
cuda,inception_v3,128,1.406543,2.667300
cuda,jx_nest_base,32,2.162764,4.686910
cuda,lcnet_050,128,0.911480,0.565280
cuda,legacy_senet154,32,3.240157,8.095437
cuda,mixer_b16_224,64,1.038513,1.489719
cuda,mixnet_l,64,4.257223,3.486688
cuda,mnasnet_100,128,1.436306,1.185054
cuda,mobilenetv2_100,128,1.433495,1.046610
cuda,mobilenetv3_large_100,128,1.408501,1.263064
cuda,nasnetalarge,16,5.831260,13.560141
cuda,nfnet_l0,64,2.015242,2.900770
cuda,pit_b_224,64,1.377023,2.446831
cuda,pnasnet5large,16,4.675657,9.018404
cuda,poolformer_m36,64,2.192541,3.334706
cuda,regnety_002,128,1.529244,1.645341
cuda,repvgg_a2,128,1.453785,1.138695
cuda,res2net101_26w_4s,64,2.806517,6.652983
cuda,res2net50_14w_8s,2,2.474597,6.008226
cuda,res2next50,2,1.548576,2.699437
cuda,resmlp_12_224,128,0.972040,1.363630
cuda,resnest101e,32,3.263863,6.623281
cuda,resnet18,128,0.519362,0.547541
cuda,rexnet_100,128,1.584059,1.956074
cuda,sebotnet33ts_256,64,1.599681,2.004420
cuda,selecsls42b,128,0.832956,1.047882
cuda,spnasnet_100,128,1.638773,1.431880
cuda,swin_base_patch4_window7_224,64,3.197329,6.245627
cuda,swsl_resnext101_32x16d,32,1.710564,3.024135
cuda,tf_efficientnet_b0,128,1.570035,2.032985
cuda,tf_mixnet_l,64,4.552989,3.531549
cuda,tinynet_a,128,1.760338,2.410879
cuda,tnt_s_patch16_224,64,2.332632,5.668073
cuda,twins_pcpvt_base,32,3.227530,7.882282
cuda,visformer_small,128,1.109899,1.408102
cuda,vit_base_patch16_224,64,1.236287,2.011845
cuda,volo_d1_224,64,2.105644,4.108320
cuda,xcit_large_24_p8_224,5,3.715080,9.441215
