dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,BERT_pytorch,16,1.581544
cuda,Background_Matting,4,0.612638
cuda,LearningToPaint,96,0.462326
cuda,Super_SloMo,6,0.873775
cuda,alexnet,128,0.352826
cuda,attention_is_all_you_need_pytorch,256,1.228715
cuda,dcgan,32,0.334295
cuda,demucs,4,0.548575
cuda,densenet121,4,1.451350
cuda,dlrm,2048,0.567877
cuda,drq,1,0.370270
cuda,fastNLP_Bert,6,1.470753
cuda,hf_Albert,8,1.190213
cuda,hf_Bart,4,1.534637
cuda,hf_Bert,4,1.351885
cuda,hf_BigBird,2,6.813589
cuda,hf_DistilBert,8,0.628008
cuda,hf_GPT2,4,1.370244
cuda,hf_Longformer,2,4.031919
cuda,hf_Reformer,4,1.437301
cuda,hf_T5,8,2.042365
cuda,mnasnet1_0,32,0.622283
cuda,mobilenet_v2,96,0.633010
cuda,mobilenet_v3_large,32,0.696423
cuda,moco,32,1.397642
cuda,nvidia_deeprecommender,256,0.358469
cuda,pytorch_stargan,16,0.463307
cuda,pytorch_struct,200,0.394823
cuda,pytorch_unet,1,0.507851
cuda,resnet18,16,0.456542
cuda,resnet50,32,0.676903
cuda,resnext50_32x4d,8,0.680225
cuda,shufflenet_v2_x1_0,128,0.727372
cuda,soft_actor_critic,256,0.324850
cuda,speech_transformer,32,1.593897
cuda,squeezenet1_1,32,0.441380
cuda,tacotron2,64,12.261803
cuda,timm_efficientnet,32,1.112527
cuda,timm_nfnet,128,1.668179
cuda,timm_regnet,32,1.446083
cuda,timm_resnest,32,0.494251
cuda,timm_vision_transformer,8,0.765502
cuda,timm_vovnet,32,0.854511
cuda,tts_angular,64,0.448382
cuda,vgg16,64,0.379798
cuda,vision_maskrcnn,4,11.576686
cuda,yolov3,16,5.897096
