dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,1.304079,11.264550,6.107394,4.011722,12.325128,8.653483,3.100732,0.252500,8.808520,19.147673
cuda,Background_Matting,4,0.493450,8.434719,5.522672,2.208109,16.525771,10.294255,5.704402,0.173351,13.310503,26.587836
cuda,LearningToPaint,96,0.267782,6.133103,4.959576,0.753876,2.560848,1.452533,0.802465,0.066002,25.787661,24.170079
cuda,alexnet,128,0.160841,2.226515,1.994211,0.289870,2.072912,1.164680,0.750018,0.021124,0.601998,0.976194
cuda,attention_is_all_you_need_pytorch,256,1.059674,26.853833,21.489928,4.287056,11.771666,7.522430,3.597539,0.297655,39.675570,34.359594
cuda,dcgan,32,0.146334,1.047801,0.814123,0.209145,0.610267,0.334384,0.157876,0.015577,9.379205,9.390543
cuda,densenet121,4,1.207045,28.143886,18.908814,4.371428,43.165007,27.212527,14.030309,0.401970,206.248706,235.069202
cuda,drq,1,0.226542,1.265214,0.973454,0.147366,0.567437,0.287323,0.138184,0.023848,0.787937,0.537091
cuda,fastNLP_Bert,6,1.294976,11.834283,7.208581,3.909979,11.466120,7.434539,3.446655,0.291625,2.276750,10.548069
cuda,hf_Albert,8,1.076641,9.794780,5.289978,3.624798,9.419611,6.206234,2.711289,0.215490,1.245142,9.093717
cuda,hf_Bart,4,1.344950,14.289725,7.996426,4.741427,12.145894,7.699934,3.841299,0.340784,1.614107,10.850713
cuda,hf_Bert,4,1.234809,11.167630,6.215947,3.852807,10.418760,6.793568,3.105284,0.275943,1.143272,9.306376
cuda,hf_DistilBert,8,0.502618,6.219550,3.692403,2.084742,5.781582,3.580455,1.877939,0.137292,3.264469,7.492908
cuda,hf_GPT2,4,1.262508,9.489469,5.727299,3.252507,8.785460,5.620548,2.694625,0.231457,1.428543,7.824268
cuda,hf_Longformer,2,3.902271,92.895378,79.931030,14.291834,31.551370,21.150732,9.418329,0.322099,79.063098,45.473465
cuda,hf_Reformer,4,1.372568,10.167088,9.493367,1.073180,4.934125,3.019914,1.602709,0.076120,10.952547,7.507675
cuda,hf_T5,8,1.952793,16.739113,10.748777,3.760820,9.905648,6.380557,2.865049,0.319056,6.127901,9.156510
cuda,mnasnet1_0,32,0.440435,5.846849,3.013945,1.688350,7.054854,4.160331,2.333258,0.168118,51.498159,57.292822
cuda,mobilenet_v2,96,0.447124,7.349930,4.255232,2.151239,7.626157,4.595809,2.448464,0.188399,44.501441,50.097009
cuda,mobilenet_v3_large,32,0.512159,13.833952,10.544969,2.243235,9.033756,5.379420,2.919465,0.211718,68.841080,69.801465
cuda,nvidia_deeprecommender,256,0.159101,0.855070,0.624627,0.143431,0.473171,0.242937,0.118671,0.012120,0.512082,0.510519
cuda,pytorch_CycleGAN_and_pix2pix,1,0.276608,5.117667,3.344192,1.352689,7.644087,4.480052,2.854096,0.109691,10.295298,15.990363
cuda,pytorch_stargan,16,0.266613,3.256259,1.881971,0.866280,2.063840,1.225319,0.617399,0.067952,5.414332,6.493028
cuda,pytorch_unet,1,0.303933,7.445868,6.179320,0.968894,4.470547,2.751895,1.418957,0.075648,12.210759,11.500699
cuda,resnet18,16,0.266547,5.748495,4.667975,0.834487,3.653505,2.229984,1.111115,0.065944,20.531851,20.378579
cuda,resnet50,32,0.501800,6.415821,3.423759,1.721838,6.748160,4.021532,2.245307,0.161919,44.076426,49.191271
cuda,resnext50_32x4d,8,0.495923,9.664823,6.665518,1.622670,6.263921,3.709846,2.067958,0.164823,54.279725,55.569791
cuda,shufflenet_v2_x1_0,128,0.562979,7.951723,4.695914,2.328823,9.119673,5.346471,3.198590,0.187553,26.433786,33.414436
cuda,soft_actor_critic,256,0.181041,0.803757,0.645007,0.077735,0.310746,0.141817,0.070213,0.008865,0.633976,0.381526
cuda,squeezenet1_1,32,0.246580,3.807645,3.232698,0.598091,3.280868,1.911759,1.130984,0.062507,1.008708,1.669244
cuda,timm_efficientnet,32,1.055929,21.309781,17.251472,2.521035,10.299740,6.035868,3.551412,0.246766,91.354287,87.012092
cuda,timm_nfnet,128,1.562872,28.694877,19.955747,5.099706,14.766064,9.969961,3.890117,0.352136,40.378153,40.691340
cuda,timm_regnet,32,1.348935,9.599534,4.842083,2.541234,8.720151,5.045035,2.970813,0.284964,58.796117,65.327004
cuda,timm_vovnet,32,0.731695,7.928578,5.677037,1.680802,11.002879,6.741626,3.603540,0.136704,85.994949,93.054663
cuda,vgg16,64,0.189124,2.486810,2.111579,0.352047,2.383896,1.445053,0.748596,0.038366,0.674192,1.308001
