dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,BERT_pytorch,16,1.820016,4.016052
cuda,Background_Matting,4,0.847205,1.552922
cuda,LearningToPaint,96,0.567970,0.634310
cuda,Super_SloMo,6,1.099488,2.319529
cuda,alexnet,128,0.368412,0.252571
cuda,attention_is_all_you_need_pytorch,256,1.559497,4.323634
cuda,dcgan,32,0.359016,0.240687
cuda,densenet121,4,2.018936,5.498248
cuda,dlrm,2048,0.589951,0.346634
cuda,drq,1,0.389153,0.276251
cuda,hf_Albert,8,1.339183,3.451492
cuda,hf_Bart,4,2.393040,4.259701
cuda,hf_Bert,4,1.614037,3.273510
cuda,hf_BigBird,2,8.504267,3.613311
cuda,hf_DistilBert,8,0.768770,1.708812
cuda,hf_GPT2,4,1.683094,3.136739
cuda,hf_Longformer,2,4.970748,11.511478
cuda,hf_T5,8,4.008802,5.580308
cuda,mnasnet1_0,32,0.867847,1.501404
cuda,mobilenet_v2,96,0.857687,1.822875
cuda,moco,32,1.992340,0.234158
cuda,nvidia_deeprecommender,256,0.363193,0.239578
cuda,pytorch_CycleGAN_and_pix2pix,1,0.581967,1.080034
cuda,pytorch_stargan,16,0.574450,1.083070
cuda,pytorch_struct,200,0.430060,0.429133
cuda,pytorch_unet,1,0.606764,0.729533
cuda,resnet18,16,0.549687,0.692372
cuda,resnet50,32,0.920239,1.752200
cuda,resnext50_32x4d,8,0.919220,1.743442
cuda,shufflenet_v2_x1_0,128,1.023358,1.972138
cuda,soft_actor_critic,256,0.307355,0.175895
cuda,squeezenet1_1,32,0.485631,0.635909
cuda,tacotron2,64,12.192194,7.536348
cuda,timm_efficientnet,32,1.432456,2.433955
cuda,timm_nfnet,128,2.067770,3.890853
cuda,timm_regnet,32,1.848966,2.864964
cuda,timm_resnest,32,0.630763,0.999573
cuda,timm_vision_transformer,8,0.992982,2.574217
cuda,timm_vovnet,32,1.051185,1.399899
cuda,tts_angular,64,0.482527,0.141398
cuda,vgg16,64,0.415574,0.380086
