dev,name,batch_size,speedup
cuda,AlbertForMaskedLM,2,1.2548
cuda,AlbertForQuestionAnswering,2,1.2590
cuda,AllenaiLongformerBase,1,1.0335
cuda,BartForCausalLM,2,0.9989
cuda,BartForConditionalGeneration,1,1.0325
cuda,BertForMaskedLM,64,0.9733
cuda,BertForQuestionAnswering,64,1.0185
cuda,BigBird,1,0.8765
cuda,BlenderbotSmallForCausalLM,64,0.9293
cuda,BlenderbotSmallForConditionalGeneration,32,1.0787
cuda,CamemBert,1,1.4134
cuda,DebertaForMaskedLM,4,1.0715
cuda,DebertaForQuestionAnswering,4,1.2722
cuda,DistilBertForMaskedLM,16,1.0764
cuda,DistilBertForQuestionAnswering,32,1.0457
cuda,DistillGPT2,1,1.4868
cuda,ElectraForCausalLM,1,1.3755
cuda,ElectraForQuestionAnswering,64,1.1967
cuda,GPT2ForSequenceClassification,4,1.5674
cuda,GoogleFnet,1,1.1840
cuda,LayoutLMForMaskedLM,16,1.0628
cuda,LayoutLMForSequenceClassification,16,1.1239
cuda,M2M100ForConditionalGeneration,2,1.2963
cuda,MBartForCausalLM,16,0.9856
cuda,MBartForConditionalGeneration,8,1.4351
cuda,MT5ForConditionalGeneration,2,2.2637
cuda,MegatronBertForCausalLM,2,1.4679
cuda,MegatronBertForQuestionAnswering,8,1.4662
cuda,MobileBertForMaskedLM,16,1.4637
cuda,MobileBertForQuestionAnswering,32,1.4669
cuda,OPTForCausalLM,4,1.4518
cuda,PLBartForCausalLM,16,1.0865
cuda,PLBartForConditionalGeneration,8,1.3269
cuda,PegasusForCausalLM,8,1.1345
cuda,PegasusForConditionalGeneration,4,1.3800
cuda,RobertaForCausalLM,4,1.4187
cuda,RobertaForQuestionAnswering,64,1.0161
cuda,Speech2Text2ForCausalLM,64,1.0535
cuda,T5ForConditionalGeneration,4,0.9724
cuda,T5Small,1,1.5140
cuda,TrOCRForCausalLM,8,1.1715
cuda,XGLMForCausalLM,1,1.2385
cuda,XLNetLMHeadModel,4,1.0864
cuda,YituTechConvBert,1,1.3819
