dev,name,batch_size,speedup
cuda,adv_inception_v3,128,1.2537
cuda,beit_base_patch16_224,64,1.0333
cuda,botnet26t_256,128,1.3604
cuda,cait_m36_384,2,1.0021
cuda,coat_lite_mini,128,1.0589
cuda,convit_base,32,1.1532
cuda,convmixer_768_32,32,1.0507
cuda,convnext_base,32,0.9964
cuda,crossvit_9_240,64,1.0595
cuda,cspdarknet53,64,1.2242
cuda,deit_base_distilled_patch16_224,64,1.0650
cuda,densenet121,64,1.2107
cuda,dla102,64,1.3648
cuda,dm_nfnet_f0,128,1.1334
cuda,dpn107,32,1.1773
cuda,eca_botnext26ts_256,64,1.3956
cuda,eca_halonext26ts,64,1.3745
cuda,ecaresnet101d,64,1.3297
cuda,ese_vovnet19b_dw,128,1.3163
cuda,fbnetc_100,128,1.3521
cuda,fbnetv3_b,128,1.0309
cuda,gernet_l,128,1.1722
cuda,ghostnet_100,128,1.2653
cuda,gluon_inception_v3,128,1.2542
cuda,gluon_senet154,32,1.2191
cuda,gluon_xception65,32,1.1287
cuda,gmixer_24_224,64,1.0713
cuda,gmlp_s16_224,64,1.0294
cuda,hardcorenas_a,128,1.2079
cuda,hrnet_w18,2,1.0851
cuda,inception_v3,128,1.2537
cuda,jx_nest_base,32,1.1550
cuda,lcnet_050,128,1.0672
cuda,legacy_senet154,32,1.2265
cuda,mixer_b16_224,64,0.9934
cuda,mixnet_l,64,1.0892
cuda,mnasnet_100,128,1.3599
cuda,mobilenetv2_100,128,1.0544
cuda,mobilenetv3_large_100,128,1.2434
cuda,mobilevit_s,32,1.2443
cuda,nasnetalarge,16,1.1225
cuda,nfnet_l0,64,1.2059
cuda,pit_b_224,64,1.0999
cuda,pnasnet5large,16,1.1140
cuda,poolformer_m36,64,1.0579
cuda,regnety_002,128,1.4381
cuda,repvgg_a2,128,1.2454
cuda,res2net101_26w_4s,64,1.1693
cuda,res2net50_14w_8s,2,1.1026
cuda,res2next50,2,1.0863
cuda,resmlp_12_224,128,1.2200
cuda,resnest101e,32,1.1625
cuda,resnet18,128,1.3081
cuda,rexnet_100,128,1.2287
cuda,sebotnet33ts_256,64,1.3400
cuda,selecsls42b,128,1.3728
cuda,spnasnet_100,128,1.3525
cuda,swin_base_patch4_window7_224,64,1.0471
cuda,swsl_resnext101_32x16d,32,1.1583
cuda,tf_efficientnet_b0,128,1.3192
cuda,tf_mixnet_l,64,1.0853
cuda,tinynet_a,128,1.3435
cuda,tnt_s_patch16_224,64,1.2993
cuda,twins_pcpvt_base,32,1.1127
cuda,visformer_small,128,1.0757
cuda,vit_base_patch16_224,64,1.0175
cuda,volo_d1_224,64,1.1186
cuda,xcit_large_24_p8_224,5,1.0769
