dev,name,batch_size,speedup
cuda,AlbertForMaskedLM,2,0.8061
cuda,AlbertForQuestionAnswering,2,0.8054
cuda,AllenaiLongformerBase,1,0.5821
cuda,BartForCausalLM,2,0.9560
cuda,BartForConditionalGeneration,1,0.7051
cuda,BertForMaskedLM,64,0.9609
cuda,BertForQuestionAnswering,64,0.9778
cuda,BigBird,1,0.7765
cuda,BlenderbotSmallForCausalLM,64,0.9121
cuda,BlenderbotSmallForConditionalGeneration,32,0.7431
cuda,CamemBert,1,0.7162
cuda,DebertaForMaskedLM,4,0.6582
cuda,DebertaForQuestionAnswering,4,0.6694
cuda,DistilBertForMaskedLM,16,0.7214
cuda,DistilBertForQuestionAnswering,32,0.7346
cuda,DistillGPT2,1,0.7440
cuda,ElectraForCausalLM,1,0.7046
cuda,ElectraForQuestionAnswering,64,0.9860
cuda,GPT2ForSequenceClassification,4,0.9778
cuda,LayoutLMForMaskedLM,16,0.9714
cuda,LayoutLMForSequenceClassification,16,0.9783
cuda,M2M100ForConditionalGeneration,2,0.6772
cuda,MBartForCausalLM,16,0.8285
cuda,MBartForConditionalGeneration,8,0.7056
cuda,MT5ForConditionalGeneration,2,0.7486
cuda,MegatronBertForCausalLM,2,0.7089
cuda,MegatronBertForQuestionAnswering,8,0.7249
cuda,MobileBertForMaskedLM,16,0.6983
cuda,MobileBertForQuestionAnswering,32,0.6969
cuda,OPTForCausalLM,4,0.7114
cuda,PLBartForCausalLM,16,0.8551
cuda,PLBartForConditionalGeneration,8,0.7058
cuda,PegasusForCausalLM,8,0.6904
cuda,PegasusForConditionalGeneration,4,0.6970
cuda,RobertaForCausalLM,4,0.7020
cuda,RobertaForQuestionAnswering,64,0.9756
cuda,Speech2Text2ForCausalLM,64,0.6958
cuda,T5ForConditionalGeneration,4,0.9027
cuda,T5Small,1,0.7758
cuda,TrOCRForCausalLM,8,0.7266
cuda,XGLMForCausalLM,1,0.6627
cuda,XLNetLMHeadModel,4,0.9139
cuda,YituTechConvBert,1,0.7053
