dev,name,batch_size,speedup
cuda,AlbertForMaskedLM,2,1.0005
cuda,AlbertForQuestionAnswering,2,1.0000
cuda,AllenaiLongformerBase,1,1.0154
cuda,BartForCausalLM,2,0.9992
cuda,BartForConditionalGeneration,1,1.0106
cuda,BertForMaskedLM,64,0.9996
cuda,BertForQuestionAnswering,64,0.9990
cuda,BigBird,1,0.9910
cuda,BlenderbotSmallForCausalLM,64,1.0019
cuda,BlenderbotSmallForConditionalGeneration,32,1.0102
cuda,CamemBert,1,1.0372
cuda,DebertaForMaskedLM,4,0.9643
cuda,DebertaForQuestionAnswering,4,0.9588
cuda,DistilBertForMaskedLM,16,1.0289
cuda,DistilBertForQuestionAnswering,32,1.0275
cuda,DistillGPT2,1,1.0281
cuda,ElectraForCausalLM,1,1.0447
cuda,ElectraForQuestionAnswering,64,0.9997
cuda,GPT2ForSequenceClassification,4,1.0000
cuda,LayoutLMForMaskedLM,16,0.9993
cuda,LayoutLMForSequenceClassification,16,0.9998
cuda,M2M100ForConditionalGeneration,2,1.0088
cuda,MBartForCausalLM,16,1.0128
cuda,MBartForConditionalGeneration,8,1.0162
cuda,MT5ForConditionalGeneration,2,1.0192
cuda,MegatronBertForCausalLM,2,1.0364
cuda,MegatronBertForQuestionAnswering,8,1.0353
cuda,MobileBertForMaskedLM,16,1.0148
cuda,MobileBertForQuestionAnswering,32,1.0124
cuda,OPTForCausalLM,4,1.0137
cuda,PLBartForCausalLM,16,1.0110
cuda,PLBartForConditionalGeneration,8,1.0149
cuda,PegasusForCausalLM,8,1.0100
cuda,PegasusForConditionalGeneration,4,1.0134
cuda,RobertaForCausalLM,4,1.0417
cuda,RobertaForQuestionAnswering,64,1.0002
cuda,Speech2Text2ForCausalLM,64,1.0083
cuda,T5ForConditionalGeneration,4,0.9980
cuda,T5Small,1,1.0201
cuda,TrOCRForCausalLM,8,1.0121
cuda,XGLMForCausalLM,1,1.0125
cuda,XLNetLMHeadModel,4,0.9994
cuda,YituTechConvBert,1,1.0229
