dev,name,batch_size,speedup
cuda,AlbertForMaskedLM,2,1.6325
cuda,AlbertForQuestionAnswering,2,1.6432
cuda,AllenaiLongformerBase,1,2.0815
cuda,BartForCausalLM,2,1.4380
cuda,BartForConditionalGeneration,1,0.7467
cuda,BertForMaskedLM,64,1.2835
cuda,BertForQuestionAnswering,64,1.4111
cuda,BigBird,0,0.0000
cuda,BlenderbotSmallForCausalLM,64,1.2278
cuda,BlenderbotSmallForConditionalGeneration,32,1.7484
cuda,CamemBert,1,3.0781
cuda,DebertaForMaskedLM,4,1.3914
cuda,DebertaForQuestionAnswering,4,1.8998
cuda,DistilBertForMaskedLM,16,2.0563
cuda,DistilBertForQuestionAnswering,32,2.0527
cuda,DistillGPT2,1,2.4695
cuda,ElectraForCausalLM,1,5.4257
cuda,ElectraForQuestionAnswering,64,1.8992
cuda,GPT2ForSequenceClassification,4,2.5212
cuda,LayoutLMForMaskedLM,16,1.4683
cuda,LayoutLMForSequenceClassification,16,1.6112
cuda,M2M100ForConditionalGeneration,2,3.2494
cuda,MBartForCausalLM,16,1.3058
cuda,MBartForConditionalGeneration,0,0.0000
cuda,MT5ForConditionalGeneration,2,6.1820
cuda,MegatronBertForCausalLM,2,3.6909
cuda,MegatronBertForQuestionAnswering,8,2.8382
cuda,MobileBertForMaskedLM,16,5.2641
cuda,MobileBertForQuestionAnswering,32,4.4798
cuda,OPTForCausalLM,0,0.0000
cuda,PLBartForCausalLM,16,1.4008
cuda,PLBartForConditionalGeneration,0,0.0000
cuda,PegasusForCausalLM,8,1.6917
cuda,PegasusForConditionalGeneration,4,3.2857
cuda,RobertaForCausalLM,4,3.4923
cuda,RobertaForQuestionAnswering,64,1.4301
cuda,Speech2Text2ForCausalLM,64,1.8349
cuda,T5ForConditionalGeneration,4,1.6713
cuda,T5Small,1,1.6245
cuda,TrOCRForCausalLM,8,1.7989
cuda,XGLMForCausalLM,0,0.0000
cuda,XLNetLMHeadModel,0,0.0000
cuda,YituTechConvBert,1,4.2126
