dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,AlbertForMaskedLM,2,1.808617
cuda,AlbertForQuestionAnswering,2,1.808534
cuda,AllenaiLongformerBase,1,6.105132
cuda,BartForCausalLM,2,2.070889
cuda,BartForConditionalGeneration,1,4.748409
cuda,BertForMaskedLM,64,2.286925
cuda,BertForQuestionAnswering,64,2.215399
cuda,BigBird,1,54.456897
cuda,BlenderbotSmallForCausalLM,64,1.272200
cuda,BlenderbotSmallForConditionalGeneration,32,2.924744
cuda,CamemBert,1,2.204787
cuda,DistilBertForMaskedLM,16,1.379951
cuda,DistilBertForQuestionAnswering,32,1.303866
cuda,DistillGPT2,1,1.160370
cuda,ElectraForCausalLM,1,2.052783
cuda,ElectraForQuestionAnswering,64,2.008596
cuda,GPT2ForSequenceClassification,4,1.925526
cuda,LayoutLMForMaskedLM,16,2.489919
cuda,LayoutLMForSequenceClassification,16,2.396437
cuda,M2M100ForConditionalGeneration,2,66.636597
cuda,MBartForCausalLM,16,2.191594
cuda,MBartForConditionalGeneration,8,4.903626
cuda,MT5ForConditionalGeneration,2,4.257214
cuda,MegatronBertForCausalLM,2,4.604583
cuda,MegatronBertForQuestionAnswering,8,4.426916
cuda,MobileBertForMaskedLM,16,9.304450
cuda,MobileBertForQuestionAnswering,32,9.368670
cuda,OPTForCausalLM,4,1.963804
cuda,PLBartForCausalLM,16,1.309385
cuda,PLBartForConditionalGeneration,8,2.472398
cuda,PegasusForCausalLM,8,27.037886
cuda,PegasusForConditionalGeneration,4,29.544877
cuda,RobertaForCausalLM,4,2.309970
cuda,RobertaForQuestionAnswering,64,2.191508
cuda,Speech2Text2ForCausalLM,64,2.316382
cuda,T5ForConditionalGeneration,4,3.005099
cuda,T5Small,1,3.147841
cuda,TrOCRForCausalLM,8,2.055693
cuda,XGLMForCausalLM,1,127.242304
cuda,XLNetLMHeadModel,4,4.795380
cuda,YituTechConvBert,1,2.980324
