dev,name,batch_size,speedup
cuda,BERT_pytorch,16,1.0115
cuda,Background_Matting,4,0.9994
cuda,LearningToPaint,96,1.0006
cuda,Super_SloMo,6,0.9989
cuda,alexnet,128,0.9968
cuda,attention_is_all_you_need_pytorch,256,1.0121
cuda,dcgan,32,0.9813
cuda,densenet121,4,1.0013
cuda,dlrm,2048,0.9934
cuda,drq,1,1.0060
cuda,fastNLP_Bert,6,0.9969
cuda,hf_Albert,8,1.0012
cuda,hf_Bart,4,1.0089
cuda,hf_Bert,4,1.0462
cuda,hf_BigBird,2,0.9945
cuda,hf_DistilBert,8,1.0061
cuda,hf_GPT2,4,1.0276
cuda,hf_Longformer,2,1.0216
cuda,hf_Reformer,4,1.0001
cuda,hf_T5,8,0.9921
cuda,mnasnet1_0,32,1.0001
cuda,mobilenet_v2,96,1.0007
cuda,mobilenet_v3_large,32,1.0043
cuda,moco,32,0.9949
cuda,nvidia_deeprecommender,256,0.9992
cuda,pytorch_CycleGAN_and_pix2pix,1,0.9959
cuda,pytorch_stargan,16,0.9968
cuda,pytorch_struct,200,0.9885
cuda,pytorch_unet,1,0.9989
cuda,resnet18,16,1.0068
cuda,resnet50,32,1.0000
cuda,resnext50_32x4d,8,0.9977
cuda,shufflenet_v2_x1_0,128,1.0007
cuda,soft_actor_critic,256,0.9808
cuda,speech_transformer,32,1.0040
cuda,squeezenet1_1,32,0.9998
cuda,tacotron2,64,0.9808
cuda,timm_efficientdet,1,1.0178
cuda,timm_efficientnet,32,1.0136
cuda,timm_nfnet,128,0.9999
cuda,timm_regnet,32,1.0168
cuda,timm_resnest,32,1.0023
cuda,timm_vision_transformer,8,1.0019
cuda,timm_vovnet,32,1.0200
cuda,tts_angular,64,0.9932
cuda,vgg16,64,0.9995
cuda,vision_maskrcnn,4,0.9870
cuda,yolov3,16,0.9989
