dev,name,batch_size,speedup
cuda,adv_inception_v3,128,0.9963
cuda,beit_base_patch16_224,64,0.9800
cuda,botnet26t_256,128,0.9981
cuda,cait_m36_384,2,0.7287
cuda,coat_lite_mini,128,0.9957
cuda,convit_base,32,0.9970
cuda,convmixer_768_32,32,0.9990
cuda,convnext_base,32,0.8220
cuda,crossvit_9_240,64,0.8584
cuda,cspdarknet53,64,0.9953
cuda,deit_base_distilled_patch16_224,64,0.9950
cuda,densenet121,64,0.9011
cuda,dla102,64,0.9802
cuda,dm_nfnet_f0,128,0.9972
cuda,dpn107,32,0.9881
cuda,eca_botnext26ts_256,64,0.8261
cuda,eca_halonext26ts,64,0.8303
cuda,ecaresnet101d,64,0.9031
cuda,ese_vovnet19b_dw,128,0.9976
cuda,fbnetc_100,128,0.9946
cuda,fbnetv3_b,128,0.9791
cuda,gernet_l,128,0.9966
cuda,ghostnet_100,128,0.9457
cuda,gluon_inception_v3,128,0.9962
cuda,gluon_senet154,32,0.8776
cuda,gluon_xception65,32,0.9941
cuda,gmixer_24_224,64,0.7442
cuda,gmlp_s16_224,64,0.9837
cuda,hardcorenas_a,128,0.9946
cuda,hrnet_w18,2,0.8789
cuda,inception_v3,128,0.9966
cuda,jx_nest_base,32,0.9935
cuda,lcnet_050,128,0.9679
cuda,legacy_senet154,32,0.8916
cuda,mixer_b16_224,64,0.9937
cuda,mixnet_l,64,0.8503
cuda,mnasnet_100,128,0.9945
cuda,mobilenetv2_100,128,0.9933
cuda,mobilenetv3_large_100,128,0.9817
cuda,mobilevit_s,0,0.0000
cuda,nasnetalarge,16,0.9526
cuda,nfnet_l0,64,0.7694
cuda,pit_b_224,64,0.9967
cuda,pnasnet5large,16,0.9563
cuda,poolformer_m36,64,0.9983
cuda,regnety_002,128,0.9131
cuda,repvgg_a2,128,0.9960
cuda,res2net101_26w_4s,64,0.9131
cuda,res2net50_14w_8s,2,0.8379
cuda,res2next50,2,0.8447
cuda,resmlp_12_224,128,0.9960
cuda,resnest101e,32,0.8844
cuda,resnet18,128,0.9956
cuda,rexnet_100,128,0.8603
cuda,sebotnet33ts_256,64,0.8632
cuda,selecsls42b,128,0.9955
cuda,spnasnet_100,128,0.9951
cuda,swin_base_patch4_window7_224,64,0.9578
cuda,swsl_resnext101_32x16d,32,0.9961
cuda,tf_efficientnet_b0,128,0.8343
cuda,tf_mixnet_l,64,0.8904
cuda,tinynet_a,128,0.8294
cuda,tnt_s_patch16_224,64,0.9949
cuda,twins_pcpvt_base,32,0.7624
cuda,visformer_small,128,1.0040
cuda,vit_base_patch16_224,64,0.9959
cuda,volo_d1_224,64,0.9953
cuda,xcit_large_24_p8_224,5,0.7558
