dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,2,0.977240,17.264189,13.399743,3.284525,7.353200,4.674260,2.181310,0.165378,61.152961,58.471294
cuda,AlbertForQuestionAnswering,2,0.966029,12.145736,8.290105,3.234241,7.273885,4.666894,2.208411,0.164279,10.926319,13.224454
cuda,BartForCausalLM,2,0.926711,18.806436,14.480455,3.110529,7.390928,4.723030,2.226405,0.212268,39.620467,35.728603
cuda,BartForConditionalGeneration,1,3.097028,33.296052,23.543111,5.693485,14.833247,9.350842,4.615285,0.556805,48.564322,45.783553
cuda,BertForMaskedLM,64,1.122211,18.532688,14.186649,3.265517,7.580459,4.789448,2.330772,0.226253,41.509601,38.259146
cuda,BertForQuestionAnswering,64,1.130905,17.950403,13.583167,3.211979,7.300849,4.604280,2.272577,0.221390,18.886339,15.905895
cuda,BlenderbotSmallForCausalLM,64,0.632149,16.043321,13.157278,2.127997,5.170028,3.196543,1.622346,0.151946,33.435830,27.636026
cuda,BlenderbotSmallForConditionalGeneration,32,2.143358,32.275347,25.930054,5.308086,13.073513,8.055348,4.323885,0.401962,73.004377,65.847353
cuda,CamemBert,1,1.136633,16.398968,11.992332,2.660571,6.400336,4.073659,1.897115,0.210873,45.054184,42.213068
cuda,DistillGPT2,1,0.597250,12.135516,10.283791,1.148632,3.512756,1.991230,1.225497,0.099681,27.952095,22.369295
cuda,ElectraForCausalLM,1,1.122939,17.748526,13.378912,2.718600,6.619125,4.196034,1.958625,0.214486,61.795082,57.846108
cuda,ElectraForQuestionAnswering,64,1.131005,20.004537,15.657832,3.304251,7.570233,4.745126,2.348223,0.227505,75.726162,71.034395
cuda,GPT2ForSequenceClassification,4,1.209205,28.564309,25.016653,2.881846,7.669605,4.788749,2.406254,0.197196,51.467241,37.084020
cuda,LayoutLMForMaskedLM,16,1.236107,15.173762,10.726537,3.372939,7.679222,4.860845,2.384584,0.225917,15.177859,15.597053
cuda,LayoutLMForSequenceClassification,16,1.251883,11.271947,6.837228,3.174881,7.878930,5.040629,2.409902,0.227264,14.663769,18.970749
cuda,M2M100ForConditionalGeneration,2,3.133358,35.953445,27.222780,8.113945,19.692252,12.162344,6.502094,0.622717,61.989883,62.789927
cuda,MBartForCausalLM,16,0.905865,16.717629,12.418171,3.402399,8.140404,5.176252,2.494263,0.225391,31.097037,30.312234
cuda,MBartForConditionalGeneration,8,3.177826,39.479985,29.434636,8.014840,19.472558,12.316084,6.191967,0.579395,71.846948,70.490425
cuda,MT5ForConditionalGeneration,2,4.047543,39.899496,33.555448,5.827023,13.082944,7.944696,4.408215,0.476706,57.024468,42.568766
cuda,MegatronBertForCausalLM,2,2.644317,29.937805,21.085260,6.782854,15.296102,9.639160,4.632130,0.441006,25.515316,26.695600
cuda,MegatronBertForQuestionAnswering,8,2.528619,29.611208,20.764442,6.357416,14.415558,9.427862,4.257517,0.423802,19.932799,20.126459
cuda,MobileBertForMaskedLM,16,6.078017,36.417003,21.343239,7.933912,22.836120,13.960792,7.495947,0.939897,71.077245,81.202989
cuda,MobileBertForQuestionAnswering,32,6.189628,36.181967,20.810612,8.064549,23.348781,14.226915,7.711909,0.949892,62.391618,73.704432
cuda,PLBartForCausalLM,16,0.509066,12.648423,10.461798,1.909900,3.986538,2.387370,1.302088,0.114002,20.604241,16.084311
cuda,PLBartForConditionalGeneration,8,1.755290,22.708345,17.687294,4.459553,10.241702,6.183550,3.481896,0.315613,82.866815,80.008785
cuda,PegasusForCausalLM,8,0.948551,17.120736,12.973003,3.164070,8.002957,5.079942,2.440478,0.222362,18.777368,17.062241
cuda,PegasusForConditionalGeneration,4,3.001552,38.357926,28.494343,8.731676,19.840214,12.289859,6.551912,0.611007,65.294472,65.611164
cuda,RobertaForCausalLM,4,1.138338,20.527668,16.068872,3.725332,7.632769,4.823761,2.371871,0.225008,17.578074,12.959058
cuda,RobertaForQuestionAnswering,64,1.135965,12.966612,8.581393,3.182757,7.307604,4.625933,2.270504,0.219712,9.199496,11.198965
cuda,Speech2Text2ForCausalLM,64,0.550945,17.723015,16.057386,1.494880,4.244273,2.548119,1.397347,0.118252,38.703538,28.429282
cuda,T5ForConditionalGeneration,4,3.052980,31.540167,27.341122,3.868468,9.638105,5.870920,3.205824,0.342065,130.875028,117.172748
cuda,T5Small,1,3.083750,26.010930,21.846155,2.639259,7.282177,4.433377,2.296952,0.332930,127.714628,115.929350
cuda,TrOCRForCausalLM,8,0.875973,9.011003,4.823851,3.077162,7.254694,4.675671,2.192044,0.206138,14.781436,20.375618
cuda,XGLMForCausalLM,1,1.860258,32.693299,23.782146,4.539480,23.646966,8.676766,3.855611,0.433446,32.172769,36.770787
cuda,XLNetLMHeadModel,4,3.136925,31.632762,16.642723,9.373796,24.754326,11.913948,10.796931,0.543092,18.148802
cuda,YituTechConvBert,1,1.809167,29.113697,22.841496,3.624653,9.945536,6.415354,2.968807,0.305190,52.835567,43.697957
