dev,name,batch_size,speedup
cuda,adv_inception_v3,128,1.6451
cuda,beit_base_patch16_224,0,0.0000
cuda,botnet26t_256,128,1.5378
cuda,cait_m36_384,0,0.0000
cuda,coat_lite_mini,0,0.0000
cuda,convit_base,32,1.3026
cuda,convmixer_768_32,32,1.0961
cuda,convnext_base,0,0.0000
cuda,crossvit_9_240,0,0.0000
cuda,cspdarknet53,64,1.6664
cuda,deit_base_distilled_patch16_224,0,0.0000
cuda,densenet121,64,2.0162
cuda,dla102,64,1.6232
cuda,dm_nfnet_f0,128,1.5002
cuda,dpn107,32,1.4208
cuda,eca_botnext26ts_256,64,1.4703
cuda,eca_halonext26ts,64,1.4541
cuda,ecaresnet101d,64,1.5069
cuda,ese_vovnet19b_dw,128,1.5119
cuda,fbnetc_100,128,1.6481
cuda,fbnetv3_b,128,1.6963
cuda,gernet_l,128,1.3291
cuda,ghostnet_100,128,2.1506
cuda,gluon_inception_v3,128,1.6544
cuda,gluon_senet154,32,1.6607
cuda,gluon_xception65,32,1.2382
cuda,gmixer_24_224,0,0.0000
cuda,gmlp_s16_224,0,0.0000
cuda,hardcorenas_a,128,1.6500
cuda,hrnet_w18,2,4.3665
cuda,inception_v3,128,1.6549
cuda,jx_nest_base,0,0.0000
cuda,lcnet_050,128,2.6337
cuda,legacy_senet154,32,1.5297
cuda,mixer_b16_224,0,0.0000
cuda,mixnet_l,64,1.4104
cuda,mnasnet_100,128,1.7248
cuda,mobilenetv2_100,128,1.7838
cuda,mobilenetv3_large_100,128,1.7715
cuda,mobilevit_s,32,1.9920
cuda,nasnetalarge,0,0.0000
cuda,nfnet_l0,64,1.6070
cuda,pit_b_224,64,1.4249
cuda,pnasnet5large,0,0.0000
cuda,poolformer_m36,64,1.3033
cuda,regnety_002,128,2.6814
cuda,repvgg_a2,128,1.4192
cuda,res2net101_26w_4s,64,1.6857
cuda,res2net50_14w_8s,2,4.8552
cuda,res2next50,2,4.7932
cuda,resmlp_12_224,128,1.7135
cuda,resnest101e,0,0.0000
cuda,resnet18,128,1.5045
cuda,rexnet_100,128,1.4828
cuda,sebotnet33ts_256,64,1.4301
cuda,selecsls42b,128,1.5072
cuda,spnasnet_100,128,1.6732
cuda,swin_base_patch4_window7_224,0,0.0000
cuda,swsl_resnext101_32x16d,32,1.2379
cuda,tf_efficientnet_b0,128,1.5442
cuda,tf_mixnet_l,64,1.3601
cuda,tinynet_a,128,1.5842
cuda,tnt_s_patch16_224,0,0.0000
cuda,twins_pcpvt_base,0,0.0000
cuda,visformer_small,128,1.3088
cuda,vit_base_patch16_224,0,0.0000
cuda,volo_d1_224,0,0.0000
cuda,xcit_large_24_p8_224,0,0.0000
