dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,adv_inception_v3,128,1.050213
cuda,beit_base_patch16_224,64,1.146969
cuda,botnet26t_256,128,1.021677
cuda,cait_m36_384,2,2.425084
cuda,coat_lite_mini,128,1.047678
cuda,convmixer_768_32,32,0.843936
cuda,convnext_base,32,1.102659
cuda,crossvit_9_240,64,1.282055
cuda,cspdarknet53,64,1.320875
cuda,deit_base_distilled_patch16_224,64,0.830627
cuda,densenet121,64,2.284223
cuda,dla102,64,1.044360
cuda,dm_nfnet_f0,128,1.683723
cuda,dpn107,32,2.191714
cuda,eca_botnext26ts_256,64,1.021158
cuda,eca_halonext26ts,64,1.058613
cuda,ecaresnet101d,64,1.360417
cuda,ese_vovnet19b_dw,128,0.737698
cuda,fbnetc_100,128,1.278504
cuda,fbnetv3_b,128,1.794043
cuda,gernet_l,128,1.153677
cuda,ghostnet_100,128,0.889996
cuda,gluon_inception_v3,128,1.039450
cuda,gluon_senet154,32,2.236022
cuda,gluon_xception65,32,1.096759
cuda,gmixer_24_224,64,1.025747
cuda,gmlp_s16_224,64,1.128748
cuda,hardcorenas_a,128,0.876063
cuda,hrnet_w18,2,3.645477
cuda,inception_v3,128,1.037073
cuda,jx_nest_base,32,1.344533
cuda,lcnet_050,128,0.726057
cuda,legacy_senet154,32,1.978966
cuda,mixer_b16_224,64,0.677603
cuda,mixnet_l,64,3.508484
cuda,mnasnet_100,128,1.081084
cuda,mobilenetv2_100,128,1.047804
cuda,mobilenetv3_large_100,128,1.067703
cuda,mobilevit_s,32,1.141400
cuda,nasnetalarge,16,3.713388
cuda,nfnet_l0,64,1.422782
cuda,pit_b_224,64,0.915257
cuda,pnasnet5large,16,2.981457
cuda,poolformer_m36,64,1.437115
cuda,regnety_002,128,1.000375
cuda,repvgg_a2,128,1.105584
cuda,res2net101_26w_4s,64,1.795741
cuda,res2net50_14w_8s,2,1.566197
cuda,res2next50,2,1.081028
cuda,resmlp_12_224,128,0.684427
cuda,resnest101e,32,2.043640
cuda,resnet18,128,0.410790
cuda,rexnet_100,128,1.134580
cuda,sebotnet33ts_256,64,1.218215
cuda,selecsls42b,128,0.609480
cuda,spnasnet_100,128,1.258879
cuda,swin_base_patch4_window7_224,64,2.118098
cuda,swsl_resnext101_32x16d,32,1.000004
cuda,tf_efficientnet_b0,128,1.247358
cuda,tf_mixnet_l,64,3.731848
cuda,tinynet_a,128,1.245162
cuda,tnt_s_patch16_224,64,1.365245
cuda,twins_pcpvt_base,32,1.858998
cuda,visformer_small,128,0.774686
cuda,vit_base_patch16_224,64,0.824454
cuda,volo_d1_224,64,1.254914
