dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,Background_Matting,4,1.337356
cuda,LearningToPaint,96,0.707835
cuda,Super_SloMo,6,1.582356
cuda,alexnet,128,0.445279
cuda,attention_is_all_you_need_pytorch,256,1.934690
cuda,dcgan,32,0.413210
cuda,densenet121,4,2.912244
cuda,dlrm,2048,0.657204
cuda,drq,1,0.458783
cuda,fastNLP_Bert,6,2.066492
cuda,hf_Albert,8,1.543614
cuda,hf_Bart,4,2.766145
cuda,hf_Bert,4,1.889826
cuda,hf_DistilBert,8,0.957937
cuda,hf_GPT2,4,2.054542
cuda,hf_Longformer,2,6.724824
cuda,mnasnet1_0,32,1.205986
cuda,mobilenet_v2,96,1.222919
cuda,mobilenet_v3_large,32,1.380282
cuda,moco,32,2.711102
cuda,nvidia_deeprecommender,256,0.401860
cuda,pytorch_CycleGAN_and_pix2pix,1,0.801573
cuda,pytorch_stargan,16,0.696398
cuda,pytorch_struct,200,0.447807
cuda,pytorch_unet,1,0.791059
cuda,resnet18,16,0.692344
cuda,resnet50,32,1.243762
cuda,resnext50_32x4d,8,1.256786
cuda,shufflenet_v2_x1_0,128,1.406949
cuda,squeezenet1_1,32,0.677822
cuda,tacotron2,64,12.427494
cuda,timm_efficientdet,1,14.690099
cuda,timm_efficientnet,32,1.964754
cuda,timm_nfnet,128,2.593055
cuda,timm_regnet,32,2.700714
cuda,timm_resnest,32,0.919558
cuda,timm_vision_transformer,8,1.338034
cuda,timm_vovnet,32,1.331304
cuda,tts_angular,64,0.518624
cuda,vgg16,64,0.589467
cuda,yolov3,16,7.275032
