dev,name,batch_size,speedup,start_latency,peak_memory
cuda,AlbertForMaskedLM,2,1.0004,1.9378,20.3013
cuda,AlbertForQuestionAnswering,2,1.0006,1.9231,19.5158
cuda,AllenaiLongformerBase,1,1.0233,4.2649,11.0648
cuda,BartForCausalLM,2,1.0005,1.3098,20.5681
cuda,BartForConditionalGeneration,1,1.0121,2.9465,28.9723
cuda,BertForMaskedLM,64,0.9997,1.7020,20.7248
cuda,BertForQuestionAnswering,64,1.0002,1.5792,11.7490
cuda,BigBird,1,0.9932,7.0813,11.0198
cuda,BlenderbotSmallForCausalLM,64,0.9999,1.1049,21.9567
cuda,BlenderbotSmallForConditionalGeneration,32,1.0137,2.0457,15.6116
cuda,CamemBert,1,1.0542,1.4120,7.5635
cuda,DebertaForMaskedLM,4,0.9577,3.0573,12.8997
cuda,DebertaForQuestionAnswering,4,0.9493,3.0357,9.2214
cuda,DistilBertForMaskedLM,16,1.0314,0.6707,6.7500
cuda,DistilBertForQuestionAnswering,32,1.0103,0.6974,5.2282
cuda,DistillGPT2,1,1.0384,0.7988,6.2342
cuda,ElectraForCausalLM,1,1.0530,1.4053,1.4782
cuda,ElectraForQuestionAnswering,64,1.0000,1.8000,10.8996
cuda,GPT2ForSequenceClassification,4,1.0000,1.7065,16.7515
cuda,GoogleFnet,1,0.9955,0.9146,5.7465
cuda,LayoutLMForMaskedLM,16,1.0000,1.9158,22.7218
cuda,LayoutLMForSequenceClassification,16,0.9994,1.8060,13.9761
cuda,M2M100ForConditionalGeneration,2,1.0156,2.8590,32.0775
cuda,MBartForCausalLM,16,1.0049,1.2635,19.1680
cuda,MBartForConditionalGeneration,8,1.0193,2.9424,27.2636
cuda,MT5ForConditionalGeneration,2,1.0232,3.3196,21.4465
cuda,MegatronBertForCausalLM,2,1.0541,2.8384,21.5419
cuda,MegatronBertForQuestionAnswering,8,1.0514,2.8319,21.2944
cuda,MobileBertForMaskedLM,16,1.0209,6.9864,5.5798
cuda,MobileBertForQuestionAnswering,32,1.0242,7.0553,3.7007
cuda,OPTForCausalLM,4,1.0168,1.2350,8.9567
cuda,PLBartForCausalLM,16,1.0098,0.7316,9.7050
cuda,PLBartForConditionalGeneration,8,1.0197,1.5349,10.9962
cuda,PegasusForCausalLM,8,1.0111,1.2451,16.2482
cuda,PegasusForConditionalGeneration,4,1.0144,2.6944,26.5574
cuda,RobertaForCausalLM,4,1.0523,1.4054,7.4352
cuda,RobertaForQuestionAnswering,64,1.0001,1.5966,11.7491
cuda,Speech2Text2ForCausalLM,64,1.0040,0.7860,5.0047
cuda,T5ForConditionalGeneration,4,0.9977,2.3394,13.6226
cuda,T5Small,1,1.0304,2.1316,5.9164
cuda,TrOCRForCausalLM,8,1.0157,1.1938,15.6486
cuda,XGLMForCausalLM,1,1.0156,2.2860,38.8550
cuda,XLNetLMHeadModel,4,0.9998,3.7818,29.1040
cuda,YituTechConvBert,1,1.0353,2.0166,7.3860
