dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,AlbertForMaskedLM,2,1.690448
cuda,AlbertForQuestionAnswering,2,1.774264
cuda,AllenaiLongformerBase,1,6.183900
cuda,BartForCausalLM,2,2.166233
cuda,BartForConditionalGeneration,1,4.852377
cuda,BertForMaskedLM,64,2.308271
cuda,BertForQuestionAnswering,64,2.305537
cuda,BigBird,1,53.971748
cuda,BlenderbotSmallForCausalLM,64,1.325550
cuda,BlenderbotSmallForConditionalGeneration,32,2.957516
cuda,CamemBert,1,2.389201
cuda,DistilBertForMaskedLM,16,1.283878
cuda,DistilBertForQuestionAnswering,32,1.194552
cuda,DistillGPT2,1,1.063515
cuda,ElectraForCausalLM,1,2.035599
cuda,ElectraForQuestionAnswering,64,2.031646
cuda,GPT2ForSequenceClassification,4,1.973007
cuda,LayoutLMForMaskedLM,16,2.453934
cuda,LayoutLMForSequenceClassification,16,2.525900
cuda,M2M100ForConditionalGeneration,2,65.717728
cuda,MBartForCausalLM,16,2.137516
cuda,MBartForConditionalGeneration,8,4.975734
cuda,MT5ForConditionalGeneration,2,4.374443
cuda,MegatronBertForCausalLM,2,4.531522
cuda,MegatronBertForQuestionAnswering,8,4.536730
cuda,MobileBertForMaskedLM,16,9.479275
cuda,MobileBertForQuestionAnswering,32,9.390115
cuda,OPTForCausalLM,4,2.037597
cuda,PLBartForCausalLM,16,1.201256
cuda,PLBartForConditionalGeneration,8,2.441935
cuda,PegasusForCausalLM,8,26.321455
cuda,PegasusForConditionalGeneration,4,29.687837
cuda,RobertaForCausalLM,4,2.307406
cuda,RobertaForQuestionAnswering,64,2.295691
cuda,Speech2Text2ForCausalLM,64,2.124661
cuda,T5ForConditionalGeneration,4,3.029072
cuda,T5Small,1,3.054290
cuda,TrOCRForCausalLM,8,2.105747
cuda,XGLMForCausalLM,1,126.323917
cuda,XLNetLMHeadModel,4,4.759711
cuda,YituTechConvBert,1,3.170205
