dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,adv_inception_v3,128,1.422444,2.375916
cuda,beit_base_patch16_224,64,1.496750,2.075465
cuda,botnet26t_256,128,1.171623,1.113558
cuda,cait_m36_384,2,3.940698,9.057535
cuda,coat_lite_mini,128,1.392493,1.938880
cuda,convit_base,32,0.962496,1.728119
cuda,convmixer_768_32,32,1.158925,1.450529
cuda,convnext_base,32,1.594490,2.368478
cuda,crossvit_9_240,64,1.814275,3.055288
cuda,cspdarknet53,64,1.593426,1.608895
cuda,deit_base_distilled_patch16_224,64,1.101443,1.625897
cuda,densenet121,64,2.872174,4.247687
cuda,dla102,64,1.479036,2.789678
cuda,dm_nfnet_f0,128,2.183646,2.265922
cuda,dpn107,32,2.884449,3.792075
cuda,eca_botnext26ts_256,64,1.229870,1.316643
cuda,eca_halonext26ts,64,1.281464,1.382082
cuda,ecaresnet101d,64,2.070065,3.587954
cuda,ese_vovnet19b_dw,128,0.872520,0.617020
cuda,fbnetc_100,128,1.560722,1.277096
cuda,fbnetv3_b,128,2.352334,1.986216
cuda,gernet_l,128,1.405067,1.223543
cuda,ghostnet_100,128,1.274655,2.249115
cuda,gluon_inception_v3,128,1.430696,2.394928
cuda,gluon_senet154,32,3.528580,6.903022
cuda,gluon_xception65,32,1.558802,2.749933
cuda,gmixer_24_224,64,1.474773,2.994390
cuda,gmlp_s16_224,64,1.543865,2.465527
cuda,hardcorenas_a,128,1.070910,0.863369
cuda,hrnet_w18,2,5.144873,11.117221
cuda,inception_v3,128,1.411890,2.366495
cuda,jx_nest_base,32,1.893589,3.748650
cuda,lcnet_050,128,0.883654,0.478712
cuda,legacy_senet154,32,2.856299,6.613498
cuda,mixer_b16_224,64,0.873632,1.098643
cuda,mixnet_l,64,3.910813,2.929402
cuda,mnasnet_100,128,1.313564,1.000536
cuda,mobilenetv2_100,128,1.293611,0.880834
cuda,mobilenetv3_large_100,128,1.311262,1.073838
cuda,mobilevit_s,32,1.523105,2.166107
cuda,nasnetalarge,16,5.282732,11.248960
cuda,nfnet_l0,64,1.851396,2.501581
cuda,pit_b_224,64,1.196972,1.824276
cuda,pnasnet5large,16,4.193910,7.398597
cuda,poolformer_m36,64,2.006432,2.791330
cuda,regnety_002,128,1.264983,1.341718
cuda,repvgg_a2,128,1.356771,1.000582
cuda,res2net101_26w_4s,64,2.599342,5.852760
cuda,res2net50_14w_8s,2,2.295092,5.309234
cuda,res2next50,2,1.444568,2.405945
cuda,resmlp_12_224,128,0.966640,1.081094
cuda,resnest101e,32,2.945635,5.415988
cuda,resnet18,128,0.580688,0.385187
cuda,rexnet_100,128,1.465115,1.708572
cuda,sebotnet33ts_256,64,1.485301,1.672432
cuda,selecsls42b,128,0.822671,0.928225
cuda,spnasnet_100,128,1.538086,1.248030
cuda,swin_base_patch4_window7_224,64,3.000948,5.211418
cuda,swsl_resnext101_32x16d,32,1.435146,2.683949
cuda,tf_efficientnet_b0,128,1.554329,1.762356
cuda,tf_mixnet_l,64,4.302132,3.003772
cuda,tinynet_a,128,1.592059,2.019939
cuda,tnt_s_patch16_224,64,2.009784,4.392373
cuda,twins_pcpvt_base,32,2.821660,5.597774
cuda,visformer_small,128,0.998048,1.140750
cuda,vit_base_patch16_224,64,1.111007,1.630217
cuda,volo_d1_224,64,1.722830,3.078400
cuda,xcit_large_24_p8_224,5,3.325027,7.430820
