dev,name,batch_size,speedup,start_latency,peak_memory
cuda,AlbertForMaskedLM,2,1.1638,7.8533,21.7944
cuda,AlbertForQuestionAnswering,2,1.1649,6.4371,21.0089
cuda,AllenaiLongformerBase,1,1.1665,12.1221,12.2990
cuda,BartForCausalLM,2,1.0000,4.6645,20.5694
cuda,BartForConditionalGeneration,1,1.0513,8.2589,28.9723
cuda,BertForMaskedLM,64,1.0533,6.9445,23.7227
cuda,BertForQuestionAnswering,64,1.0728,5.9851,12.3782
cuda,BigBird,1,0.9816,43.4439,12.3550
cuda,BlenderbotSmallForCausalLM,64,1.0156,3.6448,34.3618
cuda,BlenderbotSmallForConditionalGeneration,32,1.0594,6.7934,19.3088
cuda,CamemBert,1,1.1017,6.8637,7.5640
cuda,DebertaForMaskedLM,0,0.0000
cuda,DebertaForQuestionAnswering,0,0.0000
cuda,DistilBertForMaskedLM,16,1.0998,4.6613,8.0185
cuda,DistilBertForQuestionAnswering,32,1.0215,3.7914,5.2408
cuda,DistillGPT2,1,1.2691,4.7262,6.3463
cuda,ElectraForCausalLM,1,1.0589,6.7329,1.8367
cuda,ElectraForQuestionAnswering,64,1.2682,6.0325,14.1211
cuda,GPT2ForSequenceClassification,4,1.5573,6.6130,19.1790
cuda,GoogleFnet,1,1.1405,6.4801,5.9894
cuda,LayoutLMForMaskedLM,16,1.1440,7.3469,25.1370
cuda,LayoutLMForSequenceClassification,16,1.1839,6.0179,16.3937
cuda,M2M100ForConditionalGeneration,2,1.0804,7.9506,32.0775
cuda,MBartForCausalLM,16,1.0254,5.4749,20.4260
cuda,MBartForConditionalGeneration,8,1.0865,8.9883,27.2640
cuda,MT5ForConditionalGeneration,0,0.0000
cuda,MegatronBertForCausalLM,2,1.1376,9.0515,21.5419
cuda,MegatronBertForQuestionAnswering,8,1.1552,8.3125,21.2945
cuda,MobileBertForMaskedLM,16,1.0672,18.7317,6.4687
cuda,MobileBertForQuestionAnswering,32,1.0695,17.5977,3.9021
cuda,OPTForCausalLM,4,1.1664,2.9344,8.9492
cuda,PLBartForCausalLM,16,1.0615,3.6326,12.4677
cuda,PLBartForConditionalGeneration,8,1.0388,5.5544,11.5873
cuda,PegasusForCausalLM,8,1.0836,4.1491,16.5951
cuda,PegasusForConditionalGeneration,4,1.0795,7.3015,26.5574
cuda,RobertaForCausalLM,4,1.1037,6.5840,7.4436
cuda,RobertaForQuestionAnswering,64,1.0719,6.0705,12.3783
cuda,Speech2Text2ForCausalLM,64,1.0870,2.8482,7.8164
cuda,T5ForConditionalGeneration,0,0.0000
cuda,T5Small,0,0.0000
cuda,TrOCRForCausalLM,8,1.0668,4.5150,15.6486
cuda,XGLMForCausalLM,1,1.0730,6.9367,38.8550
cuda,XLNetLMHeadModel,4,1.1268,8.9139,30.7313
cuda,YituTechConvBert,1,1.0911,7.7063,7.3903
