dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,AlbertForMaskedLM,2,1.344035,3.517824
cuda,AlbertForQuestionAnswering,2,1.297922,3.338400
cuda,AllenaiLongformerBase,1,4.775340,11.115353
cuda,BartForCausalLM,2,1.379212,3.230083
cuda,BartForConditionalGeneration,1,4.161434,8.093866
cuda,BertForMaskedLM,64,1.616092,3.273558
cuda,BertForQuestionAnswering,64,1.583983,3.177320
cuda,BigBird,1,8.300383,3.535761
cuda,BlenderbotSmallForCausalLM,64,0.985791,2.098701
cuda,BlenderbotSmallForConditionalGeneration,32,2.934086,5.375095
cuda,CamemBert,1,1.617290,3.254753
cuda,DebertaForMaskedLM,4,3.476853,6.904877
cuda,DebertaForQuestionAnswering,4,3.790850,6.650956
cuda,DistilBertForMaskedLM,16,0.800907,1.793297
cuda,DistilBertForQuestionAnswering,32,0.800813,1.777415
cuda,DistillGPT2,1,0.893089,1.588382
cuda,ElectraForCausalLM,1,1.592887,3.186976
cuda,ElectraForQuestionAnswering,64,1.603253,3.209172
cuda,GPT2ForSequenceClassification,4,1.677935,3.166418
cuda,LayoutLMForMaskedLM,16,1.723466,3.428494
cuda,LayoutLMForSequenceClassification,16,1.883643,3.251867
cuda,M2M100ForConditionalGeneration,2,4.276829,8.136308
cuda,MBartForCausalLM,16,1.387669,3.188625
cuda,MBartForConditionalGeneration,8,4.216338,8.244810
cuda,MT5ForConditionalGeneration,2,5.179997,7.767437
cuda,MegatronBertForCausalLM,2,3.274200,6.611603
cuda,MegatronBertForQuestionAnswering,8,3.236789,6.581145
cuda,MobileBertForMaskedLM,16,7.953082,17.223920
cuda,MobileBertForQuestionAnswering,32,7.961718,17.360399
cuda,OPTForCausalLM,4,1.484521,3.255615
cuda,PLBartForCausalLM,16,0.792639,1.630481
cuda,PLBartForConditionalGeneration,8,2.298283,4.302142
cuda,PegasusForCausalLM,8,1.423702,3.220099
cuda,PegasusForConditionalGeneration,4,4.324200,8.139750
cuda,RobertaForCausalLM,4,1.639029,3.319755
cuda,RobertaForQuestionAnswering,64,1.604311,3.196355
cuda,Speech2Text2ForCausalLM,64,0.971599,1.603303
cuda,T5ForConditionalGeneration,4,3.729928,5.470346
cuda,T5Small,1,3.847890,5.283142
cuda,TrOCRForCausalLM,8,1.334807,3.051339
cuda,XGLMForCausalLM,1,2.767455,6.560361
cuda,XLNetLMHeadModel,4,4.212943,14.719116
cuda,YituTechConvBert,1,2.305087,5.365194
