dev,name,batch_size,speedup,start_latency,peak_memory
cuda,adv_inception_v3,128,0.9974,4.4161,23.9860
cuda,beit_base_patch16_224,64,0.9820,4.1498,27.6522
cuda,botnet26t_256,128,0.9995,2.6333,23.4158
cuda,cait_m36_384,2,0.8963,13.3223,32.3222
cuda,coat_lite_mini,128,0.9996,4.0141,24.0155
cuda,convit_base,32,0.9981,3.1853,10.3139
cuda,convmixer_768_32,32,0.9994,3.6275,27.3984
cuda,convnext_base,32,0.9972,4.4284,20.2407
cuda,crossvit_9_240,64,0.9224,4.9421,9.0279
cuda,cspdarknet53,64,0.9982,3.6330,25.1032
cuda,deit_base_distilled_patch16_224,64,0.9996,3.1194,26.0563
cuda,densenet121,64,0.9278,7.6506,15.2693
cuda,dla102,64,0.9955,4.8005,18.4746
cuda,dm_nfnet_f0,128,0.9989,5.0863,30.9148
cuda,dpn107,32,0.9960,7.4681,25.0462
cuda,eca_botnext26ts_256,64,0.7803,2.8768,27.0846
cuda,eca_halonext26ts,64,0.7860,3.0835,27.0908
cuda,ecaresnet101d,64,0.9957,6.1859,24.4318
cuda,ese_vovnet19b_dw,128,0.9994,1.7366,17.7296
cuda,fbnetc_100,128,0.9974,3.0728,13.9438
cuda,fbnetv3_b,128,0.9960,5.0146,25.0662
cuda,gernet_l,128,0.9982,3.2733,18.3418
cuda,ghostnet_100,128,0.9923,3.9152,10.4864
cuda,gluon_inception_v3,128,0.9973,4.4140,23.9860
cuda,gluon_senet154,32,0.9997,10.9972,29.8855
cuda,gluon_xception65,32,0.9971,5.0347,29.1967
cuda,gmixer_24_224,64,0.8405,4.8312,21.9803
cuda,gmlp_s16_224,64,0.9960,4.2819,19.1609
cuda,hardcorenas_a,128,0.9977,2.1491,12.7617
cuda,hrnet_w18,2,0.8801,17.4713,1.7300
cuda,inception_v3,128,0.9974,4.3947,23.9860
cuda,jx_nest_base,32,0.9936,6.2953,26.8715
cuda,lcnet_050,128,0.9911,1.4319,4.8203
cuda,legacy_senet154,32,0.9979,10.4502,29.8798
cuda,mixer_b16_224,64,0.9981,2.3104,18.5275
cuda,mixnet_l,64,0.8948,7.2850,21.9234
cuda,mnasnet_100,128,0.9972,2.5982,11.6048
cuda,mobilenetv2_100,128,0.9957,2.4229,20.2896
cuda,mobilenetv3_large_100,128,0.9969,2.6155,12.4245
cuda,mobilevit_s,32,0.7273,4.0081,20.9302
cuda,nasnetalarge,16,0.9960,17.6099,29.6611
cuda,nfnet_l0,64,0.7977,4.8300,23.7009
cuda,pit_b_224,64,0.9986,3.7577,32.2472
cuda,pnasnet5large,16,0.9967,12.9631,30.9990
cuda,poolformer_m36,64,0.9991,5.3809,31.2438
cuda,regnety_002,128,0.9511,2.8537,5.3982
cuda,repvgg_a2,128,0.9987,2.7525,11.7937
cuda,res2net101_26w_4s,64,0.9949,9.2563,22.6039
cuda,res2net50_14w_8s,2,0.8522,8.0628,1.8931
cuda,res2next50,2,0.8762,4.1266,1.8613
cuda,resmlp_12_224,128,0.9980,2.2035,15.3124
cuda,resnest101e,32,0.9134,8.9170,18.4619
cuda,resnet18,128,0.9969,1.0642,6.5807
cuda,rexnet_100,128,0.8309,3.6537,33.6581
cuda,sebotnet33ts_256,64,0.8202,3.7577,32.1627
cuda,selecsls42b,128,0.9982,1.9542,12.7190
cuda,spnasnet_100,128,0.9962,3.0072,12.7970
cuda,swin_base_patch4_window7_224,64,0.9772,8.8159,37.8678
cuda,swsl_resnext101_32x16d,32,0.9971,4.9066,37.2178
cuda,tf_efficientnet_b0,128,0.7944,3.8455,38.8522
cuda,tf_mixnet_l,64,0.8982,7.7262,22.6958
cuda,tinynet_a,128,0.7964,4.1225,31.2231
cuda,tnt_s_patch16_224,64,0.9981,7.4740,22.3164
cuda,twins_pcpvt_base,32,0.8382,8.8537,13.9147
cuda,visformer_small,128,1.0000,2.5326,24.5617
cuda,vit_base_patch16_224,64,1.0000,3.0631,25.9201
cuda,volo_d1_224,64,0.9949,5.5270,22.8959
cuda,xcit_large_24_p8_224,5,0.9045,11.8159,25.9373
