dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,adv_inception_v3,128,1.430238,3.719211
cuda,beit_base_patch16_224,64,1.585642,3.555026
cuda,botnet26t_256,128,1.199718,1.803411
cuda,cait_m36_384,2,4.099097,16.640597
cuda,convnext_base,32,1.820289,5.217310
cuda,cspdarknet53,64,1.673848,2.860870
cuda,densenet121,64,2.982796,5.792972
cuda,dm_nfnet_f0,128,2.337414,4.347267
cuda,dpn107,32,2.937026,5.518587
cuda,eca_botnext26ts_256,64,1.307544,2.138584
cuda,eca_halonext26ts,64,1.318789,2.201017
cuda,ecaresnet101d,64,2.175412,5.369626
cuda,ese_vovnet19b_dw,128,0.919384,1.234007
cuda,fbnetv3_b,128,2.506376,5.249574
cuda,gernet_l,128,1.451699,1.936792
cuda,ghostnet_100,128,1.360459,3.700425
cuda,gluon_inception_v3,128,1.372497,3.656411
cuda,gluon_senet154,32,3.428449,9.941908
cuda,gluon_xception65,32,1.764021,4.355852
cuda,gmlp_s16_224,64,1.646514,5.345051
cuda,hrnet_w18,2,5.330326,14.981131
cuda,inception_v3,128,1.364395,3.639222
cuda,jx_nest_base,32,2.108055,6.953135
cuda,lcnet_050,128,0.884974,1.396929
cuda,mobilevit_s,32,1.639546,3.692049
cuda,nfnet_l0,64,1.947273,3.925409
cuda,regnety_002,128,1.337379,2.237912
cuda,repvgg_a2,128,1.399796,1.700001
cuda,res2net101_26w_4s,64,2.708708,8.022382
cuda,res2net50_14w_8s,2,2.392601,7.026191
cuda,res2next50,2,1.598048,3.641191
cuda,resnet18,128,0.601604,0.672090
cuda,sebotnet33ts_256,64,1.541268,2.755290
cuda,selecsls42b,128,0.814173,1.421601
cuda,swin_base_patch4_window7_224,64,3.103188,9.141526
cuda,swsl_resnext101_32x16d,32,1.525538,3.909727
cuda,tf_efficientnet_b0,128,1.658022,2.843138
cuda,tf_mixnet_l,64,4.369920,4.646037
cuda,tinynet_a,128,1.683759,3.334317
cuda,volo_d1_224,64,1.940449,5.874297
