dev,name,batch_size,speedup,start_latency,peak_memory
cuda,adv_inception_v3,128,0.9999,3.4773,8.4962
cuda,beit_base_patch16_224,64,0.9354,15.2694,16.6663
cuda,botnet26t_256,128,0.8949,13.9674,9.6995
cuda,cait_m36_384,2,0.9536,43.9506,23.6956
cuda,coat_lite_mini,0,0.0000
cuda,convit_base,0,0.0000
cuda,convmixer_768_32,32,1.0587,6.7767,8.0517
cuda,convnext_base,32,0.9464,25.0296,11.8147
cuda,crossvit_9_240,0,0.0000
cuda,cspdarknet53,64,0.9602,7.7512,6.9129
cuda,deit_base_distilled_patch16_224,0,0.0000
cuda,densenet121,64,1.0832,6.2817,5.0009
cuda,dla102,64,1.0062,3.6906,6.9631
cuda,dm_nfnet_f0,128,0.9991,3.0176,11.1170
cuda,dpn107,0,0.0000
cuda,eca_botnext26ts_256,64,0.8917,14.7858,6.0867
cuda,eca_halonext26ts,64,0.8883,16.1489,6.0807
cuda,ecaresnet101d,64,0.8491,11.9707,14.0335
cuda,ese_vovnet19b_dw,128,0.9423,7.1182,6.8218
cuda,fbnetc_100,0,0.0000
cuda,fbnetv3_b,0,0.0000
cuda,gernet_l,128,0.9332,7.8760,7.4190
cuda,ghostnet_100,128,1.0488,18.1242,3.2385
cuda,gluon_inception_v3,128,0.9999,3.4521,8.4962
cuda,gluon_senet154,32,1.0601,17.3955,15.3260
cuda,gluon_xception65,32,1.0539,17.5738,9.9281
cuda,gmixer_24_224,64,0.9305,12.4227,8.6149
cuda,gmlp_s16_224,64,0.8048,10.9192,9.6633
cuda,hardcorenas_a,128,1.0720,17.7977,3.7684
cuda,hrnet_w18,2,1.1065,24.7819,1.4216
cuda,inception_v3,128,0.9998,3.4477,8.4962
cuda,jx_nest_base,32,0.9471,31.4722,17.4078
cuda,lcnet_050,128,1.0503,4.8040,1.3011
cuda,legacy_senet154,0,0.0000
cuda,mixer_b16_224,64,0.8228,9.1930,10.5972
cuda,mixnet_l,0,0.0000
cuda,mnasnet_100,128,1.0844,13.4923,3.3070
cuda,mobilenetv2_100,0,0.0000
cuda,mobilenetv3_large_100,0,0.0000
cuda,mobilevit_s,32,1.1053,20.4252,4.4898
cuda,nasnetalarge,16,1.0036,10.4133,12.9589
cuda,nfnet_l0,64,1.0853,25.8069,6.3438
cuda,pit_b_224,64,0.9003,22.3516,21.8466
cuda,pnasnet5large,16,1.0040,7.9831,14.1794
cuda,poolformer_m36,64,0.9221,14.4706,17.6210
cuda,regnety_002,128,1.1060,17.9896,1.9563
cuda,repvgg_a2,128,1.0259,13.5800,6.7037
cuda,res2net101_26w_4s,64,1.0444,8.2771,8.1844
cuda,res2net50_14w_8s,2,1.0292,7.5684,1.6425
cuda,res2next50,2,1.0576,5.1048,1.6015
cuda,resmlp_12_224,128,1.1485,8.5635,7.2586
cuda,resnest101e,32,1.0858,17.2008,7.9237
cuda,resnet18,128,0.9991,1.4899,2.4094
cuda,rexnet_100,0,0.0000
cuda,sebotnet33ts_256,64,0.9091,20.5004,10.4837
cuda,selecsls42b,128,0.9995,2.0339,5.0301
cuda,spnasnet_100,0,0.0000
cuda,swin_base_patch4_window7_224,64,0.9771,46.4461,20.9929
cuda,swsl_resnext101_32x16d,32,0.9944,4.0803,17.9868
cuda,tf_efficientnet_b0,128,0.9991,2.6734,6.2060
cuda,tf_mixnet_l,64,1.0113,5.8804,4.6401
cuda,tinynet_a,128,1.0609,27.6353,5.8054
cuda,tnt_s_patch16_224,0,0.0000
cuda,twins_pcpvt_base,32,1.0352,65.1487,8.3543
cuda,visformer_small,128,0.8855,16.8598,12.6268
cuda,vit_base_patch16_224,64,0.8822,12.7603,15.5366
cuda,volo_d1_224,0,0.0000
cuda,xcit_large_24_p8_224,5,1.0012,5.5662,11.3350
