dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,Background_Matting,4,0.884736,1.911106
cuda,Super_SloMo,6,1.111618,2.644248
cuda,alexnet,128,0.361774,0.293157
cuda,dcgan,32,0.341413,0.239512
cuda,demucs,4,0.672572
cuda,densenet121,4,1.980056,5.797823
cuda,dlrm,2048,0.604171,0.390464
cuda,drq,1,0.393258,0.315704
cuda,hf_Albert,8,1.471915,4.215783
cuda,hf_Bart,4,1.976346,5.432064
cuda,hf_Bert,4,1.747295,4.123246
cuda,hf_BigBird,2,8.341986,4.244744
cuda,hf_DistilBert,8,0.870122,2.092762
cuda,hf_GPT2,4,1.777659,3.911639
cuda,hf_Longformer,2,4.928438,12.141016
cuda,hf_T5,8,2.507787,5.677803
cuda,mnasnet1_0,32,0.866356,1.730818
cuda,mobilenet_v2,96,0.876997,2.078973
cuda,moco,32,2.008332,0.235269
cuda,nvidia_deeprecommender,256,0.349558,0.265522
cuda,pytorch_CycleGAN_and_pix2pix,1,0.569256,1.129776
cuda,pytorch_stargan,16,0.565875,1.131675
cuda,pytorch_unet,1,0.595696,0.815055
cuda,resnet18,16,0.538249,0.769568
cuda,resnet50,32,0.919456,1.872790
cuda,resnext50_32x4d,8,0.912887,1.810808
cuda,soft_actor_critic,256,0.307261,0.193939
cuda,squeezenet1_1,32,0.510084,0.750123
cuda,tacotron2,64,12.317021,7.692665
cuda,timm_efficientnet,32,1.451846,2.787883
cuda,timm_regnet,32,1.919024,3.503768
cuda,timm_vision_transformer,8,1.108923,3.085546
cuda,timm_vovnet,32,1.040966,1.527056
cuda,tts_angular,64,0.504865,0.142159
cuda,vgg16,64,0.449401,0.469082
cuda,yolov3,16,6.291326,4.106356
