dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,AlbertForMaskedLM,2,1.307695,2.614061
cuda,AlbertForQuestionAnswering,2,1.308492,2.571348
cuda,AllenaiLongformerBase,1,4.765624,8.902095
cuda,BartForCausalLM,2,1.384473,2.279104
cuda,BartForConditionalGeneration,1,3.585485,6.068227
cuda,BertForMaskedLM,64,1.632647,2.308357
cuda,BertForQuestionAnswering,64,1.595347,2.250589
cuda,BigBird,1,8.061988,1.949434
cuda,BlenderbotSmallForCausalLM,64,0.980837,1.417288
cuda,BlenderbotSmallForConditionalGeneration,32,2.246989,4.074794
cuda,CamemBert,1,1.588246,2.246870
cuda,DebertaForMaskedLM,4,3.490471,3.054951
cuda,DebertaForQuestionAnswering,4,3.524727,3.048438
cuda,DistilBertForMaskedLM,16,0.766582,1.128906
cuda,DistilBertForQuestionAnswering,32,0.773769,1.142802
cuda,DistillGPT2,1,0.913346,1.078921
cuda,ElectraForCausalLM,1,1.602378,2.232035
cuda,ElectraForQuestionAnswering,64,1.621687,2.279442
cuda,GPT2ForSequenceClassification,4,1.688108,2.232277
cuda,GoogleFnet,1,1.027765,0.935247
cuda,LayoutLMForMaskedLM,16,1.719752,2.303175
cuda,LayoutLMForSequenceClassification,16,1.700190,2.245246
cuda,M2M100ForConditionalGeneration,2,3.334307,6.159506
cuda,MBartForCausalLM,16,1.433045,2.271413
cuda,MBartForConditionalGeneration,8,3.533665,6.335393
cuda,MT5ForConditionalGeneration,2,3.490993,5.705696
cuda,MegatronBertForCausalLM,2,3.284019,4.691229
cuda,MegatronBertForQuestionAnswering,8,3.289118,4.678062
cuda,MobileBertForMaskedLM,16,8.040369,12.508315
cuda,MobileBertForQuestionAnswering,32,7.816387,12.418241
cuda,OPTForCausalLM,4,1.414005,2.260945
cuda,PLBartForCausalLM,16,0.831732,1.175512
cuda,PLBartForConditionalGeneration,8,1.784962,2.993192
cuda,PegasusForCausalLM,8,1.411476,2.265784
cuda,PegasusForConditionalGeneration,4,3.450083,5.865662
cuda,RobertaForCausalLM,4,1.591536,2.241026
cuda,RobertaForQuestionAnswering,64,1.615737,2.256707
cuda,Speech2Text2ForCausalLM,64,0.855425,1.142939
cuda,T5ForConditionalGeneration,4,2.484451,3.642688
cuda,T5Small,1,2.482883,3.589930
cuda,TrOCRForCausalLM,8,1.351747,2.225901
cuda,XGLMForCausalLM,1,2.659152,4.663028
cuda,XLNetLMHeadModel,4,4.275354,10.190086
cuda,YituTechConvBert,1,2.290303,3.761161
