dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,BERT_pytorch,16,1.370422
cuda,Background_Matting,4,0.552868
cuda,LearningToPaint,96,0.422811
cuda,Super_SloMo,6,0.743819
cuda,alexnet,128,0.317337
cuda,attention_is_all_you_need_pytorch,256,1.139652
cuda,dcgan,32,0.297976
cuda,demucs,4,0.481134
cuda,densenet121,4,1.256736
cuda,dlrm,2048,0.551491
cuda,drq,1,0.361177
cuda,hf_Albert,8,1.076431
cuda,hf_Bart,4,1.342056
cuda,hf_Bert,4,1.215104
cuda,hf_BigBird,2,6.418648
cuda,hf_DistilBert,8,0.591015
cuda,hf_GPT2,4,1.274999
cuda,hf_Longformer,2,3.811655
cuda,hf_Reformer,4,1.346680
cuda,hf_T5,8,1.909461
cuda,mnasnet1_0,32,0.564868
cuda,mobilenet_v2,96,0.576898
cuda,mobilenet_v2_quantized_qat,96,2.224901
cuda,mobilenet_v3_large,32,0.629583
cuda,moco,32,1.316290
cuda,nvidia_deeprecommender,256,0.319325
cuda,pytorch_CycleGAN_and_pix2pix,1,0.422973
cuda,pytorch_stargan,16,0.433629
cuda,pytorch_struct,200,0.351936
cuda,pytorch_unet,1,0.464788
cuda,resnet18,16,0.422734
cuda,resnet50,32,0.626666
cuda,resnet50_quantized_qat,32,1.932412
cuda,resnext50_32x4d,8,0.632497
cuda,shufflenet_v2_x1_0,128,0.683036
cuda,soft_actor_critic,256,0.283965
cuda,speech_transformer,32,1.442173
cuda,squeezenet1_1,32,0.388050
cuda,tacotron2,64,11.316366
cuda,timm_efficientdet,1,11.484444
cuda,timm_efficientnet,32,1.045870
cuda,timm_nfnet,128,1.557542
cuda,timm_regnet,32,1.352319
cuda,timm_resnest,32,0.448817
cuda,timm_vision_transformer,8,0.701328
cuda,timm_vovnet,32,0.803949
cuda,tts_angular,64,0.408428
cuda,vgg16,64,0.334854
cuda,vision_maskrcnn,4,8.975073
cuda,yolov3,16,5.578883
