dev,name,batch_size,speedup,start_latency,peak_memory
cuda,AlbertForMaskedLM,2,0.9997,2.2023,19.6374
cuda,AlbertForQuestionAnswering,2,1.0002,2.2151,19.0970
cuda,AllenaiLongformerBase,1,1.0327,10.6451,10.3431
cuda,BartForCausalLM,2,0.9992,2.4461,19.8393
cuda,BartForConditionalGeneration,1,1.0094,5.3899,30.3063
cuda,BertForMaskedLM,64,0.9995,2.6380,16.9844
cuda,BertForQuestionAnswering,64,0.9990,2.5629,10.4581
cuda,BigBird,1,1.0050,69.5450,10.6017
cuda,BlenderbotSmallForCausalLM,64,1.0044,1.6781,16.9924
cuda,BlenderbotSmallForConditionalGeneration,32,1.0146,3.4423,15.2741
cuda,CamemBert,1,1.0374,2.5249,7.4238
cuda,DebertaForMaskedLM,0,0.0000
cuda,DebertaForQuestionAnswering,0,0.0000
cuda,DistilBertForMaskedLM,16,1.0364,1.3403,6.1027
cuda,DistilBertForQuestionAnswering,32,1.0286,1.3268,4.9372
cuda,DistillGPT2,1,1.0318,1.1610,6.0285
cuda,ElectraForCausalLM,1,1.0357,2.2550,1.3346
cuda,ElectraForQuestionAnswering,64,1.0003,2.5322,10.1032
cuda,GPT2ForSequenceClassification,4,1.0016,2.3801,16.0470
cuda,LayoutLMForMaskedLM,16,0.9996,3.0897,19.8829
cuda,LayoutLMForSequenceClassification,16,0.9999,2.9943,13.6330
cuda,M2M100ForConditionalGeneration,2,1.2443,81.8862,31.7861
cuda,MBartForCausalLM,16,1.0081,2.4028,17.7344
cuda,MBartForConditionalGeneration,8,1.0114,5.6281,27.2636
cuda,MT5ForConditionalGeneration,2,1.0199,4.7716,21.0459
cuda,MegatronBertForCausalLM,2,1.0399,4.8739,21.4824
cuda,MegatronBertForQuestionAnswering,8,1.0389,5.0125,21.2944
cuda,MobileBertForMaskedLM,16,1.0156,10.2799,4.7211
cuda,MobileBertForQuestionAnswering,32,1.0142,10.2500,3.2588
cuda,OPTForCausalLM,4,1.0117,2.2713,8.7063
cuda,PLBartForCausalLM,16,1.0134,1.3809,8.5880
cuda,PLBartForConditionalGeneration,8,1.0164,2.7900,11.0339
cuda,PegasusForCausalLM,8,1.1910,33.4453,15.6351
cuda,PegasusForConditionalGeneration,4,1.2272,43.3355,26.5574
cuda,RobertaForCausalLM,4,1.0423,2.5221,7.3323
cuda,RobertaForQuestionAnswering,64,1.0006,2.6162,10.4518
cuda,Speech2Text2ForCausalLM,64,1.1446,10.7619,3.8502
cuda,T5ForConditionalGeneration,4,0.9949,3.5515,12.7546
cuda,T5Small,1,1.0212,3.3978,5.8115
cuda,TrOCRForCausalLM,8,1.0152,2.3943,15.2368
cuda,XGLMForCausalLM,1,1.2359,137.7439,38.6175
cuda,XLNetLMHeadModel,4,0.9993,5.6158,28.7061
cuda,YituTechConvBert,1,1.0243,3.5597,7.2651
