dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,Background_Matting,4,1.511394
cuda,LearningToPaint,96,0.735785
cuda,Super_SloMo,6,1.505566
cuda,alexnet,128,0.469825
cuda,attention_is_all_you_need_pytorch,256,2.163819
cuda,dcgan,32,0.417385
cuda,demucs,4,0.876189
cuda,densenet121,4,3.224418
cuda,dlrm,2048,0.733046
cuda,drq,1,0.474150
cuda,hf_Albert,8,1.490131
cuda,hf_Bart,4,2.419368
cuda,hf_Bert,4,2.266018
cuda,hf_BigBird,2,54.664204
cuda,hf_DistilBert,8,1.252484
cuda,hf_GPT2,4,1.914849
cuda,hf_Longformer,2,6.122420
cuda,hf_Reformer,4,2.809673
cuda,hf_T5,8,3.063291
cuda,mnasnet1_0,32,1.366339
cuda,mobilenet_v2,96,1.394343
cuda,mobilenet_v3_large,32,1.547492
cuda,moco,32,2.940581
cuda,nvidia_deeprecommender,256,216.149262
cuda,pytorch_CycleGAN_and_pix2pix,1,0.860137
cuda,pytorch_stargan,16,0.779254
cuda,pytorch_struct,200,0.452348
cuda,pytorch_unet,1,0.912565
cuda,resnet18,16,0.740904
cuda,resnet50,32,1.352276
cuda,resnext50_32x4d,8,1.358829
cuda,shufflenet_v2_x1_0,128,1.504596
cuda,soft_actor_critic,256,0.329223
cuda,speech_transformer,32,3.021424
cuda,squeezenet1_1,32,0.716237
cuda,timm_efficientdet,1,14.725467
cuda,timm_efficientnet,32,2.139443
cuda,timm_nfnet,128,2.312277
cuda,timm_regnet,32,2.898148
cuda,timm_resnest,32,1.003603
cuda,timm_vision_transformer,8,1.611971
cuda,timm_vovnet,32,1.408762
cuda,tts_angular,64,1.019408
cuda,vgg16,64,0.572849
cuda,yolov3,16,8.275476
