dev,name,batch_size,speedup,start_latency,peak_memory
cuda,adv_inception_v3,128,1.4738,95.5968,23.9869
cuda,beit_base_patch16_224,64,1.0086,52.8453,27.7916
cuda,botnet26t_256,128,1.4024,131.4991,23.4148
cuda,cait_m36_384,2,1.1742,148.1133,32.3196
cuda,coat_lite_mini,0,0.0000
cuda,convit_base,0,0.0000
cuda,convmixer_768_32,32,1.0863,18.0420,27.4236
cuda,convnext_base,32,1.1682,174.2792,20.9011
cuda,crossvit_9_240,64,1.4133,131.8224,9.1569
cuda,cspdarknet53,64,1.4412,59.7134,21.3375
cuda,deit_base_distilled_patch16_224,64,1.1064,44.6246,26.1962
cuda,densenet121,64,1.2729,156.2037,15.2710
cuda,dla102,64,1.4125,67.3433,18.4751
cuda,dm_nfnet_f0,128,1.4434,21.1203,32.1218
cuda,dpn107,32,1.3535,145.4149,25.0447
cuda,eca_botnext26ts_256,64,1.3848,186.7857,27.1842
cuda,eca_halonext26ts,64,1.3723,162.0171,27.1910
cuda,ecaresnet101d,64,1.1082,56.1852,24.4345
cuda,ese_vovnet19b_dw,128,1.3579,42.5725,18.1411
cuda,fbnetc_100,128,1.4230,51.5186,13.9462
cuda,fbnetv3_b,128,1.4357,79.8583,25.1690
cuda,gernet_l,128,1.1712,29.1618,18.3418
cuda,ghostnet_100,128,1.8102,112.9295,10.4902
cuda,gluon_inception_v3,128,1.4721,18.4954,23.9869
cuda,gluon_senet154,32,1.0726,66.9320,29.8751
cuda,gluon_xception65,32,1.1116,53.4510,29.1971
cuda,gmixer_24_224,64,1.0901,179.8127,22.0014
cuda,gmlp_s16_224,64,1.1303,104.1494,19.4905
cuda,hardcorenas_a,128,1.4136,49.9279,12.9683
cuda,hrnet_w18,2,4.2021,115.4627,1.7304
cuda,inception_v3,128,1.4722,18.6205,23.9869
cuda,jx_nest_base,0,0.0000
cuda,lcnet_050,128,1.9312,24.1495,4.8717
cuda,legacy_senet154,32,1.0738,32.1873,29.8759
cuda,mixer_b16_224,0,0.0000
cuda,mixnet_l,64,1.2270,107.5726,22.0257
cuda,mnasnet_100,128,1.4465,25.6380,11.8110
cuda,mobilenetv2_100,128,1.4619,29.5679,20.4983
cuda,mobilenetv3_large_100,128,1.5196,23.9995,12.5266
cuda,mobilevit_s,32,1.2687,231.9069,20.9659
cuda,nasnetalarge,0,0.0000
cuda,nfnet_l0,64,1.3554,64.0623,23.7027
cuda,pit_b_224,64,1.2281,105.8454,33.1910
cuda,pnasnet5large,0,0.0000
cuda,poolformer_m36,64,1.1557,79.0734,32.7876
cuda,regnety_002,128,1.7426,42.6555,5.2102
cuda,repvgg_a2,128,1.3677,19.6983,11.7941
cuda,res2net101_26w_4s,64,1.3114,88.8266,22.6024
cuda,res2net50_14w_8s,2,4.1714,112.7933,1.9755
cuda,res2next50,2,3.9653,53.3384,1.9303
cuda,resmlp_12_224,128,0.8262,64.7193,15.7453
cuda,resnest101e,32,1.3820,96.3100,17.8829
cuda,resnet18,128,1.3645,19.0848,6.5802
cuda,rexnet_100,128,1.3617,137.9981,33.8605
cuda,sebotnet33ts_256,64,1.3332,142.1150,32.2643
cuda,selecsls42b,128,1.3186,54.2729,12.7200
cuda,spnasnet_100,128,1.4160,12.9169,13.0025
cuda,swin_base_patch4_window7_224,64,1.1250,188.1572,38.5231
cuda,swsl_resnext101_32x16d,0,0.0000
cuda,tf_efficientnet_b0,128,1.4020,78.3630,39.0569
cuda,tf_mixnet_l,64,1.2482,72.7453,22.7997
cuda,tinynet_a,128,1.3132,81.1820,31.3761
cuda,tnt_s_patch16_224,0,0.0000
cuda,twins_pcpvt_base,32,1.3488,336.6239,14.9132
cuda,visformer_small,128,1.0714,83.7404,24.7413
cuda,vit_base_patch16_224,64,1.0944,22.9978,26.0571
cuda,volo_d1_224,0,0.0000
cuda,xcit_large_24_p8_224,5,1.3038,194.8935,23.9915
