dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,adv_inception_v3,128,1.397383,6.539166
cuda,botnet26t_256,128,1.190501,3.479705
cuda,cait_m36_384,2,4.141411,49.788450
cuda,convmixer_768_32,32,1.268259,4.306381
cuda,convnext_base,32,1.806041,10.373092
cuda,crossvit_9_240,64,1.779066,14.434260
cuda,cspdarknet53,64,1.653341,4.248387
cuda,deit_base_distilled_patch16_224,64,1.198714,7.021079
cuda,densenet121,64,2.964554,12.105655
cuda,dla102,64,1.553662,7.336180
cuda,dm_nfnet_f0,128,2.237870,7.200019
cuda,dpn107,32,2.923609,11.694818
cuda,eca_botnext26ts_256,64,1.263127,3.980277
cuda,eca_halonext26ts,64,1.318346,4.339983
cuda,ecaresnet101d,64,2.138560,10.917408
cuda,ese_vovnet19b_dw,128,0.952358,2.012438
cuda,fbnetc_100,128,1.465366,3.647144
cuda,fbnetv3_b,128,2.470128,6.742242
cuda,gernet_l,128,1.451142,3.462419
cuda,ghostnet_100,128,1.358649,7.074967
cuda,gluon_inception_v3,128,1.380349,6.457412
cuda,gluon_senet154,32,3.486439,18.972979
cuda,gluon_xception65,32,1.731219,7.942193
cuda,gmixer_24_224,64,1.715097,13.018335
cuda,gmlp_s16_224,64,1.627346,12.287704
cuda,hardcorenas_a,128,1.113827,2.557502
cuda,hrnet_w18,2,5.387091,30.263087
cuda,inception_v3,128,1.376892,6.512114
cuda,lcnet_050,128,0.931257,1.648356
cuda,legacy_senet154,32,3.129518,18.453375
cuda,mixer_b16_224,64,0.996260,4.775662
cuda,mixnet_l,64,4.037444,9.370865
cuda,mnasnet_100,128,1.369017,2.937978
cuda,mobilenetv2_100,128,1.363866,2.702099
cuda,mobilenetv3_large_100,128,1.404394,3.390360
cuda,mobilevit_s,32,1.642702,7.934315
cuda,nasnetalarge,16,5.640652,34.673601
cuda,nfnet_l0,64,1.961509,7.450372
cuda,pnasnet5large,16,4.516111,23.627177
cuda,poolformer_m36,64,2.136260,8.632915
cuda,regnety_002,128,1.471961,3.993009
cuda,repvgg_a2,128,1.389654,2.808848
cuda,res2net101_26w_4s,64,2.750854,17.535876
cuda,res2net50_14w_8s,2,2.412204,16.470620
cuda,res2next50,2,1.578461,7.345910
cuda,resmlp_12_224,128,1.012594,4.085494
cuda,resnest101e,32,3.172543,17.767637
cuda,resnet18,128,0.602760,1.075060
cuda,rexnet_100,128,1.554442,5.069053
cuda,sebotnet33ts_256,64,1.551327,5.352092
cuda,selecsls42b,128,0.810451,2.476022
cuda,spnasnet_100,128,1.463751,3.633170
cuda,swsl_resnext101_32x16d,32,1.503204,6.971339
cuda,tf_efficientnet_b0,128,1.606628,4.564744
cuda,tf_mixnet_l,64,4.282816,9.254799
cuda,tinynet_a,128,1.712653,5.715887
cuda,tnt_s_patch16_224,64,2.259008,22.402456
cuda,visformer_small,128,1.066634,3.955566
cuda,vit_base_patch16_224,64,1.208659,7.040686
cuda,volo_d1_224,64,1.896092,13.466586
cuda,xcit_large_24_p8_224,5,3.590031,35.360169
