dev,name,batch_size,speedup,start_latency,peak_memory
cuda,BERT_pytorch,16,0.7050,12.1753,7.7481
cuda,Background_Matting,4,1.0160,4.8680,7.0874
cuda,LearningToPaint,96,0.9317,1.6056,1.4137
cuda,Super_SloMo,6,0.9963,5.0555,5.9494
cuda,alexnet,128,0.9967,0.7715,4.4527
cuda,attention_is_all_you_need_pytorch,256,0.7551,13.8180,7.5279
cuda,dcgan,32,0.8727,0.5636,0.2033
cuda,demucs,4,0.9965,0.8681,17.6372
cuda,densenet121,4,0.8056,13.0781,0.8004
cuda,dlrm,2048,0.8498,1.2059,16.2088
cuda,drq,1,0.7580,0.8482,0.2216
cuda,fastNLP_Bert,0,0.0000
cuda,hf_Albert,0,0.0000
cuda,hf_Bart,0,0.0000
cuda,hf_Bert,0,0.0000
cuda,hf_BigBird,2,0.7688,15.8221,13.0283
cuda,hf_DistilBert,0,0.0000
cuda,hf_GPT2,0,0.0000
cuda,hf_Longformer,2,0.7121,64.9887,12.2509
cuda,hf_Reformer,0,0.0000
cuda,hf_T5,0,0.0000
cuda,mnasnet1_0,32,0.9246,3.5029,1.1437
cuda,mobilenet_v2,96,0.9860,3.4430,5.3165
cuda,mobilenet_v3_large,32,0.9239,4.1033,1.2386
cuda,moco,32,0.9973,2.3676,3.8035
cuda,nvidia_deeprecommender,256,0.9955,0.6366,14.8097
cuda,pytorch_CycleGAN_and_pix2pix,1,0.8469,2.9321,0.9404
cuda,pytorch_stargan,16,0.9737,2.9492,1.0940
cuda,pytorch_struct,200,0.6274,1.3320,1.5203
cuda,pytorch_unet,1,0.9936,1.8736,3.1464
cuda,resnet18,16,0.9004,1.6378,1.0343
cuda,resnet50,32,0.9182,3.8584,3.2653
cuda,resnext50_32x4d,8,0.8720,3.8954,2.0977
cuda,shufflenet_v2_x1_0,128,0.9079,4.7297,1.9437
cuda,soft_actor_critic,256,0.6693,0.4706,0.0802
cuda,speech_transformer,0,0.0000
cuda,squeezenet1_1,32,0.9234,1.6688,0.6482
cuda,tacotron2,64,0.6870,51.7911,22.0138
cuda,timm_efficientdet,1,0.8089,33.9422,1.5350
cuda,timm_efficientnet,32,0.8277,5.8115,2.2425
cuda,timm_nfnet,128,0.9974,8.9094,11.7529
cuda,timm_regnet,32,0.9386,7.4524,6.8242
cuda,timm_resnest,32,0.9630,2.6044,2.0833
cuda,timm_vision_transformer,8,0.6739,7.3960,1.8542
cuda,timm_vovnet,32,0.9592,3.3585,3.1306
cuda,tts_angular,64,0.9377,0.5798,0.7849
cuda,vgg16,64,0.9979,1.2060,13.0592
cuda,vision_maskrcnn,0,0.0000
cuda,yolov3,16,0.9659,11.7481,9.2464
