dev,name,batch_size,speedup,start_latency,peak_memory
cuda,AlbertForMaskedLM,2,1.3420,16.7974,15.7671
cuda,AlbertForQuestionAnswering,2,1.3474,14.1379,15.1208
cuda,AllenaiLongformerBase,1,1.1508,58.0982,7.9831
cuda,BartForCausalLM,2,1.1111,14.3058,14.9783
cuda,BartForConditionalGeneration,0,0.0000
cuda,BertForMaskedLM,64,1.1069,17.0405,14.7358
cuda,BertForQuestionAnswering,64,1.2088,14.8224,7.9101
cuda,BigBird,0,0.0000
cuda,BlenderbotSmallForCausalLM,64,1.0761,11.8174,16.2284
cuda,BlenderbotSmallForConditionalGeneration,0,0.0000
cuda,CamemBert,1,2.7189,16.0063,5.9318
cuda,DebertaForMaskedLM,0,0.0000
cuda,DebertaForQuestionAnswering,0,0.0000
cuda,DistilBertForMaskedLM,16,1.5036,21.4534,5.2300
cuda,DistilBertForQuestionAnswering,32,1.1543,18.4576,4.0814
cuda,DistillGPT2,1,1.0783,6.8157,4.7227
cuda,ElectraForCausalLM,1,4.6032,16.5455,1.2026
cuda,ElectraForQuestionAnswering,64,1.5829,18.2161,5.9610
cuda,GPT2ForSequenceClassification,4,1.8432,13.7501,10.1266
cuda,LayoutLMForMaskedLM,16,1.2147,16.0506,15.0668
cuda,LayoutLMForSequenceClassification,16,1.3077,20.6809,8.8792
cuda,M2M100ForConditionalGeneration,2,2.9332,43.0824,24.1650
cuda,MBartForCausalLM,16,1.1543,16.8353,14.2761
cuda,MBartForConditionalGeneration,8,2.1272,46.0913,21.0522
cuda,MT5ForConditionalGeneration,2,4.1941,46.5816,16.1085
cuda,MegatronBertForCausalLM,2,3.3421,32.8070,15.7151
cuda,MegatronBertForQuestionAnswering,8,2.2787,28.6007,16.2132
cuda,MobileBertForMaskedLM,16,3.8527,57.1619,4.2909
cuda,MobileBertForQuestionAnswering,32,3.9885,53.7229,3.7369
cuda,OPTForCausalLM,0,0.0000
cuda,PLBartForCausalLM,16,1.2696,8.0329,7.3732
cuda,PLBartForConditionalGeneration,8,2.0688,32.3127,8.6433
cuda,PegasusForCausalLM,8,1.5485,18.6342,12.1108
cuda,PegasusForConditionalGeneration,4,2.8715,49.9833,19.9251
cuda,RobertaForCausalLM,4,3.7902,18.8268,5.7921
cuda,RobertaForQuestionAnswering,64,1.2141,14.6307,7.9102
cuda,Speech2Text2ForCausalLM,64,1.6034,12.2443,3.6486
cuda,T5ForConditionalGeneration,4,0.0017,251.3632,12.0612
cuda,T5Small,1,0.0009,297.1244,5.0567
cuda,TrOCRForCausalLM,8,1.6481,13.4849,11.6545
cuda,XGLMForCausalLM,1,3.6987,35.6918,29.6978
cuda,XLNetLMHeadModel,4,1.0083,54.6158,20.4694
cuda,YituTechConvBert,1,4.1933,24.2291,5.6869
