dev,name,batch_size,speedup,start_latency,peak_memory
cuda,adv_inception_v3,128,1.7191,112.8927,9.3441
cuda,beit_base_patch16_224,0,0.0000
cuda,botnet26t_256,128,1.5636,155.9569,8.8119
cuda,cait_m36_384,2,1.8409,172.3647,22.4758
cuda,coat_lite_mini,0,0.0000
cuda,convit_base,0,0.0000
cuda,convmixer_768_32,32,1.0970,22.9914,8.0799
cuda,convnext_base,32,0.7231,248.9203,9.8427
cuda,crossvit_9_240,0,0.0000
cuda,cspdarknet53,64,1.6685,86.5609,7.9643
cuda,deit_base_distilled_patch16_224,0,0.0000
cuda,densenet121,64,1.2590,204.1892,5.4307
cuda,dla102,0,0.0000
cuda,dm_nfnet_f0,128,1.5034,26.6907,10.2346
cuda,dpn107,0,0.0000
cuda,eca_botnext26ts_256,64,1.4929,175.8196,4.5638
cuda,eca_halonext26ts,64,1.4702,196.4976,4.5950
cuda,ecaresnet101d,64,1.4982,68.4596,8.4264
cuda,ese_vovnet19b_dw,128,1.5328,60.5137,5.8443
cuda,fbnetc_100,128,1.6575,62.1013,4.6263
cuda,fbnetv3_b,128,1.6730,122.9710,6.3223
cuda,gernet_l,128,1.3328,35.9438,6.6445
cuda,ghostnet_100,128,1.7513,132.6666,3.1117
cuda,gluon_inception_v3,128,1.7178,24.8377,9.3441
cuda,gluon_senet154,32,1.6280,80.9153,13.2739
cuda,gluon_xception65,32,1.2447,71.6400,9.9314
cuda,gmixer_24_224,64,1.4213,148.3438,4.8078
cuda,gmlp_s16_224,64,1.2731,103.7551,6.8213
cuda,hardcorenas_a,128,1.6595,54.1582,3.7382
cuda,hrnet_w18,2,4.5364,162.2600,1.6497
cuda,inception_v3,128,1.7184,25.0330,9.3441
cuda,jx_nest_base,32,1.4910,160.9668,10.2531
cuda,lcnet_050,128,2.6277,27.8605,1.5417
cuda,legacy_senet154,32,1.6528,45.8679,13.2749
cuda,mixer_b16_224,64,1.1610,88.0005,8.1861
cuda,mixnet_l,64,1.3072,148.8367,4.8241
cuda,mnasnet_100,128,1.7329,29.4876,3.8366
cuda,mobilenetv2_100,128,1.7901,32.4966,5.3759
cuda,mobilenetv3_large_100,128,1.7997,27.7841,3.7071
cuda,mobilevit_s,32,1.3162,318.1811,3.2418
cuda,nasnetalarge,16,1.3393,211.0764,12.2643
cuda,nfnet_l0,64,1.6173,72.9429,4.3600
cuda,pit_b_224,64,1.4260,124.6064,12.4938
cuda,pnasnet5large,16,1.2299,173.2691,13.1353
cuda,poolformer_m36,64,1.3137,112.8885,12.2265
cuda,regnety_002,128,2.5230,71.1177,1.8679
cuda,repvgg_a2,128,1.4322,25.9355,5.0940
cuda,res2net101_26w_4s,64,1.2209,117.3212,9.0009
cuda,res2net50_14w_8s,2,1.1318,148.2503,1.8139
cuda,res2next50,2,1.1402,60.5981,1.7667
cuda,resmlp_12_224,128,1.4095,74.9333,5.0386
cuda,resnest101e,0,0.0000
cuda,resnet18,128,1.5329,20.7935,3.0987
cuda,rexnet_100,128,1.5052,184.8306,5.5445
cuda,sebotnet33ts_256,64,1.4352,151.2674,6.0430
cuda,selecsls42b,128,1.5067,59.3114,5.1081
cuda,spnasnet_100,128,1.6848,18.5278,4.1409
cuda,swin_base_patch4_window7_224,64,1.4606,261.9423,18.3304
cuda,swsl_resnext101_32x16d,32,1.2432,32.9119,20.3045
cuda,tf_efficientnet_b0,128,1.5602,83.8063,5.2847
cuda,tf_mixnet_l,64,1.3264,105.4384,4.9004
cuda,tinynet_a,128,1.5827,80.2539,3.8568
cuda,tnt_s_patch16_224,0,0.0000
cuda,twins_pcpvt_base,32,1.0235,372.6502,6.3839
cuda,visformer_small,128,1.3087,99.5658,8.7441
cuda,vit_base_patch16_224,0,0.0000
cuda,volo_d1_224,0,0.0000
cuda,xcit_large_24_p8_224,0,0.0000
