dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,0.830058,13.114479,3.314131,1.824472,9.154790,5.848854,2.556134,0.192568,64.067211,72.163749
cuda,botnet26t_256,128,0.754829,7.982592,4.030886,1.519394,6.880767,4.689295,1.703522,0.085182,72.096070,76.526363
cuda,cait_m36_384,2,2.624720,33.474554,8.901371,5.050556,19.902839,14.404289,4.414185,0.559288,70.140932,86.566558
cuda,convmixer_768_32,32,0.644442,8.758997,1.694861,1.123830,2.655615,1.648176,0.726015,0.124215,7.064247,9.253306
cuda,convnext_base,32,1.157247,15.205260,4.738354,2.482322,11.081964,7.628482,2.670504,0.268552,116.455680,125.458362
cuda,cspdarknet53,64,1.222479,9.159739,1.847407,1.243679,4.723894,3.005109,1.150417,0.141543,1.820380,6.051101
cuda,densenet121,64,2.284098,21.283182,6.474810,2.586071,16.815068,10.559719,4.720939,0.252178,0.415383,13.555879
cuda,dm_nfnet_f0,128,1.599769,16.935896,4.528514,2.086428,7.631135,5.528026,1.415741,0.212568,1.068313,6.448036
cuda,eca_botnext26ts_256,64,0.836158,8.782563,4.279581,1.937505,7.007039,4.706423,1.780535,0.095054,92.824969,97.562822
cuda,eca_halonext26ts,64,0.881300,11.388648,6.633317,2.774510,9.856701,6.990957,2.294299,0.104093,98.524814,104.592631
cuda,ecaresnet101d,64,1.308717,16.385432,2.615338,1.745562,7.334081,4.789382,1.850290,0.241960,34.682120,41.337200
cuda,ese_vovnet19b_dw,128,0.523139,4.733315,1.787777,0.626663,4.361805,2.686913,1.238354,0.078304,0.156821,3.400828
cuda,fbnetc_100,128,1.075145,7.774469,1.473948,1.023823,4.639960,3.034208,1.105151,0.127091,33.652337,37.934639
cuda,fbnetv3_b,128,1.755663,15.762323,3.569761,2.011936,7.894644,5.130006,1.961242,0.259393,63.565482,70.463398
cuda,gernet_l,128,1.072374,6.725323,1.029176,0.839851,2.854997,1.685217,0.783384,0.105443,18.206987,20.956518
cuda,ghostnet_100,128,0.820749,11.963414,2.583007,1.523905,8.478235,5.187348,2.169582,0.204614,0.275918,7.833395
cuda,gluon_inception_v3,128,0.846799,13.217965,3.308448,1.799764,9.087664,5.803315,2.549003,0.190414,1.086736,9.095528
cuda,gluon_senet154,32,2.263844,29.816880,5.023260,2.676230,11.244617,7.508818,2.735124,0.439876,25.471256,34.677997
cuda,gluon_xception65,32,0.982548,15.706816,2.105483,1.540431,5.644843,3.595000,1.444844,0.230891,32.943745,38.204841
cuda,gmixer_24_224,64,1.106390,11.557948,3.237255,1.489187,7.772079,5.439916,1.808626,0.211834,0.272469,6.430905
cuda,gmlp_s16_224,64,0.984466,16.907662,6.816754,2.080167,11.417641,8.516757,2.396852,0.208368,0.381341,7.234620
cuda,hardcorenas_a,128,0.680489,6.049658,1.595457,0.831684,4.363378,2.847236,0.996151,0.109892,27.179847,30.845779
cuda,hrnet_w18,2,3.607471,49.758990,6.072780,4.202155,16.730739,11.396148,3.971194,0.558594,69.135609,84.485154
cuda,inception_v3,128,0.836620,13.246003,3.287011,1.812919,9.092899,5.813007,2.546838,0.192054,1.180873,9.227040
cuda,jx_nest_base,32,1.377280,19.364025,7.634749,3.238492,13.260555,9.270465,3.259303,0.301098,87.218223,96.269343
cuda,lcnet_050,128,0.515800,4.448449,1.013769,0.738574,2.982309,1.895064,0.756908,0.073616,12.974844,15.733664
cuda,legacy_senet154,32,2.030726,28.991916,4.935840,2.676420,11.309278,7.572111,2.746049,0.439820,2.467114,11.824461
cuda,mixer_b16_224,64,0.522775,7.442373,2.201343,1.092505,4.610684,3.272297,0.976249,0.106116,40.136546,43.729828
cuda,mixnet_l,64,3.460276,13.038079,3.110251,1.519282,7.893426,4.627621,2.092947,0.276139,0.278788,6.717401
cuda,mnasnet_100,128,0.858661,6.193439,1.260830,1.051306,3.959237,2.563040,0.969427,0.104639,13.416617,17.240521
cuda,mobilenetv2_100,128,0.858424,6.823697,1.389168,0.943116,4.033839,2.639048,0.956743,0.113685,14.083356,17.752131
cuda,mobilenetv3_large_100,128,0.869943,7.634932,1.854246,1.070989,5.133972,3.369801,1.195371,0.133624,10.382013,14.820664
cuda,mobilevit_s,32,1.112619,15.103126,7.993951,3.584127,15.106701,10.451403,3.888554,0.185565,0.261927,11.071925
cuda,nasnetalarge,16,3.769415,56.249684,13.832580,4.438521,30.627402,20.150392,8.662870,0.674699,2.228512,23.945392
cuda,nfnet_l0,64,1.292539,11.214040,3.074032,1.322391,5.477019,3.759195,1.095097,0.201693,32.930661,36.782851
