dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,2,0.976366,7.588736,1.976267,1.224637,3.649649,2.237761,1.083214,0.118438,27.424359,30.411419
cuda,AlbertForQuestionAnswering,2,0.997467,7.420007,1.814745,1.198058,3.429878,2.243612,0.860443,0.118284,2.281197,5.179030
cuda,BartForCausalLM,2,0.924739,7.988126,2.142150,1.189313,3.626047,2.131282,0.894253,0.144236,11.550690,14.317286
cuda,BartForConditionalGeneration,1,470.322078,17.856295,4.646939,3.879848,33.517554,5.775015,2.606179,0.379952,460.965680,495.093940
cuda,BertForMaskedLM,64,1.140342,8.082858,2.168002,1.469531,3.624416,2.329155,0.938399,0.151950,15.369378,18.398117
cuda,BertForQuestionAnswering,64,1.126603,7.860842,2.079625,1.410593,3.513314,2.254371,0.919518,0.149367,2.931229,5.875492
cuda,BlenderbotSmallForCausalLM,64,0.638893,5.313188,1.513429,0.862629,2.673994,1.742765,0.659587,0.104517,18.408148,20.495970
cuda,BlenderbotSmallForConditionalGeneration,32,569.792024,12.263082,3.680701,3.353278,36.498491,4.587668,2.544279,0.282692,572.498690,610.171102
cuda,CamemBert,1,1.137548,7.716204,1.848343,1.261974,3.126968,2.021249,0.773970,0.142163,14.878852,17.516254
cuda,DistilBertForMaskedLM,16,0.461717,4.481388,1.291932,0.790424,2.375252,1.486882,0.610293,0.090376,17.162067,19.089082
cuda,DistilBertForQuestionAnswering,32,0.468119,4.359265,1.230756,0.750793,2.270798,1.417444,0.588467,0.087145,13.379935,15.221385
cuda,DistillGPT2,1,0.599921,3.443438,1.050521,0.507856,1.827733,1.158589,0.428628,0.068222,0.000005,1.327866
cuda,ElectraForCausalLM,1,1.182649,7.880767,1.868981,1.061932,3.212055,2.080525,0.778894,0.144755,18.767382,21.496443
cuda,ElectraForQuestionAnswering,64,1.148450,8.076221,2.171754,1.233274,3.596762,2.278309,0.951552,0.153592,18.618140,21.618162
cuda,GPT2ForSequenceClassification,4,1.227535,6.953696,1.974932,1.140049,3.501711,2.163723,0.953886,0.135078,15.178366,17.929989
cuda,LayoutLMForMaskedLM,16,1.252542,8.218519,1.940278,1.251484,3.666757,2.355920,0.959707,0.153981,0.000008,3.078001
cuda,LayoutLMForSequenceClassification,16,1.257042,8.087884,2.083442,1.187498,4.195237,2.543762,1.308733,0.152379,1.179519,4.806119
cuda,M2M100ForConditionalGeneration,2,3.139145,16.855464,4.486429,2.927573,8.781643,5.346881,2.481150,0.428735,31.974954,39.434591
cuda,MBartForCausalLM,16,0.939658,8.197308,2.264264,1.315976,4.002260,2.368572,0.995686,0.156532,12.795100,15.948063
cuda,MBartForConditionalGeneration,8,3.184047,19.054296,5.242558,2.879003,9.032269,5.981229,2.305314,0.401062,23.021656,29.946260
cuda,MT5ForConditionalGeneration,2,4.062574,12.501180,3.317324,2.111088,5.528553,3.444997,1.525607,0.334929,29.674927,34.202924
cuda,MegatronBertForCausalLM,2,2.547147,16.317628,4.184235,2.892975,7.657876,5.164204,1.884294,0.299960,9.892869,16.458855
cuda,MegatronBertForQuestionAnswering,8,2.548268,16.097496,4.100386,2.311262,7.535058,5.272296,1.684931,0.288777,5.927700,11.875456
cuda,MobileBertForMaskedLM,16,6.218171,24.557887,3.658542,3.122118,11.284383,7.259994,2.955077,0.644153,18.476743,29.546442
cuda,MobileBertForQuestionAnswering,32,6.232648,24.657298,3.675822,3.129276,11.381692,7.398554,2.935068,0.641350,9.452386,20.619109
cuda,PLBartForCausalLM,16,0.490458,4.019269,1.059602,0.713709,1.961043,1.218628,0.511578,0.078478,7.967263,9.630928
cuda,PLBartForConditionalGeneration,8,1.792579,9.484090,2.477479,1.662646,4.683910,2.936907,1.302650,0.216887,29.862257,33.865314
cuda,PegasusForCausalLM,8,0.972035,7.849160,2.260486,1.230909,3.887340,2.555175,0.929944,0.152072,13.562310,16.520514
cuda,PegasusForConditionalGeneration,4,3.066568,19.084685,5.370234,3.110362,9.729602,6.197858,2.529803,0.427045,32.012336,39.741162
cuda,RobertaForCausalLM,4,1.134687,8.151555,2.289942,1.592924,3.709654,2.390855,0.972005,0.151668,14.512136,17.624951
cuda,RobertaForQuestionAnswering,64,1.138453,7.977423,2.110684,1.200830,3.547569,2.272203,0.933007,0.150426,0.868323,3.835210
cuda,Speech2Text2ForCausalLM,64,0.541343,3.474307,1.109771,0.616268,2.105711,1.330775,0.531302,0.081607,11.913050,13.570717
cuda,T5ForConditionalGeneration,4,3.175674,9.063626,2.475306,1.456717,3.993303,2.434055,1.114862,0.240967,118.722811,121.842030
cuda,T5Small,1,3.074133,8.182678,1.857902,1.038297,3.203379,1.919337,0.858276,0.226192,132.546346,135.073274
cuda,TrOCRForCausalLM,8,0.877960,7.780176,2.102055,1.186456,3.584356,2.405430,0.866401,0.140989,1.900644,4.662291
cuda,YituTechConvBert,1,1.780708,11.600255,2.464279,1.664400,5.058140,2.961437,1.648546,0.206136,23.803354,28.207893
