dev,name,batch_size,speedup,start_latency,peak_memory
cuda,BERT_pytorch,16,3.0807,37.6028,5.4361
cuda,Background_Matting,4,1.2554,42.8939,6.9839
cuda,LearningToPaint,96,1.9148,29.9739,1.0507
cuda,Super_SloMo,6,1.2612,61.5315,4.3089
cuda,alexnet,128,1.1680,8.8599,3.3975
cuda,attention_is_all_you_need_pytorch,256,1.2285,96.0568,6.6706
cuda,dcgan,32,2.3938,7.0184,0.1558
cuda,densenet121,4,1.0995,184.1575,0.6499
cuda,dlrm,2048,1.8050,14.2337,11.4091
cuda,drq,0,0.0000
cuda,fastNLP_Bert,0,0.0000
cuda,hf_Albert,8,1.7171,47.4761,6.2676
cuda,hf_Bart,4,1.4069,45.0795,11.5522
cuda,hf_Bert,4,1.6196,24.6214,7.8784
cuda,hf_BigBird,0,0.0000
cuda,hf_DistilBert,8,0.9770,31.1284,8.3452
cuda,hf_GPT2,4,1.6041,40.9851,10.6539
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,0,0.0000
cuda,hf_T5,0,0.0000
cuda,mnasnet1_0,32,2.5005,73.2935,1.1635
cuda,mobilenet_v2,96,1.8026,55.6458,3.9035
cuda,mobilenet_v3_large,32,2.8428,101.8968,1.1781
cuda,moco,0,0.0000
cuda,nvidia_deeprecommender,256,0.8508,6.7892,11.1456
cuda,pytorch_CycleGAN_and_pix2pix,1,2.5482,21.2713,0.7596
cuda,pytorch_stargan,16,1.3268,43.6392,1.1607
cuda,pytorch_struct,0,0.0000
cuda,pytorch_unet,1,1.5354,23.8159,2.7681
cuda,resnet18,16,2.6698,27.4138,0.9235
cuda,resnet50,32,1.8055,29.7608,2.7649
cuda,resnext50_32x4d,8,3.2836,41.0303,1.6837
cuda,shufflenet_v2_x1_0,128,1.3416,51.2965,1.7581
cuda,soft_actor_critic,0,0.0000
cuda,speech_transformer,0,0.0000
cuda,squeezenet1_1,32,2.0769,15.8561,0.5315
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,0,0.0000
cuda,timm_efficientnet,32,2.5136,91.7426,1.2929
cuda,timm_nfnet,128,1.4830,78.8788,8.8012
cuda,timm_regnet,32,1.4773,53.1363,5.3668
cuda,timm_resnest,32,1.9783,60.4966,1.7678
cuda,timm_vision_transformer,8,0.8957,73.8791,1.4769
cuda,timm_vovnet,32,1.3795,62.2763,2.4763
cuda,tts_angular,0,0.0000
cuda,vgg16,64,1.2679,12.5533,10.1086
cuda,vision_maskrcnn,0,0.0000
cuda,yolov3,0,0.0000
