dev,name,batch_size,speedup,start_latency,peak_memory
cuda,adv_inception_v3,128,1.2451,22.0229,14.3009
cuda,beit_base_patch16_224,64,1.0327,6.4008,16.4807
cuda,botnet26t_256,128,1.3576,21.1209,12.6016
cuda,cait_m36_384,2,1.0013,12.7062,23.8666
cuda,coat_lite_mini,128,1.0586,8.2021,12.2472
cuda,convit_base,32,1.1501,10.8520,11.9896
cuda,convmixer_768_32,32,1.0507,19.3709,14.5336
cuda,convnext_base,32,0.9978,5.8523,12.5089
cuda,crossvit_9_240,64,1.0584,15.3198,4.9852
cuda,cspdarknet53,64,1.2317,28.4141,15.4898
cuda,deit_base_distilled_patch16_224,64,1.0655,5.2088,15.6774
cuda,densenet121,64,1.2052,66.8936,8.9030
cuda,dla102,64,1.3663,34.0728,10.9366
cuda,dm_nfnet_f0,128,1.1329,12.5083,17.6027
cuda,dpn107,32,1.1764,51.6114,15.3605
cuda,eca_botnext26ts_256,64,1.3919,25.0786,8.7116
cuda,eca_halonext26ts,64,1.3724,25.6103,8.7554
cuda,ecaresnet101d,64,1.3272,41.2605,13.6908
cuda,ese_vovnet19b_dw,128,1.3134,15.0461,10.0616
cuda,fbnetc_100,128,1.3538,22.4885,7.3137
cuda,fbnetv3_b,128,1.0315,5.7294,11.4424
cuda,gernet_l,128,1.1717,25.6804,9.9352
cuda,ghostnet_100,128,1.2671,24.3644,5.6416
cuda,gluon_inception_v3,128,1.2454,21.5420,14.3009
cuda,gluon_senet154,32,1.2210,58.5345,18.3403
cuda,gluon_xception65,32,1.1288,28.5238,15.7483
cuda,gmixer_24_224,64,1.0715,18.2878,9.0603
cuda,gmlp_s16_224,64,1.0279,6.1586,10.1903
cuda,hardcorenas_a,128,1.2100,9.7353,6.3708
cuda,hrnet_w18,2,1.0802,102.9202,1.5272
cuda,inception_v3,128,1.2455,21.5962,14.3009
cuda,jx_nest_base,32,1.1562,12.7909,16.1343
cuda,lcnet_050,128,1.0522,1.2459,2.2629
cuda,legacy_senet154,32,1.2275,57.5841,18.3263
cuda,mixer_b16_224,64,0.9931,6.8886,11.1682
cuda,mixnet_l,64,1.0895,26.9115,7.9642
cuda,mnasnet_100,128,1.3594,18.3642,6.1101
cuda,mobilenetv2_100,128,1.0545,3.4692,10.3905
cuda,mobilenetv3_large_100,128,1.2493,10.4115,6.1119
cuda,mobilevit_s,32,1.2398,25.9588,6.7370
cuda,nasnetalarge,16,1.1256,71.6266,19.7425
cuda,nfnet_l0,64,1.2055,12.6556,7.8855
cuda,pit_b_224,64,1.0997,7.5693,19.2925
cuda,pnasnet5large,16,1.1166,57.8905,21.2549
cuda,poolformer_m36,64,1.0563,8.4560,18.9724
cuda,regnety_002,128,1.4077,28.0319,2.7456
cuda,repvgg_a2,128,1.2453,20.5605,6.7965
cuda,res2net101_26w_4s,64,1.1701,41.8092,13.3614
cuda,res2net50_14w_8s,2,1.0721,27.4348,1.7472
cuda,res2next50,2,1.0746,25.3322,1.7052
cuda,resmlp_12_224,128,1.2198,6.0243,7.8083
cuda,resnest101e,32,1.1646,52.3229,10.6889
cuda,resnet18,128,1.3044,13.1620,3.6601
cuda,rexnet_100,128,1.2296,45.5147,12.3628
cuda,sebotnet33ts_256,64,1.3403,30.1239,12.1414
cuda,selecsls42b,128,1.3761,21.5611,7.8369
cuda,spnasnet_100,128,1.3564,21.8378,6.7043
cuda,swin_base_patch4_window7_224,64,1.0470,18.6604,20.2757
cuda,swsl_resnext101_32x16d,32,1.1593,37.7170,24.1990
cuda,tf_efficientnet_b0,128,1.3194,32.6257,11.9661
cuda,tf_mixnet_l,64,1.0855,27.2778,8.7369
cuda,tinynet_a,128,1.3434,34.8022,9.6277
cuda,tnt_s_patch16_224,64,1.2991,9.6223,12.1030
cuda,twins_pcpvt_base,32,1.1025,16.8012,8.3431
cuda,visformer_small,128,1.0763,8.5513,13.5586
cuda,vit_base_patch16_224,64,1.0170,4.7778,15.5983
cuda,volo_d1_224,64,1.1217,12.3741,12.6531
cuda,xcit_large_24_p8_224,5,1.0710,23.0367,14.6457
