dev,name,batch_size,speedup,start_latency,peak_memory
cuda,BERT_pytorch,16,1.0078,1.8688,7.3490
cuda,Background_Matting,4,1.0002,1.1057,6.7783
cuda,LearningToPaint,96,0.9959,0.5235,1.1996
cuda,Super_SloMo,6,0.9995,1.1285,5.8099
cuda,alexnet,128,0.9986,0.3767,4.4375
cuda,attention_is_all_you_need_pytorch,256,1.0076,1.5613,7.2926
cuda,dcgan,32,0.9804,0.3483,0.2032
cuda,demucs,4,0.9995,0.7306,17.6372
cuda,densenet121,4,1.0015,1.7110,0.7477
cuda,dlrm,2048,0.9941,0.6134,16.2088
cuda,drq,1,1.0050,0.3827,0.2216
cuda,fastNLP_Bert,6,0.9986,1.6752,8.7485
cuda,hf_Albert,8,1.0008,1.4551,8.1462
cuda,hf_Bart,4,1.0150,1.6905,13.9156
cuda,hf_Bert,4,1.0425,1.5206,9.3734
cuda,hf_BigBird,2,0.9946,7.6154,12.8091
cuda,hf_DistilBert,8,0.9998,0.7711,7.9550
cuda,hf_GPT2,4,1.0143,1.5794,12.6366
cuda,hf_Longformer,2,0.9868,1.8553,11.9547
cuda,hf_Reformer,4,0.9995,1.9012,1.8182
cuda,hf_T5,8,1.0010,2.7234,19.9411
cuda,mnasnet1_0,32,1.0000,0.7482,1.0328
cuda,mobilenet_v2,96,0.9986,0.7792,4.1342
cuda,mobilenet_v3_large,32,1.0009,0.8561,1.1305
cuda,moco,32,0.9957,1.7687,3.8035
cuda,nvidia_deeprecommender,256,0.9992,0.3763,15.0132
cuda,pytorch_CycleGAN_and_pix2pix,1,0.9975,0.5452,0.8898
cuda,pytorch_stargan,16,0.9947,0.5505,1.0835
cuda,pytorch_struct,200,0.9882,0.4155,0.8360
cuda,pytorch_unet,1,0.9989,0.6188,2.8364
cuda,resnet18,16,1.0017,0.5102,0.9418
cuda,resnet50,32,1.0027,0.8677,3.0183
cuda,resnext50_32x4d,8,1.0014,0.8171,1.9888
cuda,shufflenet_v2_x1_0,128,1.0013,0.9311,1.7034
cuda,soft_actor_critic,256,0.9804,0.3078,0.0802
cuda,speech_transformer,32,1.0021,1.9011,3.1061
cuda,squeezenet1_1,32,0.9967,0.4971,0.5421
cuda,tacotron2,64,0.9811,24.5531,10.0403
cuda,timm_efficientdet,1,1.0187,12.5211,1.3273
cuda,timm_efficientnet,32,1.0148,1.3539,1.7915
cuda,timm_nfnet,128,0.9983,2.1475,11.1134
cuda,timm_regnet,32,1.0179,1.7937,6.1723
cuda,timm_resnest,32,1.0036,0.5793,1.7941
cuda,timm_vision_transformer,8,1.0040,0.9106,1.7645
cuda,timm_vovnet,32,1.0182,0.9778,2.6554
cuda,tts_angular,64,0.9826,0.4699,0.7849
cuda,vgg16,64,0.9995,0.4939,11.3081
cuda,vision_maskrcnn,4,0.9585,10.4655,9.3138
cuda,yolov3,16,0.9987,6.1583,8.2462
