dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,AlbertForMaskedLM,2,1.318330,4.303056
cuda,AlbertForQuestionAnswering,2,1.299041,4.175483
cuda,BartForCausalLM,2,1.401556,3.754041
cuda,BartForConditionalGeneration,1,4.395810,9.455453
cuda,BertForMaskedLM,64,1.619408,3.793418
cuda,BertForQuestionAnswering,64,1.587148,3.726763
cuda,BlenderbotSmallForCausalLM,64,0.976837,2.339293
cuda,BlenderbotSmallForConditionalGeneration,32,2.979546,6.622867
cuda,CamemBert,1,1.590527,3.684321
cuda,DebertaForMaskedLM,4,3.828156,6.078715
cuda,DistilBertForMaskedLM,16,0.773327,1.919936
cuda,DistilBertForQuestionAnswering,32,0.773283,1.926900
cuda,DistillGPT2,1,0.929166,1.861373
cuda,ElectraForCausalLM,1,1.602576,3.759531
cuda,ElectraForQuestionAnswering,64,1.621764,3.831507
cuda,LayoutLMForMaskedLM,16,1.727167,3.862938
cuda,LayoutLMForSequenceClassification,16,1.736904,3.886482
cuda,M2M100ForConditionalGeneration,2,4.389277,9.835938
cuda,MBartForCausalLM,16,1.371014,3.676267
cuda,MT5ForConditionalGeneration,2,4.967715,9.264622
cuda,MegatronBertForCausalLM,2,3.302512,8.289826
cuda,MegatronBertForQuestionAnswering,8,3.306319,8.399931
cuda,MobileBertForMaskedLM,16,8.038450,21.510571
cuda,MobileBertForQuestionAnswering,32,8.013421,21.421443
cuda,OPTForCausalLM,4,1.476251,3.967822
cuda,PLBartForCausalLM,16,0.795985,1.778020
cuda,PegasusForCausalLM,8,1.405836,3.748337
cuda,PegasusForConditionalGeneration,4,4.142995,9.470222
cuda,RobertaForCausalLM,4,1.640615,3.870833
cuda,RobertaForQuestionAnswering,64,1.628759,3.869471
cuda,Speech2Text2ForCausalLM,64,0.868968,1.903772
cuda,T5ForConditionalGeneration,4,3.635803,6.688086
cuda,T5Small,1,3.613568,6.562033
cuda,TrOCRForCausalLM,8,1.372521,3.646896
cuda,XGLMForCausalLM,1,2.665745,8.042300
cuda,XLNetLMHeadModel,4,4.282070,18.413658
cuda,YituTechConvBert,1,2.314985,6.685957
