dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function
cuda,adv_inception_v3,128,1.384738,5.484320
cuda,botnet26t_256,128,1.181583,2.243937
cuda,cait_m36_384,2,3.825370,16.141803
cuda,convmixer_768_32,32,1.078396,3.403439
cuda,convnext_base,32,1.590177,4.784442
cuda,crossvit_9_240,64,1.591407,5.308016
cuda,cspdarknet53,64,1.658335,3.552270
cuda,deit_base_distilled_patch16_224,64,1.102388,2.911085
cuda,densenet121,64,3.045920,8.746568
cuda,dla102,64,1.548170,6.304344
cuda,dm_nfnet_f0,128,2.163845,4.811559
cuda,dpn107,32,3.043246,8.187204
cuda,eca_botnext26ts_256,64,1.248191,2.754687
cuda,eca_halonext26ts,64,1.284366,3.075311
cuda,ecaresnet101d,64,2.078885,8.111688
cuda,ese_vovnet19b_dw,128,0.880698,1.629936
cuda,fbnetc_100,128,1.479833,3.156389
cuda,fbnetv3_b,128,2.416774,5.493584
cuda,gernet_l,128,1.467844,2.997949
cuda,ghostnet_100,128,1.320271,5.213017
cuda,gluon_inception_v3,128,1.360928,5.436918
cuda,gluon_senet154,32,3.317642,15.246530
cuda,gluon_xception65,32,1.791067,6.812456
cuda,gmixer_24_224,64,1.482506,5.237388
cuda,gmlp_s16_224,64,1.420455,4.572204
cuda,hardcorenas_a,128,1.098624,2.171611
cuda,hrnet_w18,2,5.377265,25.268714
cuda,inception_v3,128,1.355220,5.391475
cuda,lcnet_050,128,0.881599,1.362569
cuda,legacy_senet154,32,2.991996,15.089357
cuda,mixer_b16_224,64,0.881413,2.050149
cuda,mixnet_l,64,3.925741,6.625014
cuda,mnasnet_100,128,1.197368,2.525291
cuda,mobilenetv2_100,128,1.232658,2.264785
cuda,mobilenetv3_large_100,128,1.216652,2.749236
cuda,mobilevit_s,32,1.552175,4.326421
cuda,nasnetalarge,16,5.435473,27.433136
cuda,nfnet_l0,64,1.830739,5.072454
cuda,pnasnet5large,16,4.392381,19.211136
cuda,poolformer_m36,64,2.090160,6.113428
cuda,regnety_002,128,1.297628,3.261292
cuda,repvgg_a2,128,1.411532,2.421429
cuda,res2net101_26w_4s,64,2.852617,13.195119
cuda,res2net50_14w_8s,2,2.374682,11.363441
cuda,res2next50,2,1.372835,5.335222
cuda,resmlp_12_224,128,0.894168,1.752829
cuda,resnest101e,32,3.027737,12.083853
cuda,resnet18,128,0.652830,0.924700
cuda,rexnet_100,128,1.530851,3.874542
cuda,sebotnet33ts_256,64,1.388151,3.517993
cuda,selecsls42b,128,0.850210,2.092637
cuda,spnasnet_100,128,1.442640,3.069423
cuda,swsl_resnext101_32x16d,32,1.507323,5.864135
cuda,tf_efficientnet_b0,128,1.459328,3.835101
cuda,tf_mixnet_l,64,4.209721,6.757487
cuda,tinynet_a,128,1.627515,4.653830
cuda,tnt_s_patch16_224,64,2.057124,8.079998
cuda,visformer_small,128,1.062352,2.645530
cuda,vit_base_patch16_224,64,1.099629,2.875865
cuda,volo_d1_224,64,1.637010,5.789984
