dev,name,batch_size,speedup,start_latency,peak_memory
cuda,BERT_pytorch,16,1.6434,8.4012,8.0478
cuda,Background_Matting,4,0.8938,6.1730,16.7286
cuda,LearningToPaint,96,1.1017,2.0636,1.7732
cuda,Super_SloMo,6,0.8903,5.3805,10.6783
cuda,alexnet,128,0.8327,0.9515,4.0326
cuda,attention_is_all_you_need_pytorch,256,0.8578,9.1214,11.1410
cuda,dcgan,32,1.4753,0.8127,0.1818
cuda,densenet121,4,2.4503,15.3904,1.2058
cuda,dlrm,0,0.0000
cuda,drq,1,1.7785,0.9806,0.1624
cuda,fastNLP_Bert,6,0.7742,8.1686,11.3216
cuda,hf_Albert,8,0.7720,7.5668,13.7738
cuda,hf_Bart,4,0.9255,11.4223,13.9721
cuda,hf_Bert,4,1.1210,6.9234,10.6723
cuda,hf_BigBird,0,0.0000
cuda,hf_DistilBert,8,0.6985,4.1118,10.8362
cuda,hf_GPT2,4,0.8410,6.7793,14.4550
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,0,0.0000
cuda,hf_T5,0,0.0000
cuda,mnasnet1_0,32,1.2640,4.7296,2.4727
cuda,mobilenet_v2,96,0.7763,4.8824,12.7182
cuda,mobilenet_v3_large,32,1.3720,5.2307,2.5568
cuda,moco,32,0.9931,2.3077,3.1183
cuda,nvidia_deeprecommender,256,0.6615,0.6469,11.6701
cuda,pytorch_CycleGAN_and_pix2pix,1,1.5591,2.9095,1.1522
cuda,pytorch_stargan,16,0.9987,2.6539,1.8131
cuda,pytorch_struct,200,1.0123,1.4079,0.8136
cuda,pytorch_unet,1,0.8710,2.2820,6.0944
cuda,resnet18,16,1.5259,2.2423,1.2160
cuda,resnet50,32,0.9806,5.3414,5.6450
cuda,resnext50_32x4d,8,1.7556,4.9877,2.6044
cuda,shufflenet_v2_x1_0,128,0.9466,5.7373,4.3577
cuda,soft_actor_critic,256,1.0990,0.5751,0.0560
cuda,speech_transformer,0,0.0000
cuda,squeezenet1_1,32,1.2740,1.8872,1.3327
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,1,2.2350,43.4248,3.4175
cuda,timm_efficientnet,32,1.2069,7.8165,5.8148
cuda,timm_nfnet,128,0.8764,9.7519,23.2908
cuda,timm_regnet,32,0.9494,9.7879,11.9943
cuda,timm_resnest,32,0.8535,3.1104,4.0140
cuda,timm_vision_transformer,8,1.5218,4.9501,2.0825
cuda,timm_vovnet,32,1.0117,4.6176,5.2330
cuda,tts_angular,64,0.9856,0.6554,0.6186
cuda,vgg16,64,0.8621,1.5540,16.5132
cuda,vision_maskrcnn,0,0.0000
cuda,yolov3,16,0.8029,14.3667,14.7439
