dev,name,batch_size,speedup,start_latency,peak_memory
cuda,AlbertForMaskedLM,2,0.9969,5.7317,21.2540
cuda,AlbertForQuestionAnswering,2,0.9992,5.8333,20.2205
cuda,AllenaiLongformerBase,0,0.0000
cuda,BartForCausalLM,2,0.9691,4.9251,21.5753
cuda,BartForConditionalGeneration,1,0.9880,12.8771,31.0135
cuda,BertForMaskedLM,64,0.9578,5.4243,21.7253
cuda,BertForQuestionAnswering,64,0.9836,5.4060,12.2084
cuda,BigBird,0,0.0000
cuda,BlenderbotSmallForCausalLM,64,0.9093,3.5094,23.8722
cuda,BlenderbotSmallForConditionalGeneration,32,0.9461,8.6460,16.4441
cuda,CamemBert,1,0.8900,5.0948,7.8626
cuda,DebertaForMaskedLM,4,0.8026,9.0012,13.3099
cuda,DebertaForQuestionAnswering,0,0.0000
cuda,DistilBertForMaskedLM,16,0.9643,2.6842,6.9982
cuda,DistilBertForQuestionAnswering,32,0.9642,2.6891,5.5032
cuda,DistillGPT2,1,0.8921,2.6317,6.4612
cuda,ElectraForCausalLM,1,0.9094,4.9996,1.5411
cuda,ElectraForQuestionAnswering,64,0.9872,5.4705,11.4052
cuda,GPT2ForSequenceClassification,4,0.9775,5.3704,17.7288
cuda,GoogleFnet,1,0.8011,2.7686,5.8469
cuda,LayoutLMForMaskedLM,16,0.9701,5.6458,23.7217
cuda,LayoutLMForSequenceClassification,16,0.9889,5.6336,14.6674
cuda,M2M100ForConditionalGeneration,2,0.8346,12.8795,32.0775
cuda,MBartForCausalLM,16,0.9595,4.9248,19.9870
cuda,MBartForConditionalGeneration,8,0.8547,13.2667,28.9082
cuda,MT5ForConditionalGeneration,2,0.8951,12.1619,21.4566
cuda,MegatronBertForCausalLM,2,0.8939,10.3206,21.5425
cuda,MegatronBertForQuestionAnswering,8,0.8932,10.4198,21.7885
cuda,MobileBertForMaskedLM,16,0.8598,26.0623,5.8294
cuda,MobileBertForQuestionAnswering,32,0.8567,26.4912,3.7849
cuda,OPTForCausalLM,4,0.8382,5.0852,9.1241
cuda,PLBartForCausalLM,16,0.9401,2.5975,10.1923
cuda,PLBartForConditionalGeneration,8,0.8597,6.4451,11.9224
cuda,PegasusForCausalLM,8,0.9033,4.9883,16.2482
cuda,PegasusForConditionalGeneration,4,0.8422,12.4827,26.5574
cuda,RobertaForCausalLM,4,0.8862,5.0456,7.5967
cuda,RobertaForQuestionAnswering,64,0.9842,5.2433,12.2085
cuda,Speech2Text2ForCausalLM,64,0.9420,2.7658,5.3329
cuda,T5ForConditionalGeneration,4,0.9670,8.1054,14.3587
cuda,T5Small,1,0.9461,7.8670,6.2872
cuda,TrOCRForCausalLM,8,0.9760,4.7731,16.1708
cuda,XGLMForCausalLM,1,0.8233,9.8734,38.8550
cuda,XLNetLMHeadModel,4,0.9647,19.8155,30.8218
cuda,YituTechConvBert,1,0.9024,8.2259,7.6679
